version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result_state,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V3,3088941,2026-09-25,东盟杯,印度尼西亚 vs 新加坡,新加坡,lower,两球,0.98,,2-0,-1,P,0.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,d3fcf2b4126946d4f0db,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-25T21:00:00+08:00,11.914,False,True
V3,3043216,2026-09-25,捷丙,卡尔维纳B队 vs 利森B队,利森B队,upper,一球/球半,0.8,,2-2,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,431c40f8eb8c2e614449,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-25T21:30:00+08:00,12.414,False,True
V3,3043222,2026-09-25,捷丙,斯洛瓦科B队 vs 布尔诺B队,布尔诺B队,upper,平手,0.84,,0-1,-1,W,0.84,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,42a9abae95937bc72f13,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-25T21:30:00+08:00,12.414,False,True
V3,3043223,2026-09-25,捷丙,辛宁B队 vs 维特科维斯,辛宁B队,upper,平手/半球,0.8,,0-3,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,017b0825152cbeb6cbea,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-25T21:30:00+08:00,12.414,False,True
V3,3001021,2026-09-25,非洲杯,冈比亚 vs 索马里,冈比亚,upper,两球/两球半,0.8,,2-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,01d45c4a35155bb2f4d5,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-26T00:00:00+08:00,14.914,False,True
V3,3001117,2026-09-25,非洲杯,卢旺达 vs 利比里亚,卢旺达,upper,半球,0.76,,3-1,-1,W,0.76,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,fdb36df6ec2aa343f699,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-26T00:00:00+08:00,14.914,False,True
V3,3001128,2026-09-25,非洲杯,尼日利亚 vs 马达加斯加,尼日利亚,upper,球半/两球,0.79,,2-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,3d8a6217fb0827f5323c,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-26T00:00:00+08:00,14.914,False,True
V3,3001104,2026-09-25,非洲杯,苏丹(中) vs 埃塞俄比亚,苏丹(中),upper,半球,0.76,,1-0,-1,W,0.76,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,66ada0fc342a9cabf68a,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-26T00:00:00+08:00,14.914,False,True
V3,3001008,2026-09-25,非洲杯,马拉维 vs 南苏丹,马拉维,upper,半球/一球,0.8,,2-1,-1,HW,0.4,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,e5fcbabc770c35ef42d7,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-26T00:00:00+08:00,14.914,False,True
V3,3092460,2026-09-25,中北美国联,百慕大群岛 vs 瓜德罗普,瓜德罗普,upper,平手,1.0,,1-2,-1,W,1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260926\20260926_090056_titan007_odds_snapshot.csv,SETTLED,6a002a123588ca00cda7,RUN_20260925_090510,V3_LEGACY_PRODUCTION,2026-09-25T09:05:11+08:00,2026-09-25T09:05:11+08:00,2026-09-26T03:00:00+08:00,17.914,False,True
