version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result_state,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V3,2929731,2026-09-20,韩K联,江原FC vs 济州SK,江原FC,upper,平手/半球,0.84,,0-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,5d9047b30b84ee5abea3,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T15:30:00+08:00,6.847,False,True
V3,3001190,2026-09-20,日职丙,SC相模原 vs 北九州向日葵,SC相模原,upper,半球,0.81,,1-2,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,d0d9430755ec3c743332,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T16:00:00+08:00,7.347,False,True
V3,3043212,2026-09-20,捷丙,布尔诺B队 vs 赫杜尼,布尔诺B队,upper,半球/一球,0.84,,0-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,3d7de6d3f73ef2c17a9f,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T16:15:00+08:00,7.597,False,True
V3,3009374,2026-09-20,捷丙,艾德米拉布拉格 vs 皮斯克,皮斯克,upper,平手/半球,0.8,,4-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,3382936fb629a74213b9,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T16:15:00+08:00,7.597,False,True
V3,3040128,2026-09-20,捷乙,济斯科夫 vs 特里内茨,济斯科夫,upper,半球/一球,0.84,,3-0,-1,W,0.84,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,d0a0218b57a8aa6e10ea,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T16:15:00+08:00,7.597,False,True
V3,3009500,2026-09-20,捷丙,塔比历斯B队 vs 治鲁迪,塔比历斯B队,upper,半球,0.8,,4-1,-1,W,0.8,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,b7d68003c01552b0ba97,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T17:00:00+08:00,8.347,False,True
V3,2929733,2026-09-20,韩K联,仁川联 vs 大田市民,大田市民,upper,平手,0.83,,1-1,-1,P,0.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,8c11c4c64215563767c2,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T18:00:00+08:00,9.347,False,True
V3,3019137,2026-09-20,德乙,比勒菲尔德 vs 海登海姆,比勒菲尔德,upper,平手/半球,0.92,,2-2,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,de8d6cfc9f569c1e11d0,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T19:30:00+08:00,10.847,False,True
V3,3019138,2026-09-20,德乙,科特布斯 vs 圣保利,科特布斯,lower,平手/半球,1.02,,1-1,-1,HW,0.51,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,22d8e2fe19c3214dcb10,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T19:30:00+08:00,10.847,False,True
V3,2912278,2026-09-20,瑞典超,哈尔姆斯塔德 vs 索尔纳,索尔纳,upper,平手/半球,0.84,,2-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260921\20260921_081936_titan007_odds_snapshot.csv,SETTLED,9fd936c283f0d07cbdbf,RUN_20260920_083909,V3_LEGACY_PRODUCTION,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,2026-09-20T20:00:00+08:00,11.347,False,True
