version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result_state,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch
V3,3086970,2026-09-23,女日联杯,野岛斯特拉女足 vs 伊分埼玉女足,野岛斯特拉女足,upper,平手/半球,0.75,,1-1,-1,HL,-0.5,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,bc1294e2d400e357a9cf,RUN_20260923_073949,V3_LEGACY_PRODUCTION,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T13:00:00+08:00,5.336,False,True
V3,3086972,2026-09-23,女日联杯,RB大宫松鼠女足 vs 仙台维加泰女足,RB大宫松鼠女足,upper,平手/半球,0.78,,1-2,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,e0859f7babb268cdb2fa,RUN_20260923_073949,V3_LEGACY_PRODUCTION,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T15:00:00+08:00,7.336,False,True
V3,3084566,2026-09-23,日皇杯,大阪钢巴 vs 德岛漩涡,大阪钢巴,upper,半球/一球,0.8,,5-0,-1,W,0.8,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,7543bfe6ad3c477a1738,RUN_20260923_073949,V3_LEGACY_PRODUCTION,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T16:00:00+08:00,8.336,False,True
V3,3086456,2026-09-23,女欧罗巴杯,利贝雷茨女足 vs 罗森博格女足,罗森博格女足,upper,球半,0.8,,3-1,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,8cd53f5b11d341da7451,RUN_20260923_202716,V3_LEGACY_PRODUCTION,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,2026-09-23T23:00:00+08:00,2.628,False,True
V3,2942630,2026-09-23,美冠联,伯明翰军团 vs 布鲁克林,布鲁克林,lower,半球/一球,1.08,,4-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,6049c5588ec7e1749998,RUN_20260923_202716,V3_LEGACY_PRODUCTION,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,2026-09-24T00:00:00+08:00,3.628,False,True
V3,3089736,2026-09-23,里约杯,马杜雷拉 vs 森柏欧RJ,马杜雷拉,upper,平手,0.81,,0-2,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,bf6b86062f8144a323d1,RUN_20260923_202716,V3_LEGACY_PRODUCTION,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,2026-09-24T01:45:00+08:00,5.378,False,True
V3,3058928,2026-09-23,英女杯,埃弗顿女足 vs 伯明翰城女足,埃弗顿女足,upper,半球,0.82,,2-0,-1,W,0.82,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,68188954a95285b54db5,RUN_20260923_073949,V3_LEGACY_PRODUCTION,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-24T02:00:00+08:00,18.336,False,True
V3,3058932,2026-09-23,英女杯,托特纳姆热刺女足 vs 西汉姆联女足,托特纳姆热刺女足,upper,球半,0.82,,0-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,973c49497d360250b2ea,RUN_20260923_073949,V3_LEGACY_PRODUCTION,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-24T02:00:00+08:00,18.336,False,True
V3,3058930,2026-09-23,英女杯,曼联女足 vs 锡菲联女足,曼联女足,upper,两球半/三球,0.81,,10-1,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_FROZEN_SIDE_LINE_WATER_OR_TEAM,45e4f2dffb4884268e2b,RUN_20260923_073949,V3_LEGACY_PRODUCTION,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-24T02:00:00+08:00,18.336,False,True
V3,3058927,2026-09-23,英女杯,水晶宫女足 vs 屈福特女足,水晶宫女足,upper,球半/两球,0.84,,1-0,-1,L,-1.0,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,SETTLED,743d361f73433a207ca5,RUN_20260923_073949,V3_LEGACY_PRODUCTION,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-24T02:00:00+08:00,18.336,False,True
