ah_full_company,ah_full_current_away_or_under,ah_full_current_home_or_over,ah_full_current_line_or_draw,ah_full_live_away_or_under,ah_full_live_home_or_over,ah_full_live_line_or_draw,ah_full_open_away_or_under,ah_full_open_home_or_over,ah_full_open_line_or_draw,ah_half_current_away_or_under,ah_half_current_home_or_over,ah_half_current_line_or_draw,ah_half_live_away_or_under,ah_half_live_home_or_over,ah_half_live_line_or_draw,ah_half_open_away_or_under,ah_half_open_home_or_over,ah_half_open_line_or_draw,away_cn,away_rank_or_stage,away_score,away_tw,bj_time,euro_full_company,euro_full_current_away_or_under,euro_full_current_home_or_over,euro_full_current_line_or_draw,euro_full_live_away_or_under,euro_full_live_home_or_over,euro_full_live_line_or_draw,euro_full_open_away_or_under,euro_full_open_home_or_over,euro_full_open_line_or_draw,euro_half_current_away_or_under,euro_half_current_home_or_over,euro_half_current_line_or_draw,euro_half_live_away_or_under,euro_half_live_home_or_over,euro_half_live_line_or_draw,euro_half_open_away_or_under,euro_half_open_home_or_over,euro_half_open_line_or_draw,future_ah_line_hint,future_total_line_hint,home_cn,home_rank_or_stage,home_score,home_tw,initial_ah_hint,initial_total_hint,latest_snapshot_stamp,league_cn,league_tw,list_date,list_lock_source,list_source,match_id,odds_frozen_from_snapshot,refresh_status,snapshot_stamp,source_page,state,total_full_company,total_full_current_away_or_under,total_full_current_home_or_over,total_full_current_line_or_draw,total_full_live_away_or_under,total_full_live_home_or_over,total_full_live_line_or_draw,total_full_open_away_or_under,total_full_open_home_or_over,total_full_open_line_or_draw,total_half_current_away_or_under,total_half_current_home_or_over,total_half_current_line_or_draw,total_half_live_away_or_under,total_half_live_home_or_over,total_half_live_line_or_draw,total_half_open_away_or_under,total_half_open_home_or_over,total_half_open_line_or_draw,xml_ah_away_water,xml_ah_home_water,xml_ah_line,xml_euro_away,xml_euro_draw,xml_euro_home,xml_total_line,xml_total_over_water,xml_total_under_water
,,,,,,,,,,,,,,,,,,,索卡前锋,,0,索卡前鋒,9-8 07:30,,,,,,,,,,,,,,,,,,,,,,都柏林FC,,0,都柏林FC,,2026,,多米联,多米聯,,,,3087769,,,20260908_072956,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.88,0.25,,,,0.78,0.98,0.5,0.71,1.2,0.25,,,,0.67,1.09,0.25,北莱昂内斯,8,0,北萊昂內斯,9-8 08:00,,3.3,2.12,3.05,,,,3.55,1.98,3.2,4.05,2.69,1.99,,,,4.1,2.64,2.01,,,穆苏克鲁纳,9,0,穆蘇克魯納,0.5,2026,,厄瓜甲,厄瓜甲,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2937916,,,20260908_072956,,0,,0.83,1.03,2.25,,,,0.83,0.93,2.25,1.14,0.73,0.75,,,,0.68,1.08,1.0,,,,,,,,,
,0.9,0.98,0.25,,,,0.9,0.86,0.5,1.13,0.76,0.0,,,,0.79,0.97,0.25,瓜亚基尔城,10,0,瓜亞基爾城,9-8 08:00,,2.85,2.31,3.15,,,,3.75,1.86,3.35,3.65,2.86,2.01,,,,4.35,2.42,2.1,,,奥伦斯CS,13,0,奧倫斯SC,0.5,2026,,厄瓜甲,厄瓜甲,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2937919,,,20260908_072956,,0,,0.91,0.95,2.25,,,,0.97,0.79,2.25,0.88,0.98,1.0,,,,0.8,0.96,1.0,,,,,,,,,
,0.97,0.91,0.75,,,,0.93,0.83,1.0,1.05,0.83,0.25,,,,0.75,1.01,0.5,曼塔,16,0,曼塔,9-8 08:00,,4.5,1.69,3.5,,,,5.9,1.47,4.0,5.0,2.26,2.08,,,,6.0,2.01,2.19,,,埃梅莱克,11,0,艾美歷克,1,2026,,厄瓜甲,厄瓜甲,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2937922,,,20260908_072956,,0,,0.98,0.88,2.25,,,,0.77,0.99,2.5,0.81,1.05,1.0,,,,0.87,0.89,1.0,,,,,,,,,
,0.75,1.16,0.0,,,,1.09,0.79,0.0,0.79,1.09,0.0,,,,1.05,0.83,0.0,科尔多瓦学院,4,0,聯合隊,9-8 08:15,,2.49,2.92,2.97,,,,2.88,2.47,3.05,3.2,3.65,1.94,,,,3.55,3.2,1.98,,,圣塔菲联,16,0,聖達菲聯,0,2026,,阿甲,阿甲,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,2962621,,,20260908_072956,,0,,0.88,0.99,2.0,,,,1.03,0.84,2.0,1.0,0.87,0.75,,,,1.09,0.77,0.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,皮奥伊恩斯女足,,0,皮奧伊恩斯女足,9-8 08:30,,,,,,,,,,,,,,,,,,,,,,华斯高女足,,0,華斯高女足,,2026,,巴女乙,巴女乙,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3083956,,,20260908_072956,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CA独立队,秋9,0,CA獨立隊,9-8 09:00,,,,,,,,,,,,,,,,,,,,,,乌梅西特,秋12,0,烏梅西特,,2026,,巴马甲秋,巴馬甲秋,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3036188,,,20260908_072956,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.76,0.94,-0.5,,,,0.84,0.86,-0.75,0.86,0.84,-0.25,,,,0.77,0.93,-0.25,AD格雷西亚,,0,AD格雷西亞,9-8 09:00,,1.76,3.6,3.65,,,,1.64,4.15,3.7,2.27,4.15,2.28,,,,2.18,4.7,2.24,,,AC科富帕,,0,AC科富帕,-0.75,2026,,哥斯乙,哥斯乙,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3081449,,,20260908_072956,,0,,0.92,0.78,2.75,,,,0.92,0.78,2.5,0.66,1.04,1.25,,,,0.97,0.73,1.0,,,,,,,,,
,0.87,0.83,2.25,,,,0.81,0.89,2.25,,,,,,,,,,普埃布拉女足,春17,0,普埃布拉女足,9-8 09:05,,9.9,1.11,6.7,,,,9.1,1.13,6.5,,,,,,,,,,,,莱昂女足,春11,0,莱昂女足,2.25,2026,,墨西女超春,墨西女超春,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3046016,,,20260908_072956,,0,,0.92,0.78,3.75,,,,0.76,0.94,4.0,,,,,,,,,,,,,,,,,,
,1.02,0.8,1.0,,,,0.94,0.88,1.0,0.82,1.0,0.5,,,,0.79,1.03,0.5,卡利体育会,哥伦甲秋12,0,卡利,9-8 09:15,,6.5,1.41,3.85,,,,6.5,1.45,3.6,6.2,2.0,2.17,,,,6.2,2.03,2.14,,,国民竞技,哥伦甲秋4,0,國民體育會,1,2026,,哥伦杯,哥倫盃,2026-09-02,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260902.json,Next_20260902,3058266,,,20260908_072956,,0,,0.91,0.89,2.5,,,,0.88,0.92,2.5,1.0,0.8,1.0,,,,0.96,0.84,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,新西兰U19,,0,紐西蘭U19,9-8 10:00,,,,,,,,,,,,,,,,,,,,,,瓦努阿图U19,,0,瓦努阿圖 U19,,2026,,大洋冠U19,大洋冠U19,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3074400,,,20260908_072956,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.81,0.89,0.5,,,,0.81,0.89,0.5,0.73,0.97,0.25,,,,0.73,0.97,0.25,PD坎昆,16,0,PD坎昆,9-8 10:05,,3.15,1.89,3.3,,,,3.15,1.89,3.3,3.85,2.38,2.12,,,,3.85,2.38,2.12,,,卡门海滩,12,0,卡門海灘,0.5,2026,,墨西乙,墨西乙,2026-09-07,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260907.json,Next_20260907,3073279,,,20260908_072956,,0,,0.86,0.84,2.5,,,,0.86,0.84,2.5,0.99,0.71,1.0,,,,0.91,0.79,1.0,,,,,,,,,
,0.95,0.75,1.25,,,,0.89,0.87,1.0,0.92,0.78,0.5,,,,0.75,1.01,0.5,布鲁明,9,1,邦明,9-7 08:00,,6.5,1.35,4.85,,,,4.85,1.51,4.25,6.0,1.78,2.55,,,,4.9,2.01,2.39,,,国民波托斯,10,2,國民波托西,1,2026,20260908_072956,玻利甲,玻利甲,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3059127,20260907_072747,,20260908_072956,,-1,,0.86,0.84,3.0,,,,0.82,0.94,3.0,0.83,0.87,1.25,,,,0.81,0.95,1.25,,,,,,,,,
,0.82,1.06,0.75,,,,0.78,0.98,0.5,0.98,0.9,0.25,,,,0.67,1.09,0.25,瓜亚基尔巴塞罗那,6,1,巴塞隆拿SC,9-7 08:00,,4.15,1.79,3.35,,,,3.4,1.98,3.3,4.9,2.36,2.03,,,,4.05,2.65,2.01,,,奥卡斯,3,1,奧卡斯,0.5,2026,20260908_072956,厄瓜甲,厄瓜甲,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,2937918,20260907_072747,,20260908_072956,,-1,,0.83,1.03,2.25,,,,0.84,0.92,2.25,0.77,1.09,1.0,,,,0.68,1.08,1.0,,,,,,,,,
,0.91,0.97,0.75,,,,0.8,0.96,0.75,0.99,0.89,0.25,,,,0.89,0.87,0.25,利伯塔德洛哈,8,1,利伯塔德,9-7 08:00,,4.3,1.74,3.4,,,,4.15,1.73,3.55,4.9,2.35,2.04,,,,4.75,2.29,2.11,,,库恩卡,12,0,庫恩卡,0.75,2026,20260908_072956,厄瓜甲,厄瓜甲,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,2937921,20260907_072747,,20260908_072956,,-1,,0.95,0.91,2.25,,,,0.96,0.8,2.25,0.79,1.07,1.0,,,,0.79,0.97,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,蒙哈斯FC,,1,蒙哈斯FC,9-7 08:00,,,,,,,,,,,,,,,,,,,,,,哈拉帕内科,,2,哈拉帕內科,,2026,,危地丁,危地丁,,,,3087285,,,20260908_072956,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.99,0.87,2.75,,,,1.01,0.85,2.75,0.95,0.91,1.25,,,,0.94,0.92,1.25,拿根亚女足,春12,0,拿根亞女足,9-7 08:05,,17.5,1.06,10.5,,,,17.5,1.06,10.0,11.5,1.28,3.95,,,,11.5,1.28,3.95,,,堤格雷斯女足,春2,3,堤格雷斯女足,2.75,2026,20260908_072956,墨西女超春,墨西女超春,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3046014,20260907_072747,,20260908_072956,,-1,,0.95,0.89,4.0,,,,1.0,0.84,4.0,1.01,0.83,1.75,,,,0.96,0.88,1.75,,,,,,,,,
,0.84,1.04,0.25,,,,0.92,0.9,0.25,1.09,0.79,0.0,,,,1.16,0.68,0.0,哥达拿查拉大学,春3,3,雷昂內斯,9-7 08:25,Titan007百家欧赔均值,2.96,2.14,3.35,,,,2.89,2.2,3.3,3.25,2.78,2.21,,,,3.4,2.65,2.22,,,塔巴蒂奥,春6,1,塔巴蒂奧,0.25,2026,20260908_072956,墨西甲春,墨西甲春,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3024434,20260906_145504,,20260908_072956,,-1,,1.03,0.83,2.5,,,,0.8,1.0,2.75,1.11,0.76,1.0,,,,1.09,0.71,1.0,,,,,,,,,
,0.95,0.94,0.5,,,,1.02,0.86,0.5,0.89,0.99,0.25,,,,0.87,1.01,0.25,图库曼竞技,16,2,圖庫曼體育會,9-7 08:30,,4.15,1.94,3.1,,,,4.25,1.86,3.25,5.0,2.49,1.99,,,,5.0,2.51,1.98,,,竞技俱乐部,30,1,競賽會,0.5,2026,20260908_072956,阿甲,阿甲,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,2962617,20260907_072747,,20260908_072956,,-1,,0.97,0.9,2.0,,,,0.99,0.88,2.0,1.08,0.79,0.75,,,,1.07,0.79,0.75,1.02,0.86,0.5,4.25,3.25,1.86,2,0.88,0.99
,0.89,0.81,0.5,,,,0.89,0.81,0.5,0.8,0.9,0.25,,,,0.8,0.9,0.25,休斯顿达斯女足,11,1,侯斯頓達斯女足,9-7 08:30,Titan007百家欧赔均值,3.62,1.8,3.64,,,,3.78,1.75,3.67,4.0,2.31,2.29,,,,4.0,2.31,2.29,,,奥兰多荣耀女足,12,3,奧蘭多榮耀女足,0.5,2026,20260908_072956,美女职,美女職,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,2957037,20260906_145504,,20260908_072956,,-1,,0.88,0.82,2.75,,,,0.88,0.82,2.75,0.68,1.02,1.25,,,,0.68,1.02,1.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR圣胡安,,3,PR聖胡安,9-7 08:30,,,,,,,,,,,,,,,,,,,,,,庞塞足球俱乐部,,3,庞塞足球俱乐部,,2026,,波多联,波多聯,,,,3087280,,,20260908_072956,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.7,-0.25,,,,0.95,0.75,-0.25,0.69,1.01,0.0,,,,0.69,1.01,0.0,圣何塞体育,春4,0,聖何塞體育,9-7 09:00,,2.16,2.75,3.1,,,,2.27,2.85,3.25,2.75,3.6,1.97,,,,2.97,3.55,2.0,,,森卡洛斯,春8,1,森卡洛斯,-0.25,2026,20260908_072956,哥斯甲春,哥斯甲春,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3042555,20260907_072747,,20260908_072956,,-1,,0.83,0.87,2.25,,,,0.8,0.9,2.25,0.66,1.04,1.0,,,,1.06,0.64,0.75,,,,,,,,,
,0.83,0.87,-0.25,,,,0.87,0.83,-0.25,0.61,1.09,0.0,,,,0.66,1.04,0.0,圣地亚哥波浪女足,5,0,聖地亞哥波浪女足,9-7 09:00,,2.07,2.93,3.4,,,,2.11,2.78,3.5,2.72,3.55,2.12,,,,2.71,3.35,2.21,,,西雅图统治女足,9,1,西雅圖統治女足,-0.25,2026,20260908_072956,美女职,美女職,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,2957038,20260907_072747,,20260908_072956,,-1,,0.83,0.87,2.5,,,,0.8,0.9,2.75,0.86,0.84,1.0,,,,1.02,0.68,1.0,,,,,,,,,
,0.85,0.85,-0.75,,,,0.95,0.75,-0.75,0.77,0.93,-0.25,,,,0.85,0.85,-0.25,迪利安格恩,春4,3,迪利安格恩,9-7 09:00,,1.65,3.85,3.5,,,,1.73,3.6,3.4,2.13,4.45,2.2,,,,2.22,4.25,2.16,,,马塔加尔帕FC,春7,0,馬塔加爾帕FC,-0.75,2026,20260908_072956,尼拉甲春,尼拉甲春,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3084068,20260907_072747,,20260908_072956,,-1,,0.95,0.75,2.5,,,,0.9,0.8,2.5,0.99,0.71,1.0,,,,0.95,0.75,1.0,,,,,,,,,
,0.85,0.85,0.5,,,,0.85,0.85,0.75,0.76,0.94,0.25,,,,0.93,0.77,0.25,锡帕基拉老虎,秋4,0,錫帕基拉老虎,9-7 09:15,,3.65,1.85,3.3,,,,4.4,1.64,3.55,4.5,2.44,2.05,,,,5.0,2.21,2.13,,,帕特里奥坦斯,秋8,1,帕特里奧坦斯,0.75,2026,20260908_072956,哥伦乙秋,哥倫乙秋,,,,3012183,20260907_072747,,20260908_072956,,-1,,0.81,0.89,2.25,,,,0.9,0.8,2.25,0.68,1.02,1.0,,,,0.76,0.94,1.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,嘉定博击U17,2,0,嘉定博擊U17,9-7 09:25,,,,,,,,,,,,,,,,,,,,,,河南俱乐部U17,4,1,河南俱樂部U17,,2026,,中青U17,中青U17,,,,3086916,,,20260908_072956,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.93,0.77,-0.5,,,,0.84,0.86,-0.5,1.04,0.66,-0.25,,,,0.98,0.72,-0.25,格尼斯,春7,3,格尼斯,9-7 09:30,,1.93,3.15,3.2,,,,1.84,3.35,3.25,2.52,3.8,2.04,,,,2.41,4.0,2.06,,,胡蒂卡尔帕,春11,0,胡蒂卡爾帕,-0.5,2026,20260908_072956,洪都甲春,洪都甲春,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3083913,20260907_072747,,20260908_072956,,-1,,0.66,1.04,2.5,,,,0.76,0.94,2.5,0.78,0.92,1.0,,,,0.8,0.9,1.0,,,,,,,,,
,1.03,0.86,0.25,,,,0.93,0.89,0.25,0.72,1.17,0.25,,,,1.19,0.66,0.0,蒙特雷,墨西联秋9,0,蒙特雷,9-7 09:30,,2.96,2.14,3.65,,,,3.05,2.13,3.55,3.5,2.69,2.25,,,,3.6,2.75,2.18,,,托卢卡,墨西联秋3,2,托盧卡,0.25,2026,20260908_072956,中北美杯,中北美杯,2026-09-06,D:\codex\outputs\football_odds_trader\ledger\slate_rosters\titan007_roster_20260906.json,Next_20260906,3085620,20260907_072747,,20260908_072956,,-1,,1.07,0.8,2.75,,,,0.92,0.88,2.5,0.77,1.11,1.25,,,,0.95,0.85,1.0,0.93,0.89,0.25,3.05,3.55,2.13,2.5,0.88,0.92
,,,,,,,,,,,,,,,,,,,深圳新鹏城二实U17,2,1,深圳新鹏城二实U17,9-7 09:30,,,,,,,,,,,,,,,,,,,,,,重庆南开中学U17,5,2,重庆南开中学U17,,2026,,中青U17,中青U17,,,,3086914,,,20260908_072956,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
