version,list_date,match_id,competition,kickoff_beijing,kickoff_at,home_team,away_team,action,grade,selected_team,market_side,giving_team,receiving_team,direction,handicap,water,probability,ev_mean,quote_at,last_confirmed_at,decision_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,run_id,decision_id,parent_decision_id,is_morning_baseline,is_latest_valid_prematch,monitoring_bucket,model_id,side_mapping_version,rule_version,source_snapshot,real_money,status
V4_SHADOW,2026-09-15,3068858,亚冠精英,2026-09-15T18:00:00+08:00,2026-09-15T18:00:00+08:00,,,SHADOW_CANDIDATE,C,鹿岛鹿角,giving,,,,,0.99,0.6466,0.05257142857142849,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T07:24:23.565228+08:00,-10.665,10.593,-0.071,RUN_20260915_180834,07207892084cf5739294,07207892084cf5739294,False,False,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,v4-market-dirichlet-20260913,,false,FROZEN_PREMATCH_DECISION
V4_SHADOW,2026-09-15,3056284,葡U23,2026-09-15T18:00:00+08:00,2026-09-15T18:00:00+08:00,,,SHADOW_CANDIDATE,C,波蒂蒙尼斯U23,receiving,,,,,0.99,0.5052,0.0006857142857142895,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T07:24:23.565228+08:00,-10.665,10.593,-0.071,RUN_20260915_180834,c0377826b282dac8d8b0,c0377826b282dac8d8b0,False,False,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,v4-market-dirichlet-20260913,,false,FROZEN_PREMATCH_DECISION
V4_SHADOW,2026-09-15,3049667,亚运男足,2026-09-15T18:30:00+08:00,2026-09-15T18:30:00+08:00,,,SHADOW_CANDIDATE,C,韩国U23,giving,,,,,0.86,0.5884,0.0411111111111111,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,0.35,0.429,RUN_20260915_180834,63a2f801f77f5b1a51b4,63a2f801f77f5b1a51b4,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3091352,英后备,2026-09-15T20:00:00+08:00,2026-09-15T20:00:00+08:00,,,SHADOW_CANDIDATE,C,诺士郡后备队,receiving,,,,,1.06,0.6772,0.035885714285714354,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,1.85,1.929,RUN_20260915_180834,ac72bc3ccf04f87c47c8,ac72bc3ccf04f87c47c8,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3091353,英后备,2026-09-15T20:00:00+08:00,2026-09-15T20:00:00+08:00,,,SHADOW_CANDIDATE,C,索尔福德市后备队,receiving,,,,,1.02,0.5928,0.02133333333333337,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,1.85,1.929,RUN_20260915_180834,328e16cac830bf442bf4,328e16cac830bf442bf4,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3068861,亚冠精英,2026-09-15T20:15:00+08:00,2026-09-15T20:15:00+08:00,,,SHADOW_CANDIDATE,C,柔佛,giving,,,,,0.98,0.5182,0.0007547169811321086,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,2.1,2.179,RUN_20260915_180834,545258304e2baa576945,545258304e2baa576945,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3017157,保乙,2026-09-15T23:30:00+08:00,2026-09-15T23:30:00+08:00,,,SHADOW_CANDIDATE,C,内塞伯尔,receiving,,,,,1.06,0.6804,0.035885714285714354,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,5.35,5.429,RUN_20260915_180834,ff108d46f203b5abfa8e,ff108d46f203b5abfa8e,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3003104,波兰超,2026-09-16T00:00:00+08:00,2026-09-16T00:00:00+08:00,,,SHADOW_CANDIDATE,C,卢宾扎格勒比,receiving,,,,,1.04,0.6362,0.02582857142857148,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,5.85,5.929,RUN_20260915_180834,574c1181021d4484f598,574c1181021d4484f598,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3051308,意丙,2026-09-16T00:30:00+08:00,2026-09-16T00:30:00+08:00,,,SHADOW_CANDIDATE,C,科森扎,receiving,,,,,1.02,0.5782,0.010243055555555602,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,6.35,6.429,RUN_20260915_180834,6519ed67615c7114fa57,6519ed67615c7114fa57,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3013700,西甲,2026-09-16T01:00:00+08:00,2026-09-16T01:00:00+08:00,,,SHADOW_CANDIDATE,C,巴列卡诺,giving,,,,,1.05,0.6334,0.019444444444444486,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,6.85,6.929,RUN_20260915_180834,56de7db9ecef1b1b255e,56de7db9ecef1b1b255e,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
V4_SHADOW,2026-09-15,3000794,瑞士超,2026-09-16T01:00:00+08:00,2026-09-16T01:00:00+08:00,,,SHADOW_CANDIDATE,C,草蜢,receiving,,,,,1.02,0.5762,0.015771428571428603,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58.472703+08:00,0.078,6.85,6.929,RUN_20260915_180834,c70f97b641b2eee2dd54,c70f97b641b2eee2dd54,False,True,,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,,false,EVALUATED
