version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V3,2908789,UNCHANGED,,不投,不投,哥伦布机员（下盘）,哥伦布机员（下盘）,lower,lower,平手,平手,1.05,1.05,,,,,UNCHANGED
V3,2908790,UNCHANGED,,可投,可投,夏洛特FC（上盘）,夏洛特FC（上盘）,upper,upper,平手/半球,平手/半球,1.02,1.02,,,,,UNCHANGED
V3,2908791,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,半球/一球,半球/一球,0.95,0.95,,,,,UNCHANGED
V3,2908792,UNCHANGED,,不投,不投,无，不投,无，不投,,,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2908793,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球/一球,半球/一球,0,0,,,,,UNCHANGED
V3,2908794,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球,半球,0,0,,,,,UNCHANGED
V3,2908795,UNCHANGED,,可投,可投,明尼苏达联（上盘）,明尼苏达联（上盘）,upper,upper,一球,一球,1.01,1.01,,,,,UNCHANGED
V3,2908796,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,一球,一球,0.98,0.98,,,,,UNCHANGED
V3,2908797,UNCHANGED,,可投,可投,圣路易斯城（上盘）,圣路易斯城（上盘）,upper,upper,一球,一球,1.05,1.05,,,,,UNCHANGED
V3,2908798,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球,半球,0,0,,,,,UNCHANGED
V3,2908799,UNCHANGED,,可投,可投,芝加哥火焰（下盘）,芝加哥火焰（下盘）,lower,lower,半球,半球,1.06,1.06,,,,,UNCHANGED
V3,2908800,UNCHANGED,,不投,不投,温哥华白浪（上盘）,温哥华白浪（上盘）,upper,upper,半球/一球,半球/一球,1.05,1.05,,,,,UNCHANGED
V3,2910898,UNCHANGED,,不投,不投,米内罗竞技（反向=上盘）,米内罗竞技（反向=上盘）,upper,upper,一球/球半,一球/球半,0.78,0.78,,,,,UNCHANGED
V3,2910902,UNCHANGED,,不投,不投,米拉索（上盘）,米拉索（上盘）,upper,upper,半球,半球,1.04,1.04,,,,,UNCHANGED
V3,2910903,UNCHANGED,,不投,不投,无，不投,无，不投,lower,lower,平手,平手,1.09,1.09,,,,,UNCHANGED
V3,2910904,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球,半球,0,0,,,,,UNCHANGED
V3,2910905,UNCHANGED,,不投,不投,瓦斯科达伽马（反向=上盘）,瓦斯科达伽马（反向=上盘）,upper,upper,一球,一球,0.81,0.81,,,,,UNCHANGED
V3,2912275,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2912281,UNCHANGED,,不投,不投,天狼星（反向=上盘）,天狼星（反向=上盘）,upper,upper,一球,一球,0.85,0.85,,,,,UNCHANGED
V3,2912282,UNCHANGED,,不投,不投,马尔默（反向=上盘）,马尔默（反向=上盘）,upper,upper,平手/半球,平手/半球,0.85,0.85,,,,,UNCHANGED
V3,2912899,UNCHANGED,,不投,不投,克里斯蒂安松（反向=下盘）,克里斯蒂安松（反向=下盘）,lower,lower,一球/球半,一球/球半,0.81,0.81,,,,,UNCHANGED
V3,2912900,UNCHANGED,,不投,不投,无，不投,无，不投,,,球半,球半,0,0,,,,,UNCHANGED
V3,2913146,UNCHANGED,,可投,可投,布莱尼（反向=上盘）,布莱尼（反向=上盘）,upper,upper,半球,半球,0.81,0.81,,,,,UNCHANGED
V3,2913344,UNCHANGED,,可投,可投,巴提维格（反向=上盘）,巴提维格（反向=上盘）,upper,upper,球半/两球,球半/两球,0.82,0.82,,,,,UNCHANGED
V3,2913345,UNCHANGED,,不投,不投,谢夫（反向=上盘）,谢夫（反向=上盘）,upper,upper,半球,半球,0.77,0.77,,,,,UNCHANGED
V3,2913346,UNCHANGED,,不投,不投,莫达伦（反向=下盘）,莫达伦（反向=下盘）,lower,lower,平手/半球,平手/半球,0.82,0.82,,,,,UNCHANGED
V3,2913349,UNCHANGED,,不投,不投,维达（反向=下盘）,维达（反向=下盘）,lower,lower,一球/球半,一球/球半,0.83,0.83,,,,,UNCHANGED
V3,2913525,UNCHANGED,,不投,不投,弗洛（反向=下盘）,弗洛（反向=下盘）,lower,lower,球半/两球,球半/两球,0.78,0.78,,,,,UNCHANGED
V3,2913527,UNCHANGED,,不投,不投,拉纳（反向=下盘）,拉纳（反向=下盘）,lower,lower,半球/一球,半球/一球,0.82,0.82,,,,,UNCHANGED
V3,2914705,UNCHANGED,,不投,不投,兰斯科罗纳（反向=下盘）,兰斯科罗纳（反向=下盘）,lower,lower,平手,平手,1.03,1.03,,,,,UNCHANGED
V3,2914706,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2914707,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,半球/一球,半球/一球,0,0,,,,,UNCHANGED
V3,2914708,UNCHANGED,,不投,不投,无，不投,无，不投,,,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2914710,UNCHANGED,,可投,可投,瓦尔贝里（反向=上盘）,瓦尔贝里（反向=上盘）,upper,upper,半球/一球,半球/一球,0.84,0.84,,,,,UNCHANGED
V3,2916681,UNCHANGED,,不投,不投,阿卡苏索（上盘）,阿卡苏索（上盘）,upper,upper,平手/半球,平手/半球,0.98,0.98,,,,,UNCHANGED
V3,2916683,UNCHANGED,,不投,不投,拉费尔拿（反向=上盘）,拉费尔拿（反向=上盘）,upper,upper,平手,平手,0.77,0.77,,,,,UNCHANGED
V3,2916692,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球/一球,半球/一球,0,0,,,,,UNCHANGED
V3,2916695,UNCHANGED,,不投,不投,圣米格尔（反向=上盘）,圣米格尔（反向=上盘）,upper,upper,平手/半球,平手/半球,0.78,0.78,,,,,UNCHANGED
V3,2916696,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2916697,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,半球/一球,半球/一球,0,0,,,,,UNCHANGED
V3,2925534,UNCHANGED,,可投,可投,忠南牙山（反向=上盘）,忠南牙山（反向=上盘）,upper,upper,平手/半球,平手/半球,0.79,0.79,,,,,UNCHANGED
V3,2925535,UNCHANGED,,可投,可投,水原FC（反向=上盘）,水原FC（反向=上盘）,upper,upper,半球,半球,0.84,0.84,,,,,UNCHANGED
V3,2925536,UNCHANGED,,不投,不投,金浦市民（上盘）,金浦市民（上盘）,upper,upper,平手,平手,0.84,0.84,,,,,UNCHANGED
V3,2925537,UNCHANGED,,不投,不投,无，不投,无，不投,,,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2929729,UNCHANGED,,不投,不投,金泉尚武（上盘）,金泉尚武（上盘）,upper,upper,平手,平手,0.78,0.78,,,,,UNCHANGED
V3,2929730,UNCHANGED,,不投,不投,蔚山HD（反向=上盘）,蔚山HD（反向=上盘）,upper,upper,半球,半球,0.87,0.87,,,,,UNCHANGED
V3,2933148,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,半球,半球,0,0,,,,,UNCHANGED
V3,2933150,UNCHANGED,,不投,不投,无，不投,无，不投,,,,,0,0,,,,,UNCHANGED
V3,2934807,UNCHANGED,,不投,不投,卡米尼罗斯（上盘）,卡米尼罗斯（上盘）,upper,upper,半球,半球,0.96,0.96,,,,,UNCHANGED
V3,2934810,UNCHANGED,,不投,不投,萨兰迪兵工厂（反向=上盘）,萨兰迪兵工厂（反向=上盘）,upper,upper,平手,平手,0.69,0.69,,,,,UNCHANGED
V3,2934811,UNCHANGED,,不投,不投,圣马丁布萨科（上盘）,圣马丁布萨科（上盘）,upper,upper,平手/半球,平手/半球,0.97,0.97,,,,,UNCHANGED
V3,2934812,UNCHANGED,,不投,不投,意大利亚诺（上盘）,意大利亚诺（上盘）,upper,upper,平手/半球,平手/半球,0.94,0.94,,,,,UNCHANGED
V3,2934813,UNCHANGED,,不投,不投,伊希库斯尼斯塔史（上盘）,伊希库斯尼斯塔史（上盘）,upper,upper,半球,半球,0.87,0.87,,,,,UNCHANGED
V3,2934814,UNCHANGED,,不投,不投,维拉多尔米尼（反向=上盘）,维拉多尔米尼（反向=上盘）,upper,upper,一球,一球,0.71,0.71,,,,,UNCHANGED
V3,2940185,UNCHANGED,,不投,不投,无，不投,无，不投,,,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2940193,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,2940752,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球,半球,0,0,,,,,UNCHANGED
