group_by,group,n,effective_n,predicted_effective_win_rate,actual_effective_win_rate,brier,five_state_brier,ece,slope,intercept,status
overall,ALL,311,277.5,0.5520194678729912,0.4828828828828829,0.255265174487348,0.6143052170375838,0.06913658499010826,0.15758582952337336,-0.10154575885313713,MONITOR
date,2026-09-19,70,62.0,0.5537417902360989,0.5403225806451613,0.25085088630965907,0.6221663072311909,0.013419209590937575,-0.45122455029450187,0.2597219125618709,INSUFFICIENT_FORWARD
date,2026-09-20,185,168.0,0.5508467922791224,0.4523809523809524,0.25741751783585254,0.6081560830259977,0.09846583989817004,0.5010012843060324,-0.29398878313311977,CALIBRATION_DRIFT_WARNING
date,2026-09-21,15,14.0,0.5518642800033732,0.42857142857142855,0.2661161374213897,0.5866140752577701,0.15145140172758453,,,INSUFFICIENT_FORWARD
date,2026-09-22,1,1.0,0.5312901013671912,1.0,0.21968896907637786,0.43937793815275566,0.46870989863280876,,,INSUFFICIENT_FORWARD
date,2026-09-23,40,32.5,0.5555003143326136,0.5384615384615384,0.2489807101428049,0.6437454141419079,0.08537363468266365,0.49553048022125623,0.04325520617563276,INSUFFICIENT_FORWARD
handicap,1.25,21,17.0,0.5731328558047425,0.5294117647058824,0.2593266628456,0.6944434263581156,0.08918425965942997,,,INSUFFICIENT_FORWARD
handicap,1.5,14,14.0,0.5371801979955938,0.5714285714285714,0.2414863375306317,0.48297267506126346,0.0342483734329776,,,INSUFFICIENT_FORWARD
handicap,0.5,73,73.0,0.5232405761910938,0.410958904109589,0.2581960872650336,0.5163921745300672,0.11228167208150475,-4.811528064470255,0.07197234674260022,INSUFFICIENT_FORWARD
handicap,0.25,97,83.0,0.5705472427080197,0.5180722891566265,0.25439316321072836,0.6627171412969813,0.05247495355139313,-1.8616644718056912,0.6026240642404138,INSUFFICIENT_FORWARD
handicap,0.75,59,51.5,0.5642603188227893,0.42718446601941745,0.26787477597568016,0.6467403173558622,0.13707585280337184,-2.404902031576837,0.3251603480549325,INSUFFICIENT_FORWARD
handicap,1.0,26,20.0,0.5276432499555065,0.5,0.2438500125405813,0.6589581315410997,0.027643249955506488,,,INSUFFICIENT_FORWARD
handicap,2.5,5,5.0,0.5626075343126864,0.6,0.241324314078781,0.482648628157562,0.10894467928494171,,,INSUFFICIENT_FORWARD
handicap,2.0,7,6.0,0.5259944457055299,0.6666666666666666,0.24330613591044892,0.5986776723155557,0.14067222096113674,,,INSUFFICIENT_FORWARD
handicap,1.75,8,7.0,0.6064568285087936,0.7142857142857143,0.20710571638271233,0.6390567968555811,0.14069267710981453,,,INSUFFICIENT_FORWARD
handicap,3.0,1,1.0,0.5431642435786751,0.0,0.2950273955023943,0.716770281902536,0.5431642435786751,,,INSUFFICIENT_FORWARD
v41_side,receiving,187,164.5,0.5544704208714862,0.5106382978723404,0.2536633914390564,0.6206976272025301,0.04383212299914591,-0.37345916113314626,0.12465800246353488,MONITOR
v41_side,giving,124,113.0,0.5484514876229694,0.4424778761061947,0.2575969737036664,0.6046650500952858,0.11691973745542196,0.6676367734742802,-0.3620898532908924,CALIBRATION_DRIFT_WARNING
region,欧洲非五大系列,8,7.5,0.5430935753658751,0.4666666666666667,0.25390001837292814,0.5663817470917181,0.0764269086992084,,,INSUFFICIENT_FORWARD
