match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,reason_codes,decision_id,real_money,normalized_intent,candidate_side,intent_source,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version
3077253,2026-09-21,2026-09-21T22:00:00+08:00,2026-09-21T22:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,14.16,14.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""潘斯拉基科斯"", ""away_team"": ""尼基沃罗"", ""competition"": ""希腊甲"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",希腊甲,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",f8390b52f8c0f2fa5613,False,,,,,,,,,,,,,,,,,,,,,,,,
3077255,2026-09-21,2026-09-21T22:00:00+08:00,2026-09-21T22:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,14.16,14.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""塞萨洛尼基B队"", ""away_team"": ""内斯托"", ""competition"": ""希腊甲"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",希腊甲,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",c0da316e5604ae3a477d,False,,,,,,,,,,,,,,,,,,,,,,,,
3017169,2026-09-21,2026-09-21T22:00:00+08:00,2026-09-21T22:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,14.16,14.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""斯夫格"", ""away_team"": ""韦伦桑丹斯基"", ""competition"": ""保乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",保乙,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",5f263022096564e29f2a,False,,,,,,,,,,,,,,,,,,,,,,,,
3010430,2026-09-21,2026-09-21T23:00:00+08:00,2026-09-21T23:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,15.16,15.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""加拉茨钢铁"", ""away_team"": ""胡内多阿拉"", ""competition"": ""罗甲"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",罗甲,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",d87ce8c46fa6afe3b159,False,,,,,,,,,,,,,,,,,,,,,,,,
3056295,2026-09-21,2026-09-21T23:00:00+08:00,2026-09-21T23:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,15.16,15.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""莱里亚U23"", ""away_team"": ""吉维森特U23"", ""competition"": ""葡U23"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",葡U23,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",2159d4cbdeb9567da36e,False,,,,,,,,,,,,,,,,,,,,,,,,
3037919,2026-09-21,2026-09-21T23:00:00+08:00,2026-09-21T23:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,15.16,15.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""阿特梅迪亚"", ""away_team"": ""杜纳达纳"", ""competition"": ""斯伐甲"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",斯伐甲,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",21364f5b7cbbf151c06f,False,,,,,,,,,,,,,,,,,,,,,,,,
2933154,2026-09-21,2026-09-21T23:15:00+08:00,2026-09-21T23:15:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,15.41,15.477,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""花刺子模乌尔根奇"", ""away_team"": ""克孜勒库姆"", ""competition"": ""乌兹超"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",乌兹超,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",350a02eabcdf569a4c46,False,,,,,,,,,,,,,,,,,,,,,,,,
3017162,2026-09-21,2026-09-22T00:00:00+08:00,2026-09-22T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,16.16,16.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""多布鲁察"", ""away_team"": ""索菲亚中央陆军B队"", ""competition"": ""保乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",保乙,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",bd6d922237f708e4194b,False,,,,,,,,,,,,,,,,,,,,,,,,
3017168,2026-09-21,2026-09-22T00:00:00+08:00,2026-09-22T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,16.16,16.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""保利文斯巴达"", ""away_team"": ""卢多戈雷茨B队"", ""competition"": ""保乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",保乙,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",d25495291c6126038eac,False,,,,,,,,,,,,,,,,,,,,,,,,
3034792,2026-09-21,2026-09-22T00:00:00+08:00,2026-09-22T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_074622,2026-09-21T07:50:25.080016+08:00,2026-09-21T07:46:23+08:00,2026-09-21T07:46:23+08:00,0.067,16.16,16.227,False,False,,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T07:50:25.080016+08:00"", ""home_team"": ""云达不莱梅女足"", ""away_team"": ""斯图加特女足"", ""competition"": ""德女联"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T07:46:23+08:00"", ""last_confirmed_at"": ""2026-09-21T07:46:23+08:00"", ""run_id"": ""RUN_20260921_074622""}",德女联,MISSING_DATA,,,"[""REQUIRED_MARKET_INPUT_MISSING""]",4ae566584acf4ccc57ab,False,,,,,,,,,,,,,,,,,,,,,,,,
