match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,decision_id,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,reason_codes,real_money
2956828,2026-09-20,2026-09-20T12:00:00+08:00,2026-09-20T12:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,3.282,3.347,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""伊贺FC女足"", ""away_team"": ""FC爱媛女足"", ""competition"": ""日职女甲"", ""home_handicap_signed"": 1.0, ""away_handicap_signed"": -1.0, ""home_water_hk"": 0.79, ""away_water_hk"": 0.97, ""titan_home_handicap_signed"": 1.0, ""titan_away_handicap_signed"": -1.0, ""giving_team"": ""伊贺FC女足"", ""receiving_team"": ""FC爱媛女足"", ""giving_water"": 0.79, ""receiving_water"": 0.97, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",日职女甲,EVALUATED,C,,67c877e291359083037f,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,FC爱媛女足,0.97,1.0,伊贺FC女足,giving,0.79,FC爱媛女足,receiving,1.0,0.97,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.05315789473684207,-0.10610752332576967,-0.07119792904365818,0.05479508457937515,0.17884923844535183,0.2123225453505389,0.7076,"{""team"": ""伊贺FC女足"", ""water"": 0.79, ""EV_mean"": -0.14039473684210524, ""EV_p10"": -0.2570214649230774, ""P_EV_gt_0"": 0.0638, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""FC爱媛女足"", ""water"": 0.97, ""EV_mean"": 0.05315789473684207, ""EV_p10"": -0.0751543237862638, ""P_EV_gt_0"": 0.704, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3000080,2026-09-20,2026-09-20T16:00:00+08:00,2026-09-20T16:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,7.282,7.347,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""枥木市FC"", ""away_team"": ""仙台维加泰"", ""competition"": ""日职乙"", ""home_handicap_signed"": -0.5, ""away_handicap_signed"": 0.5, ""home_water_hk"": 0.84, ""away_water_hk"": 1.04, ""titan_home_handicap_signed"": -0.5, ""titan_away_handicap_signed"": 0.5, ""giving_team"": ""仙台维加泰"", ""receiving_team"": ""枥木市FC"", ""giving_water"": 1.04, ""receiving_water"": 0.84, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",日职乙,EVALUATED,C,,8a5a7c3f72b6b9c8b0ef,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,仙台维加泰,1.04,0.5,枥木市FC,receiving,0.84,仙台维加泰,giving,-0.5,1.04,"{""W"": 0.49714285714285716, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.5028571428571429}",0.014171428571428613,-0.11633514332896217,-0.08887073425435249,0.010849150082745451,0.11383993991025543,0.1421313855873823,0.5584,"{""team"": ""仙台维加泰"", ""water"": 1.04, ""EV_mean"": 0.014171428571428613, ""EV_p10"": -0.08520196822898896, ""P_EV_gt_0"": 0.5696, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""枥木市FC"", ""water"": 0.84, ""EV_mean"": -0.07474285714285717, ""EV_p10"": -0.16457655622509793, ""P_EV_gt_0"": 0.1526, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False
3001187,2026-09-20,2026-09-20T16:00:00+08:00,2026-09-20T16:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,7.282,7.347,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""长野琶扼搂"", ""away_team"": ""FC岐阜"", ""competition"": ""日职丙"", ""home_handicap_signed"": -0.5, ""away_handicap_signed"": 0.5, ""home_water_hk"": 1.0, ""away_water_hk"": 0.76, ""titan_home_handicap_signed"": -0.5, ""titan_away_handicap_signed"": 0.5, ""giving_team"": ""FC岐阜"", ""receiving_team"": ""长野琶扼搂"", ""giving_water"": 0.76, ""receiving_water"": 1.0, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",日职丙,EVALUATED,C,,22f6d7bf59de62a642e3,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,长野琶扼搂,1.0,0.5,FC岐阜,giving,0.76,长野琶扼搂,receiving,0.5,1.0,"{""W"": 0.5028571428571429, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.49714285714285716}",0.005714285714285727,-0.11254656426072424,-0.08955732924632964,0.007604526673063772,0.10321723980419101,0.13295241353958903,0.5382,"{""team"": ""FC岐阜"", ""water"": 0.76, ""EV_mean"": -0.12502857142857143, ""EV_p10"": -0.2106540215677905, ""P_EV_gt_0"": 0.0294, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""长野琶扼搂"", ""water"": 1.0, ""EV_mean"": 0.005714285714285727, ""EV_p10"": -0.09099156620418353, ""P_EV_gt_0"": 0.527, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3071096,2026-09-20,2026-09-20T16:00:00+08:00,2026-09-20T16:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,7.282,7.347,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""横滨体育"", ""away_team"": ""布瑞欧碧卡浦安"", ""competition"": ""日足联"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 1.0, ""away_water_hk"": 0.76, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""布瑞欧碧卡浦安"", ""receiving_team"": ""横滨体育"", ""giving_water"": 0.76, ""receiving_water"": 1.0, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",日足联,EVALUATED,C,,4e5a7d6fc2a10b2bf7c8,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,横滨体育,1.0,0.25,布瑞欧碧卡浦安,giving,0.76,横滨体育,receiving,0.25,1.0,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.001736111111111105,-0.08601148601878411,-0.0663065954940264,-0.0009895216375437332,0.06932988427294484,0.08845890815772256,0.4952,"{""team"": ""布瑞欧碧卡浦安"", ""water"": 0.76, ""EV_mean"": -0.10340277777777782, ""EV_p10"": -0.1628972993651461, ""P_EV_gt_0"": 0.0116, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""横滨体育"", ""water"": 1.0, ""EV_mean"": 0.001736111111111105, ""EV_p10"": -0.06603925341788908, ""P_EV_gt_0"": 0.507, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3062847,2026-09-20,2026-09-20T16:30:00+08:00,2026-09-20T16:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,7.782,7.847,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""德瓦FC"", ""away_team"": ""斯乐门"", ""competition"": ""印尼超"", ""home_handicap_signed"": 1.0, ""away_handicap_signed"": -1.0, ""home_water_hk"": 0.81, ""away_water_hk"": 1.01, ""titan_home_handicap_signed"": 1.0, ""titan_away_handicap_signed"": -1.0, ""giving_team"": ""德瓦FC"", ""receiving_team"": ""斯乐门"", ""giving_water"": 0.81, ""receiving_water"": 1.01, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",印尼超,EVALUATED,C,,7d45b03c92fac9ddc2cd,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,斯乐门,1.01,1.0,德瓦FC,giving,0.81,斯乐门,receiving,1.0,1.01,"{""W"": 0.42105263157894735, ""HW"": 0.0, ""P"": 0.2236842105263158, ""HL"": 0.0, ""L"": 0.35526315789473684}",0.07,-0.09335789633498731,-0.05618694603528607,0.07432606742586212,0.19807983091318748,0.2308403852372788,0.7594,"{""team"": ""德瓦FC"", ""water"": 0.81, ""EV_mean"": -0.1332894736842105, ""EV_p10"": -0.249942847137483, ""P_EV_gt_0"": 0.0734, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""斯乐门"", ""water"": 1.01, ""EV_mean"": 0.07, ""EV_p10"": -0.06397700923390642, ""P_EV_gt_0"": 0.7532, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.00"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",False
3082973,2026-09-20,2026-09-20T17:30:00+08:00,2026-09-20T17:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,8.782,8.847,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""力纳雷斯体育会"", ""away_team"": ""拉斯彭马斯竞技"", ""competition"": ""西协乙4"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 0.6, ""away_water_hk"": 1.11, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""力纳雷斯体育会"", ""receiving_team"": ""拉斯彭马斯竞技"", ""giving_water"": 0.6, ""receiving_water"": 1.11, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",西协乙4,EVALUATED,C,,f9105e5420db197bf0e8,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,拉斯彭马斯竞技,1.11,0.25,力纳雷斯体育会,giving,0.6,拉斯彭马斯竞技,receiving,0.25,1.11,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.04852430555555565,-0.04187579986912354,-0.020748589252283067,0.047632080811362276,0.11746937933798618,0.1389069129084362,0.8114,"{""team"": ""力纳雷斯体育会"", ""water"": 0.6, ""EV_mean"": -0.17118055555555559, ""EV_p10"": -0.22259780527300507, ""P_EV_gt_0"": 0.0, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""拉斯彭马斯竞技"", ""water"": 1.11, ""EV_mean"": 0.04852430555555565, ""EV_p10"": -0.01963509011123371, ""P_EV_gt_0"": 0.823, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
2929734,2026-09-20,2026-09-20T18:00:00+08:00,2026-09-20T18:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,9.282,9.347,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""浦项制铁"", ""away_team"": ""FC首尔"", ""competition"": ""韩K联"", ""home_handicap_signed"": -0.5, ""away_handicap_signed"": 0.5, ""home_water_hk"": 1.03, ""away_water_hk"": 0.85, ""titan_home_handicap_signed"": -0.5, ""titan_away_handicap_signed"": 0.5, ""giving_team"": ""FC首尔"", ""receiving_team"": ""浦项制铁"", ""giving_water"": 0.85, ""receiving_water"": 1.03, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",韩K联,EVALUATED,C,,354655e0171fe8c01925,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,浦项制铁,1.03,0.5,FC首尔,giving,0.85,浦项制铁,receiving,0.5,1.03,"{""W"": 0.5028571428571429, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.49714285714285716}",0.020799999999999985,-0.10593415584671928,-0.0750597002145893,0.021630153278023034,0.1168570053253018,0.14899073727489492,0.6188,"{""team"": ""FC首尔"", ""water"": 0.85, ""EV_mean"": -0.0802857142857143, ""EV_p10"": -0.17026664882670056, ""P_EV_gt_0"": 0.13, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""浦项制铁"", ""water"": 1.03, ""EV_mean"": 0.020799999999999985, ""EV_p10"": -0.07805426106719293, ""P_EV_gt_0"": 0.6046, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
2996157,2026-09-20,2026-09-20T18:15:00+08:00,2026-09-20T18:15:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,9.532,9.597,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""费耶诺德"", ""away_team"": ""乌德勒支"", ""competition"": ""荷甲"", ""home_handicap_signed"": 1.75, ""away_handicap_signed"": -1.75, ""home_water_hk"": 0.94, ""away_water_hk"": 0.94, ""titan_home_handicap_signed"": 1.75, ""titan_away_handicap_signed"": -1.75, ""giving_team"": ""费耶诺德"", ""receiving_team"": ""乌德勒支"", ""giving_water"": 0.94, ""receiving_water"": 0.94, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",荷甲,EVALUATED,C,,42d95ed7c136627c8ac1,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,费耶诺德,0.94,1.75,乌德勒支,receiving,0.94,费耶诺德,giving,-1.75,0.94,"{""W"": 0.3142857142857143, ""HW"": 0.2857142857142857, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4}",0.029714285714285693,-0.20770037573487182,-0.15461814508916022,0.03047035105100321,0.21134404444717853,0.2602342953529267,0.5788,"{""team"": ""费耶诺德"", ""water"": 0.94, ""EV_mean"": 0.029714285714285693, ""EV_p10"": -0.15878812321306918, ""P_EV_gt_0"": 0.5844, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""乌德勒支"", ""water"": 0.94, ""EV_mean"": -0.08114285714285713, ""EV_p10"": -0.2613067475374762, ""P_EV_gt_0"": 0.2872, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_1.75"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False
3019138,2026-09-20,2026-09-20T19:30:00+08:00,2026-09-20T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,10.782,10.847,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""科特布斯"", ""away_team"": ""圣保利"", ""competition"": ""德乙"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 1.02, ""away_water_hk"": 0.86, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""圣保利"", ""receiving_team"": ""科特布斯"", ""giving_water"": 0.86, ""receiving_water"": 1.02, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",德乙,EVALUATED,C,,71cf23ca4383a6cd79f1,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,科特布斯,1.02,0.25,圣保利,giving,0.86,科特布斯,receiving,0.25,1.02,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",0.010243055555555602,-0.07643476006034822,-0.056755870970845446,0.010266481744590106,0.077470298047632,0.09518607522702294,0.5726,"{""team"": ""圣保利"", ""water"": 0.86, ""EV_mean"": -0.06104166666666669, ""EV_p10"": -0.12252135168930917, ""P_EV_gt_0"": 0.1072, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""科特布斯"", ""water"": 1.02, ""EV_mean"": 0.010243055555555602, ""EV_p10"": -0.05693695912344782, ""P_EV_gt_0"": 0.5822, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",False
3019140,2026-09-20,2026-09-20T19:30:00+08:00,2026-09-20T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260920_083909,2026-09-20T08:43:03.082577+08:00,2026-09-20T08:39:10+08:00,2026-09-20T08:39:10+08:00,0.065,10.782,10.847,False,True,,,prior-2026-09-20-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-20T08:43:03.082577+08:00"", ""home_team"": ""汉诺威96"", ""away_team"": ""波鸿"", ""competition"": ""德乙"", ""home_handicap_signed"": 0.75, ""away_handicap_signed"": -0.75, ""home_water_hk"": 1.05, ""away_water_hk"": 0.83, ""titan_home_handicap_signed"": 0.75, ""titan_away_handicap_signed"": -0.75, ""giving_team"": ""汉诺威96"", ""receiving_team"": ""波鸿"", ""giving_water"": 1.05, ""receiving_water"": 0.83, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-20T08:39:10+08:00"", ""last_confirmed_at"": ""2026-09-20T08:39:10+08:00"", ""run_id"": ""RUN_20260920_083909""}",德乙,EVALUATED,C,,9df9f2c232a501b75357,阻上/诱下,MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE,giving,汉诺威96,1.05,0.75,波鸿,receiving,0.83,汉诺威96,giving,-0.75,1.05,"{""W"": 0.3, ""HW"": 0.25833333333333336, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.44166666666666665}",0.008958333333333401,-0.1296805284003939,-0.09869449818487575,0.007694156503486815,0.11642925141695326,0.147461460342437,0.534,"{""team"": ""汉诺威96"", ""water"": 1.05, ""EV_mean"": 0.008958333333333401, ""EV_p10"": -0.09679158118897513, ""P_EV_gt_0"": 0.5414, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""波鸿"", ""water"": 0.83, ""EV_mean"": -0.06258333333333335, ""EV_p10"": -0.15687035524103538, ""P_EV_gt_0"": 0.202, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1,"[""BUCKET_0.75"", ""SIDE_IDENTITY_VALID"", ""MARKET_MOVE_DEEPER_WITH_GIVING_WATER_RISE""]",False
