match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,reason_codes,decision_id,started_lock,real_money,normalized_intent,candidate_side,intent_source,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version,score,result,pnl_1u,settlement_status,result_state,result_source,settlement_updated_at,settlement
3091510,2026-09-16,2026-09-16T19:00:00+08:00,2026-09-16T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.492,-1.828,False,False,26c56013f06769da59d6,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""卡迪兹U19"", ""away_team"": ""梅利利亚U19"", ""competition"": ""西青U19"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",西青U19,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",26c56013f06769da59d6,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088995,2026-09-16,2026-09-16T16:00:00+08:00,2026-09-16T19:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.492,-1.828,False,False,cad82628e44cf755d4c6,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""伊尔赤姆"", ""away_team"": ""阿姆塔特FC"", ""competition"": ""蒙古超"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",蒙古超,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",cad82628e44cf755d4c6,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047491,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,b744f6cac7775494b209,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""佛统联"", ""away_team"": ""DP北碧"", ""competition"": ""泰甲"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",泰甲,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",b744f6cac7775494b209,True,False,平衡盘/等待临场确认,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089210,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,a74d2ea4ccb36889236f,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""奥布隆U19"", ""away_team"": ""利维贝雷U19"", ""competition"": ""乌克U19"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",乌克U19,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",a74d2ea4ccb36889236f,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089734,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,012c4087169d8ca51e63,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""鲁克利沃夫U19"", ""away_team"": ""阿拉卡森德里亚U19"", ""competition"": ""乌克U19"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",乌克U19,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",012c4087169d8ca51e63,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091523,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,7dfa98c8071df424bf33,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""里斯SC"", ""away_team"": ""马沃莱SC"", ""competition"": ""印西隆联"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",印西隆联,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",7dfa98c8071df424bf33,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952361,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,df020225b9fe97dc6fae,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""埃斯卡塔"", ""away_team"": ""伊斯塔拉夫山"", ""competition"": ""塔吉克联"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",塔吉克联,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",df020225b9fe97dc6fae,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091364,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,ba606edde52f7379394f,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""榆林矿工旅投"", ""away_team"": ""新疆兵超"", ""competition"": ""中冠"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",中冠,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",ba606edde52f7379394f,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091367,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,756b72adea4c119222ad,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""青岛复力"", ""away_team"": ""辽宁盛京新锐"", ""competition"": ""中冠"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",中冠,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",756b72adea4c119222ad,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091369,2026-09-16,2026-09-16T19:30:00+08:00,2026-09-16T19:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260916_205341,2026-09-16T08:30:27.706501+08:00,2026-09-16T08:28:48+08:00,2026-09-16T20:49:42+08:00,0.028,10.992,-1.328,False,False,f066a8f43443a3ecd903,,prior-2026-09-16-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-16T08:30:27.706501+08:00"", ""home_team"": ""陕西宝鸡联腾"", ""away_team"": ""新疆金盾"", ""competition"": ""中冠"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-16T08:28:48+08:00"", ""last_confirmed_at"": ""2026-09-16T20:49:42+08:00"", ""run_id"": ""RUN_20260916_205341""}",中冠,NOT_PREMATCH,,,"[""STARTED_DECISION_LOCKED""]",f066a8f43443a3ecd903,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
