version,list_date,match_id,competition,kickoff_beijing,kickoff_at,home_team,away_team,action,grade,selected_team,market_side,giving_team,receiving_team,direction,handicap,water,probability,ev_mean,quote_at,last_confirmed_at,decision_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,run_id,decision_id,parent_decision_id,is_morning_baseline,is_latest_valid_prematch,monitoring_bucket,model_id,side_mapping_version,rule_version,source_snapshot,real_money,status
V3_PRODUCTION,2026-09-19,2925535,韩K2联,2026-9-19 15:30 北京时间（东8区）,2026-09-19T15:30:00+08:00,全南天龙,水原FC,可投,,水原FC（反向=上盘）,upper,,,反向,半球,0.83,0.579,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,6.787,6.86,RUN_20260919_083825,3354200c25d370ee0bee,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,3009379,捷丙,2026-9-19 16:15 北京时间（东8区）,2026-09-19T16:15:00+08:00,莫托勒,毕那索,可投,,莫托勒（反向=上盘）,upper,,,反向,半球/一球,0.8,0.5760000000000001,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,7.537,7.61,RUN_20260919_083825,518c5d1e8905e5fe5094,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,3000470,日职联,2026-9-19 17:30 北京时间（东8区）,2026-09-19T17:30:00+08:00,浦和红钻,东京绿茵,可投,,浦和红钻（上盘）,upper,,,正向,半球,0.86,0.562,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,8.787,8.86,RUN_20260919_083825,2d9722d0db6c0e8544d5,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,2951660,中甲,2026-9-19 19:30 北京时间（东8区）,2026-09-19T19:30:00+08:00,定南赣联,佛山南狮,可投,,定南赣联（反向=上盘）,upper,,,反向,半球/一球,0.75,0.5920000000000001,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,10.787,10.86,RUN_20260919_083825,23e6daa1f6de95421a9f,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,3008243,英冠,2026-9-19 19:30 北京时间（东8区）,2026-09-19T19:30:00+08:00,斯托克城,谢菲尔德联队,可投,,斯托克城（上盘）,upper,,,正向,平手/半球,1.03,0.529,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,10.787,10.86,RUN_20260919_083825,7b5ac7d5be16f4682c88,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,2998118,丹麦甲,2026-9-19 20:00 北京时间（东8区）,2026-09-19T20:00:00+08:00,AB格莱萨克瑟,埃斯比约,可投,,AB格莱萨克瑟（反向=上盘）,upper,,,反向,平手/半球,0.83,0.5760000000000001,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,11.287,11.36,RUN_20260919_083825,67ab6c768da3eac11eb8,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,2997727,法乙,2026-9-19 20:00 北京时间（东8区）,2026-09-19T20:00:00+08:00,布洛涅,南特,可投,,南特（反向=上盘）,upper,,,反向,平手/半球,0.82,0.584,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,11.287,11.36,RUN_20260919_083825,811dcae9f8456f8f3cee,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,3014085,西乙,2026-9-19 20:00 北京时间（东8区）,2026-09-19T20:00:00+08:00,皇家社会B队,马洛卡,可投,,马洛卡（反向=上盘）,upper,,,反向,半球,0.84,0.584,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,11.287,11.36,RUN_20260919_083825,1f42e0dc7ab3d2f59336,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,2993803,意甲,2026-9-19 21:00 北京时间（东8区）,2026-09-19T21:00:00+08:00,乌迪内斯,卡利亚里,可投,,乌迪内斯（上盘）,upper,,,正向,平手/半球,0.95,0.5589999999999999,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,12.287,12.36,RUN_20260919_083825,a0e8c831a8fb48546df9,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-19,3008241,英冠,2026-9-19 22:00 北京时间（东8区）,2026-09-19T22:00:00+08:00,朴茨茅斯,布莱克本,可投,,朴茨茅斯（反向=上盘）,upper,,,反向,平手/半球,0.83,0.584,,2026-09-19T08:38:25+08:00,2026-09-19T08:38:25+08:00,2026-09-19T08:42:48+08:00,0.073,13.287,13.36,RUN_20260919_083825,3bbe329a824596a4cce1,,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
