version,list_date,match_id,competition,kickoff_beijing,kickoff_at,home_team,away_team,action,grade,selected_team,market_side,giving_team,receiving_team,direction,handicap,water,probability,ev_mean,quote_at,last_confirmed_at,decision_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,run_id,decision_id,parent_decision_id,is_morning_baseline,is_latest_valid_prematch,monitoring_bucket,model_id,side_mapping_version,rule_version,source_snapshot,real_money,status
V3_PRODUCTION,2026-09-15,3017158,保乙,2026-9-16 00:00 北京时间（东8区）,2026-09-16T00:00:00+08:00,卢多戈雷茨B队,弗拉特里亚,可投,,弗拉特里亚（反向=上盘）,upper,,,反向,半球,0.77,0.5920000000000001,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,5.851,5.929,RUN_20260915_180834,c9ec9ad495b8505eba83,ca6927c117f94d702520,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3072752,意杯,2026-9-16 00:00 北京时间（东8区）,2026-09-16T00:00:00+08:00,热那亚,南蒂罗尔,可投,,热那亚（上盘）,upper,,,正向,一球,1.01,0.529,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,5.851,5.929,RUN_20260915_180834,fd62c87bc2ad2899e5dc,9e5f294a016b92d65683,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3084425,丹麦杯,2026-9-16 01:00 北京时间（东8区）,2026-09-16T01:00:00+08:00,海勒鲁普,埃斯比约,可投,,埃斯比约（反向=上盘）,upper,,,反向,一球,0.8,0.5760000000000001,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,6.851,6.929,RUN_20260915_180834,49ff81cbafd61d05af2d,5fbcdc6f72427c0eca90,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3013700,西甲,2026-9-16 01:00 北京时间（东8区）,2026-09-16T01:00:00+08:00,巴列卡诺,西班牙人,可投,,巴列卡诺（上盘）,upper,,,正向,平手/半球,1.05,0.5589999999999999,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,6.851,6.929,RUN_20260915_180834,9636b27465616a7dee1f,cbe9f57249d05c56cc99,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,2996124,荷甲,2026-9-16 02:00 北京时间（东8区）,2026-09-16T02:00:00+08:00,阿贾克斯,威廉二世,可投,,阿贾克斯（反向=上盘）,upper,,,反向,两球半,0.85,0.5760000000000001,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,7.851,7.929,RUN_20260915_180834,0c58f4db320dac94423e,884b85b05ade9cadca20,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3008214,英冠,2026-9-16 02:45 北京时间（东8区）,2026-09-16T02:45:00+08:00,布里斯托城,林肯城,可投,,布里斯托城（反向=上盘）,upper,,,反向,半球,0.83,0.584,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,8.601,8.679,RUN_20260915_180834,0e1d3d9eb2a6ef300274,8fcaf61a3668bc152098,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3008215,英冠,2026-9-16 02:45 北京时间（东8区）,2026-09-16T02:45:00+08:00,米德尔斯堡,米尔沃尔,可投,,米德尔斯堡（上盘）,upper,,,正向,一球/球半,1.01,0.529,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,8.601,8.679,RUN_20260915_180834,57b20cecb51ffedcf20c,cff30878b967e8667cf3,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3051302,意丙,2026-9-16 03:00 北京时间（东8区）,2026-09-16T03:00:00+08:00,巴勒塔,萨勒尼塔纳,可投,,萨勒尼塔纳（上盘）,upper,,,正向,平手/半球,1.14,0.529,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,8.851,8.929,RUN_20260915_180834,d98e0bc2e1cbb024b104,bfe44ccaf4b6ff7bb668,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3051310,意丙,2026-9-16 03:00 北京时间（东8区）,2026-09-16T03:00:00+08:00,斯卡法塔森,摩诺波利,可投,,摩诺波利（反向=上盘）,upper,,,反向,平手,0.8,0.584,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,8.851,8.929,RUN_20260915_180834,b2b753a3187bc35e9c0e,f4976be99cbf84beed7c,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
V3_PRODUCTION,2026-09-15,3072753,意杯,2026-9-16 03:00 北京时间（东8区）,2026-09-16T03:00:00+08:00,佛罗伦萨,比萨,可投,,佛罗伦萨（反向=上盘）,upper,,,反向,一球/球半,0.82,0.584,,2026-09-15T18:04:17+08:00,2026-09-15T18:04:17+08:00,2026-09-15T18:08:58+08:00,0.078,8.851,8.929,RUN_20260915_180834,e964409c4c5b5663e959,8b4fa77dc45d949e1f09,False,True,,V3_LEGACY_PRODUCTION,V3_LEGACY_PAGE_PARITY,V3_LEGACY_PAGE_PARITY,,true,
