match_id,quote_at,minutes_to_kickoff,freeze,primary_status,status
3092791,2026-09-23T20:25:30.657462+08:00,134.4890423,True,FROZEN_PRIMARY_4H,T30_FROZEN
3092792,2026-09-23T20:25:30.657462+08:00,134.4890423,True,FROZEN_PRIMARY_4H,T30_FROZEN
3092793,2026-09-23T20:25:30.657462+08:00,134.4890423,True,FROZEN_PRIMARY_4H,T30_FROZEN
3056764,2026-09-23T20:27:59.088959+08:00,152.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3074629,2026-09-23T20:27:59.088959+08:00,152.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3081614,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3081615,2026-09-23T20:27:59.088959+08:00,152.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3081616,2026-09-23T20:27:59.088959+08:00,152.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3081617,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3081618,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3081619,2026-09-23T20:27:59.088959+08:00,152.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3081620,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3081621,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3081622,,,False,MISSING_OR_NON_PREMATCH,MISSING
3081623,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3094657,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3092809,2026-09-23T20:27:59.088959+08:00,152.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3086456,2026-09-23T20:25:30.657462+08:00,154.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3094654,2026-09-23T20:27:59.088959+08:00,182.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3086454,2026-09-23T20:25:30.657462+08:00,184.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3084258,2026-09-23T20:27:59.088959+08:00,212.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3072798,2026-09-23T20:27:59.088959+08:00,212.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3072801,2026-09-23T20:27:59.088959+08:00,212.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
2998367,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3093697,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
2942630,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3074935,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3074939,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3094660,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3092012,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3092017,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3094508,2026-09-23T20:27:59.088959+08:00,212.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3086452,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3086455,2026-09-23T20:25:30.657462+08:00,214.48904230000002,True,FROZEN_PRIMARY_4H,T30_FROZEN
3086461,2026-09-23T20:27:59.088959+08:00,212.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3086469,2026-09-23T20:27:59.088959+08:00,212.01518401666667,False,PRIMARY_4H,PREVIEW_NOT_DECISION
3094048,2026-09-23T20:27:59.088959+08:00,242.01518401666667,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3092352,2026-09-23T20:27:59.088959+08:00,257.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3092353,2026-09-23T20:27:59.088959+08:00,257.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3086465,2026-09-23T20:27:59.088959+08:00,257.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072786,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072787,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072788,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072789,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072792,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072794,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072796,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
3072797,2026-09-23T20:27:59.088959+08:00,272.01518401666664,False,WAIT_PRIMARY_4H_WINDOW,PREVIEW_NOT_DECISION
