handicap,n,distinct_vectors,dominant_vector_share,status
0.25,62,62,0.016129032258064516,OK
1.5,6,6,0.16666666666666666,SMALL_SAMPLE
0.5,38,38,0.02631578947368421,OK
2.0,5,5,0.2,SMALL_SAMPLE
1.0,20,20,0.05,OK
1.25,14,14,0.07142857142857142,OK
0.75,47,47,0.02127659574468085,OK
2.5,3,3,0.3333333333333333,SMALL_SAMPLE
1.75,3,3,0.3333333333333333,SMALL_SAMPLE
2.25,1,1,1.0,SMALL_SAMPLE
