intent,n,share,status
真实示弱/阻下,2,0.3333333333333333,MONITOR
阻下/下盘保护,2,0.3333333333333333,MONITOR
诱上/阻下,1,0.16666666666666666,MONITOR
NEUTRAL,1,0.16666666666666666,MONITOR
