grade,n,abc,status
A,2,40,GRADE_MONOTONICITY_WARNING
B,9,40,GRADE_MONOTONICITY_WARNING
C,29,40,GRADE_MONOTONICITY_WARNING
N,0,40,GRADE_MONOTONICITY_WARNING
