version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V3,2914695,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,布拉格（反向=下盘）,,lower,平手,平手/半球,0,0.88,,,,,team;side;line;water
V3,2914696,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,无，不投,松兹瓦尔（反向=下盘）,upper,lower,一球/球半,球半,0,0.83,,,,,team;side;line;water
V3,2914702,DIRECTION_OR_ACTION_CHANGED,side,不投,不投,无，不投,无，不投,,upper,半球,半球,0,0,,,,,side
V3,2926327,DIRECTION_OR_ACTION_CHANGED,"team,water",不投,不投,坎尔托塔（上盘）,坎尔托塔（反向=上盘）,upper,upper,平手/半球,平手/半球,0.92,0.84,,,,,team;water
V3,2926329,DIRECTION_OR_ACTION_CHANGED,"team,water",不投,不投,西班牙联合（反向=上盘）,西班牙联合（上盘）,upper,upper,平手/半球,平手/半球,0.8,0.86,,,,,team;water
V3,2940179,DIRECTION_OR_ACTION_CHANGED,"team,side,water",不投,不投,累西腓体育（下盘）,无，不投,lower,,半球,半球,1.02,0,,,,,team;side;water
V3,2940182,DIRECTION_OR_ACTION_CHANGED,side,不投,不投,无，不投,无，不投,,upper,球半,球半,0,0,,,,,side
V3,2940183,UNCHANGED,,不投,不投,无，不投,无，不投,,,半球,半球,0,0,,,,,UNCHANGED
V3,2940716,DIRECTION_OR_ACTION_CHANGED,"side,line",不投,不投,无，不投,无，不投,,upper,,两球,0,0,,,,,side;line
V3,2942472,WATER_CHANGED,water,可投,可投,印地十一（上盘）,印地十一（上盘）,upper,upper,一球,一球,1,1.03,,,,,water
V3,2996124,DIRECTION_OR_ACTION_CHANGED,"action,team,side,water",不投,可投,威廉二世（反向=下盘）,阿贾克斯（反向=上盘）,lower,upper,两球半,两球半,1,0.85,,,,,action;team;side;water
V3,3000794,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water",不投,不投,草蜢（反向=下盘）,锡永（反向=上盘）,lower,upper,半球/一球,半球,0.9,0.87,,,,,team;side;line;water
V3,3008214,DIRECTION_OR_ACTION_CHANGED,"action,team,side,water",不投,可投,无，不投,布里斯托城（反向=上盘）,,upper,半球,半球,0,0.83,,,,,action;team;side;water
V3,3008215,DIRECTION_OR_ACTION_CHANGED,"action,team,side,line,water",不投,可投,无，不投,米德尔斯堡（上盘）,,upper,一球,一球/球半,0,1.01,,,,,action;team;side;line;water
V3,3011779,UNCHANGED,,不投,不投,无，不投,无，不投,,,平手/半球,平手/半球,0,0,,,,,UNCHANGED
V3,3012187,DIRECTION_OR_ACTION_CHANGED,"team,side,water",不投,不投,尤姆博独立（上盘）,无，不投,upper,,平手,平手,0.88,0,,,,,team;side;water
V3,3013692,DIRECTION_OR_ACTION_CHANGED,"action,team,line,water",可投,不投,阿拉维斯（反向=上盘）,无，不投,upper,upper,半球,半球/一球,0.85,0.96,,,,,action;team;line;water
V3,3013696,DIRECTION_OR_ACTION_CHANGED,"action,team,water",不投,可投,无，不投,皇家马德里（反向=上盘）,upper,upper,两球,两球,0.99,0.85,,,,,action;team;water
V3,3013700,WATER_CHANGED,water,可投,可投,巴列卡诺（上盘）,巴列卡诺（上盘）,upper,upper,平手/半球,平手/半球,0.96,1.05,,,,,water
V3,3017157,DIRECTION_OR_ACTION_CHANGED,"team,side,water",不投,不投,内塞伯尔（反向=下盘）,格纳火车头（反向=上盘）,lower,upper,半球,半球,0.84,0.7,,,,,team;side;water
V3,3017158,LINE_CHANGED,"line,water",可投,可投,弗拉特里亚（反向=上盘）,弗拉特里亚（反向=上盘）,upper,upper,平手/半球,半球,0.76,0.77,,,,,line;water
V3,3026045,DIRECTION_OR_ACTION_CHANGED,"action,team,side,water",可投,不投,杜伊斯堡（反向=上盘）,无，不投,upper,,球半,球半,0.82,0,,,,,action;team;side;water
V3,3026047,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,平手,平手,0,0,,,,,UNCHANGED
V3,3026051,DIRECTION_OR_ACTION_CHANGED,"action,water",可投,不投,科隆胜利（反向=上盘）,科隆胜利（反向=上盘）,upper,upper,平手,平手,0.78,0.76,,,,,action;water
V3,3026053,DIRECTION_OR_ACTION_CHANGED,"team,side,water",不投,不投,雷根斯堡（反向=下盘）,无，不投,lower,,平手/半球,平手/半球,0.82,0,,,,,team;side;water
V3,3026054,DIRECTION_OR_ACTION_CHANGED,"team,side,water",不投,不投,维尔茨堡踢球者（反向=下盘）,无，不投,lower,,半球,半球,0.77,0,,,,,team;side;water
V3,3049665,UNCHANGED,,不投,不投,无，不投,无，不投,upper,upper,两球/两球半,两球/两球半,0,0,,,,,UNCHANGED
V3,3049666,UNCHANGED,,不投,不投,无，不投,无，不投,lower,lower,半球,半球,0,0,,,,,UNCHANGED
