version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V3,3011864,NEW,"action,team,line,water",,不投,,无，不投,,,,球半,,0,,,,,action;team;line;water
V3,3011876,NEW,"action,team,line,water",,不投,,无，不投,,,,平手/半球,,0,,,,,action;team;line;water
V3,3012193,NEW,"action,team,side,line,water",,不投,,哥杜雷亚（上盘）,,upper,,平手,,0.92,,,,,action;team;side;line;water
V3,3012194,NEW,"action,team,side,line,water",,不投,,卡利竞技（上盘）,,upper,,平手,,0.94,,,,,action;team;side;line;water
V3,3012195,NEW,"action,team,side,line,water",,不投,,皇家桑坦德（上盘）,,upper,,平手/半球,,0.97,,,,,action;team;side;line;water
V3,3036347,NEW,"action,team,side,line,water",,不投,,贝维克（反向=下盘）,,lower,,半球/一球,,0.77,,,,,action;team;side;line;water
V3,3036348,NEW,"action,team,side,line,water",,可投,,艾尔德里联（反向=上盘）,,upper,,半球,,0.8,,,,,action;team;side;line;water
V3,3036349,NEW,"action,team,line,water",,不投,,无，不投,,,,两球/两球半,,0,,,,,action;team;line;water
V3,3036354,NEW,"action,team,side,line,water",,不投,,东基尔布莱德（反向=上盘）,,upper,,球半/两球,,0.77,,,,,action;team;side;line;water
V3,3036357,NEW,"action,team,side,line,water",,不投,,彼得黑德（反向=上盘）,,upper,,半球,,0.76,,,,,action;team;side;line;water
V3,3036358,NEW,"action,team,side,line,water",,不投,,无，不投,,upper,,一球,,0,,,,,action;team;side;line;water
V3,3036359,NEW,"action,team,side,line,water",,不投,,弗雷泽堡（反向=下盘）,,lower,,球半,,0.75,,,,,action;team;side;line;water
V3,3036360,NEW,"action,team,side,line,water",,不投,,加拉费瑞登（反向=下盘）,,lower,,两球/两球半,,0.82,,,,,action;team;side;line;water
V3,3036362,NEW,"action,team,side,line,water",,不投,,安南竞技（反向=下盘）,,lower,,半球,,0.76,,,,,action;team;side;line;water
V3,3036363,NEW,"action,team,side,line,water",,不投,,坎伯诺尔德（反向=下盘）,,lower,,一球/球半,,0.83,,,,,action;team;side;line;water
V3,3049661,NEW,"action,team,side,line,water",,不投,,无，不投,,upper,,一球,,0,,,,,action;team;side;line;water
V3,3049662,NEW,"action,team,side,line,water",,不投,,无，不投,,upper,,半球/一球,,0,,,,,action;team;side;line;water
V3,3049669,NEW,"action,team,side,line,water",,不投,,无，不投,,lower,,一球/球半,,0,,,,,action;team;side;line;water
V3,3072793,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,3072795,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,3086432,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,3086433,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,3086434,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,3086435,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,3086440,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,3086441,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
