grade,candidates,settled,pending,W,HW,P,HL,L,effective_win_rate,PnL,ROI,max_drawdown,drawdown_basis,calibration
A,31,31,0,7,11,0,0,13,0.49019607843137253,-1.08,-0.03483870967741936,5.365,1u each settled candidate ordered by kickoff,"{""actual_effective_win_rate"":0.49019607843137253,""brier"":0.25658260980240377,""ece"":0.08300443372131089,""effective_n"":25.5,""five_state_brier"":0.6612167442579592,""intercept"":-0.35766670868418243,""n"":31,""predicted_effective_win_rate"":0.5732005121526834,""slope"":1.0788276936643613}"
B,44,44,0,9,9,0,0,26,0.34177215189873417,-13.295,-0.30215909090909093,17.96,1u each settled candidate ordered by kickoff,"{""actual_effective_win_rate"":0.34177215189873417,""brier"":0.27986016494556987,""ece"":0.23287085534233345,""effective_n"":39.5,""five_state_brier"":0.6455334996233039,""intercept"":-0.627367711546072,""n"":44,""predicted_effective_win_rate"":0.5746430072410676,""slope"":-0.09290363334740481}"
C,167,166,1,65,19,6,0,76,0.4950166112956811,-13.18,-0.07939759036144578,24.415000000000006,1u each settled candidate ordered by kickoff,"{""actual_effective_win_rate"":0.4950166112956811,""brier"":0.2504053016859064,""ece"":0.0498497703510628,""effective_n"":150.5,""five_state_brier"":0.5939523369703801,""intercept"":-0.2437756650239131,""n"":166,""predicted_effective_win_rate"":0.5417833853435303,""slope"":1.3305062154092673}"
