intent,n,share,status
NEUTRAL,28,0.4375,MONITOR
阻下/下盘保护,15,0.234375,MONITOR
MIXED,9,0.140625,MONITOR
UNKNOWN,2,0.03125,MONITOR
真实示弱/阻下,10,0.15625,MONITOR
