handicap,n,distinct_vectors,dominant_vector_share,status
0.75,14,14,0.07142857142857142,OK
4.0,1,1,1.0,SMALL_SAMPLE
3.25,2,2,0.5,SMALL_SAMPLE
0.25,31,31,0.03225806451612903,OK
1.5,8,8,0.125,SMALL_SAMPLE
0.5,15,15,0.06666666666666667,OK
2.25,3,3,0.3333333333333333,SMALL_SAMPLE
5.25,1,1,1.0,SMALL_SAMPLE
3.0,1,1,1.0,SMALL_SAMPLE
1.0,12,12,0.08333333333333333,OK
2.0,4,4,0.25,SMALL_SAMPLE
1.25,8,8,0.125,SMALL_SAMPLE
1.75,4,4,0.25,SMALL_SAMPLE
