list_date,raw_valid_AH,neutral,unknown,directional,giving,receiving,A_giving,A_receiving,B_giving,B_receiving,C_giving,C_receiving,N_giving,N_receiving,A,B,C,N
2026-09-07,50,55,0,6,5,1,0,0,0,0,0,0,5,1,0,0,0,6
2026-09-08,161,110,0,67,56,11,0,0,0,0,0,0,56,11,0,0,0,67
2026-09-09,159,116,0,57,51,6,0,0,0,0,0,0,51,6,0,0,0,57
2026-09-10,108,92,0,39,32,7,0,0,0,0,0,0,32,7,0,0,0,39
2026-09-11,229,195,0,71,62,9,0,0,0,0,0,0,62,9,0,0,0,71
2026-09-12,409,490,0,6,4,2,0,0,0,0,0,0,4,2,0,0,0,6
2026-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
