version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V4_SHADOW,3088017,STATUS_CHANGED,status,,,乌兹别克斯坦女足(中),乌兹别克斯坦女足(中),giving,giving,-1.75,-1.75,0.8,0.8,N,N,-0.03428571428571431,-0.03428571428571431,status
V4_SHADOW,3088363,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3088371,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089000,UNCHANGED,,,,,,,,,,,,,,,,UNCHANGED
V4_SHADOW,3089001,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089226,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089227,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089228,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089293,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089294,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089295,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089645,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089646,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089651,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,科摩罗U20,,receiving,,2.0,,0.83,,N,,-0.30312500000000003,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,3089652,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089701,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089702,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089767,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3089768,STATUS_CHANGED,status,,,,,neutral,neutral,,,,,,,,,status
V4_SHADOW,3090892,DIRECTION_OR_ACTION_CHANGED,"side,status",,,,,,neutral,,,,,,,,,side;status
V4_SHADOW,3090946,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3090951,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3091029,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3091701,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,西班牙中心,neutral,receiving,,0.5,,0.76,,N,,-0.11497142857142856,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,3091876,UNCHANGED,,,,,,,,,,,,,,,,UNCHANGED
V4_SHADOW,3091966,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,多米尼克,,giving,,-2.0,,0.93,,C,,0.21062500000000006,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,3092184,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092185,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092191,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092192,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092193,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092194,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092195,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092196,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092197,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092198,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092625,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3092633,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093116,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093117,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093118,UNCHANGED,,,,,,,,,,,,,,,,UNCHANGED
V4_SHADOW,3093213,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093635,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093659,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,3093676,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
