list_date,group,value,frozen_bettable,settled,counts,effective_win_rate,pnl_1u,roi,settled_roi,roi_denominator,pending,real_money
2026-09-16,competition,亚冠精英,1,1,"{""W"": 1}",1.0,1.01,1.01,1.01,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,亚冠联2,2,2,"{""L"": 2}",0.0,-2.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,俄超,2,2,"{""HW"": 1, ""L"": 1}",0.3333333333333333,-0.47,-0.235,-0.235,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,厄瓜乙,1,1,"{""HW"": 1}",1.0,0.515,0.515,0.515,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,埃及超,2,1,"{""W"": 1}",1.0,1.05,0.525,1.05,FROZEN_BETTABLE_1U,1,False
2026-09-16,competition,希腊杯,1,1,"{""W"": 1}",1.0,1.03,1.03,1.03,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,德丙,2,2,"{""HL"": 1, ""L"": 1}",0.0,-1.5,-0.75,-0.75,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,意丁,4,4,"{""L"": 3, ""HL"": 1}",0.0,-3.5,-0.875,-0.875,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,挪威杯,3,3,"{""L"": 2, ""W"": 1}",0.3333333333333333,-1.01,-0.3367,-0.3367,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,捷克杯,1,1,"{""W"": 1}",1.0,0.84,0.84,0.84,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,斯伐杯,1,1,"{""W"": 1}",1.0,0.76,0.76,0.76,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,欧罗巴杯,4,4,"{""W"": 1, ""HL"": 1, ""L"": 2}",0.2857142857142857,-1.48,-0.37,-0.37,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,美冠联,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-16,competition,美女职,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-16,competition,英联杯,2,2,"{""HL"": 1, ""W"": 1}",0.6666666666666666,0.56,0.28,0.28,FROZEN_BETTABLE_1U,0,False
2026-09-16,competition,西甲,2,1,"{""W"": 1}",1.0,1.06,0.53,1.06,FROZEN_BETTABLE_1U,1,False
2026-09-16,competition,阿后备,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-16,selected_side,giving,15,14,"{""W"": 4, ""L"": 6, ""HL"": 3, ""HW"": 1}",0.375,-3.005,-0.2003,-0.2146,FROZEN_BETTABLE_1U,1,False
2026-09-16,selected_side,receiving,16,13,"{""L"": 6, ""HW"": 1, ""W"": 5, ""HL"": 1}",0.4583333333333333,-1.13,-0.0706,-0.0869,FROZEN_BETTABLE_1U,3,False
2026-09-16,grade,A,1,1,"{""W"": 1}",1.0,0.76,0.76,0.76,FROZEN_BETTABLE_1U,0,False
2026-09-16,grade,B,1,1,"{""W"": 1}",1.0,1.06,1.06,1.06,FROZEN_BETTABLE_1U,0,False
2026-09-16,grade,C,29,25,"{""W"": 7, ""L"": 12, ""HW"": 2, ""HL"": 4}",0.36363636363636365,-5.955,-0.2053,-0.2382,FROZEN_BETTABLE_1U,4,False
2026-09-16,line,-0.25,2,2,"{""W"": 1, ""L"": 1}",0.5,0.05,0.025,0.025,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,-0.75,2,2,"{""L"": 1, ""HW"": 1}",0.3333333333333333,-0.485,-0.2425,-0.2425,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,-1.25,5,4,"{""W"": 1, ""HL"": 3}",0.4,-0.47,-0.094,-0.1175,FROZEN_BETTABLE_1U,1,False
2026-09-16,line,-1.5,4,4,"{""L"": 3, ""W"": 1}",0.25,-1.94,-0.485,-0.485,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,-2.0,1,1,"{""W"": 1}",1.0,0.84,0.84,0.84,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,-2.25,1,1,"{""L"": 1}",0.0,-1.0,-1.0,-1.0,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,0.25,5,4,"{""HW"": 1, ""L"": 2, ""W"": 1}",0.42857142857142855,-0.46,-0.092,-0.115,FROZEN_BETTABLE_1U,1,False
2026-09-16,line,0.5,3,3,"{""L"": 2, ""W"": 1}",0.3333333333333333,-0.98,-0.3267,-0.3267,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,0.75,3,3,"{""L"": 1, ""W"": 1, ""HL"": 1}",0.4,-0.44,-0.1467,-0.1467,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,1.0,3,1,"{""L"": 1}",0.0,-1.0,-0.3333,-1.0,FROZEN_BETTABLE_1U,2,False
2026-09-16,line,2.5,1,1,"{""W"": 1}",1.0,0.76,0.76,0.76,FROZEN_BETTABLE_1U,0,False
2026-09-16,line,3.25,1,1,"{""W"": 1}",1.0,0.99,0.99,0.99,FROZEN_BETTABLE_1U,0,False
2026-09-17,competition,亚冠联2,2,0,{},,0,0.0,,FROZEN_BETTABLE_1U,2,False
2026-09-17,competition,俄甲,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,competition,南美杯,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,competition,哈萨克超,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,competition,希腊杯,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,competition,欧罗巴杯,4,0,{},,0,0.0,,FROZEN_BETTABLE_1U,4,False
2026-09-17,competition,英联杯,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,competition,解放者杯,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,selected_side,giving,5,0,{},,0,0.0,,FROZEN_BETTABLE_1U,5,False
2026-09-17,selected_side,receiving,7,0,{},,0,0.0,,FROZEN_BETTABLE_1U,7,False
2026-09-17,grade,A,2,0,{},,0,0.0,,FROZEN_BETTABLE_1U,2,False
2026-09-17,grade,B,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,grade,C,9,0,{},,0,0.0,,FROZEN_BETTABLE_1U,9,False
2026-09-17,line,-0.25,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,line,-1.5,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,line,-2.0,2,0,{},,0,0.0,,FROZEN_BETTABLE_1U,2,False
2026-09-17,line,-2.25,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,line,1.0,4,0,{},,0,0.0,,FROZEN_BETTABLE_1U,4,False
2026-09-17,line,1.25,1,0,{},,0,0.0,,FROZEN_BETTABLE_1U,1,False
2026-09-17,line,2.5,2,0,{},,0,0.0,,FROZEN_BETTABLE_1U,2,False
