version,list_date,match_id,kickoff_at,time_bucket,quote_age_bucket,hours_from_last_refresh_to_kickoff,grade_or_action,settlement_status,sample,effective_win_rate,pnl_1u,roi,monitoring_only
V3,2026-09-21,3017162,2026-09-22T00:00:00+08:00,其他时段,>4h-8h,7.739,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-21,3017165,2026-09-22T00:30:00+08:00,其他时段,>8h-12h,8.239,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-21,3050939,2026-09-22T02:30:00+08:00,其他时段,>8h-12h,10.239,可投,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3088011,2026-09-21T15:00:00+08:00,其他时段,>4h-8h,6.673,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3088016,2026-09-21T15:00:00+08:00,其他时段,>4h-8h,6.673,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,2971096,2026-09-21T19:00:00+08:00,其他时段,>2h-4h,2.739,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3093723,2026-09-21T19:00:00+08:00,其他时段,>2h-4h,2.739,A,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,2968255,2026-09-21T20:00:00+08:00,其他时段,>2h-4h,3.739,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3091966,2026-09-21T22:00:00+08:00,其他时段,>4h-8h,5.739,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3037919,2026-09-21T23:00:00+08:00,其他时段,>4h-8h,6.739,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3010431,2026-09-22T02:00:00+08:00,其他时段,>8h-12h,9.739,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3065807,2026-09-22T02:00:00+08:00,其他时段,>8h-12h,9.739,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,3046032,2026-09-22T07:00:00+08:00,04:00-10:00,>12h,14.739,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,2962645,2026-09-22T08:15:00+08:00,04:00-10:00,>12h,15.989,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-21,2940188,2026-09-22T08:30:00+08:00,04:00-10:00,>12h,16.239,C,PREMATCH_ONLY,1,,,,True
