list_date,match_id,version,competition,match,fact_score,known_at_decision,new_after_decision,process_gap,error_hypothesis,preventability,evidence_confidence,research_hypothesis,review_status,decision_at,decision_hash,original_action_or_grade
2026-09-25,2781222,V3,欧青U21外,芬兰U21 vs 西班牙U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781222,V4,欧青U21外,芬兰U21 vs 西班牙U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,4d563f0384649e494b2d,
2026-09-25,2781223,V3,欧青U21外,塞浦路斯U21 vs 罗马尼亚U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781223,V4,欧青U21外,塞浦路斯U21 vs 罗马尼亚U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,87b2d84e682bcd43f936,
2026-09-25,2781253,V3,欧青U21外,保加利亚U21 vs 葡萄牙U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781253,V4,欧青U21外,保加利亚U21 vs 葡萄牙U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,fdfd690a093ab9981c08,C
2026-09-25,2781254,V3,欧青U21外,阿塞拜疆U21 vs 捷克U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781254,V4,欧青U21外,阿塞拜疆U21 vs 捷克U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,8a4b124c0f5d7fd9c26f,N
2026-09-25,2781282,V3,欧青U21外,爱沙尼亚U21 vs 法罗群岛U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781282,V4,欧青U21外,爱沙尼亚U21 vs 法罗群岛U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,81e83c35459b588fd8be,
2026-09-25,2781283,V3,欧青U21外,瑞士U21 vs 卢森堡U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781283,V4,欧青U21外,瑞士U21 vs 卢森堡U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,4c9b62d10acd1378fd6e,N
2026-09-25,2781284,V3,欧青U21外,冰岛U21 vs 法国U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781284,V4,欧青U21外,冰岛U21 vs 法国U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,d40f4e6ad215e3d43aba,N
2026-09-25,2781365,V3,欧青U21外,荷兰U21 vs 挪威U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781365,V4,欧青U21外,荷兰U21 vs 挪威U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,1e8a66f3d3256824fa3a,N
2026-09-25,2781433,V3,欧青U21外,英格兰U21 vs 哈萨克斯坦U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781433,V4,欧青U21外,英格兰U21 vs 哈萨克斯坦U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,e84281c85eca74dc348a,N
2026-09-25,2781434,V3,欧青U21外,斯洛伐克U21 vs 爱尔兰U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2781434,V4,欧青U21外,斯洛伐克U21 vs 爱尔兰U21,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,84c5c895f532b680f496,
2026-09-25,2913955,V3,挪女超,博德闪耀女足 vs 罗亚女足,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2913955,V4,挪女超,博德闪耀女足 vs 罗亚女足,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,c331ec7769f4dcdaacfd,
2026-09-25,2914303,V3,爱超,戈尔韦联 vs 谢尔伯恩,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2914303,V4,爱超,戈尔韦联 vs 谢尔伯恩,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,c88183bb55d230300fec,
2026-09-25,2917132,V3,瑞典女甲,奥雷布罗斯女足 vs 宁高平女足,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2917132,V4,瑞典女甲,奥雷布罗斯女足 vs 宁高平女足,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,66dc04077beab6f78581,
2026-09-25,2919918,V3,瑞典乙南,隆德斯 vs 克里斯堤斯塔,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2919918,V4,瑞典乙南,隆德斯 vs 克里斯堤斯塔,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,3a6d6a2bd56d2510f414,
2026-09-25,2920159,V3,瑞典乙北,哈马比TFF vs 斯托克松德,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2920159,V4,瑞典乙北,哈马比TFF vs 斯托克松德,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,66c54a9ba3770aebb7d9,
2026-09-25,2921942,V3,芬甲,科特卡 vs MP米克力,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2921942,V4,芬甲,科特卡 vs MP米克力,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,4c38404577e474e965c9,B
2026-09-25,2921943,V3,芬甲,卡亚尼卡帕 vs 哈卡,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2921943,V4,芬甲,卡亚尼卡帕 vs 哈卡,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,f358f5a3032f7f3366c0,C
2026-09-25,2926995,V3,瑞典丙VG,达斯托普斯 vs 波尔赞,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2926995,V4,瑞典丙VG,达斯托普斯 vs 波尔赞,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,5f299ab352734e4de530,
2026-09-25,2926997,V3,瑞典丙VG,兰维特IS vs 拖斯兰达,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2926997,V4,瑞典丙VG,兰维特IS vs 拖斯兰达,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,a2775cf49ae746608c89,
2026-09-25,2927179,V3,瑞典丙SG,拉佩高尔夫 vs 华克斯乔诺拉,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2927179,V4,瑞典丙SG,拉佩高尔夫 vs 华克斯乔诺拉,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,4cf26874317560a0baac,
2026-09-25,2927362,V3,瑞典丙NG,华纳斯堡斯 vs 阿拉佛斯,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2927362,V4,瑞典丙NG,华纳斯堡斯 vs 阿拉佛斯,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,905c4f300909a36aec01,
2026-09-25,2934821,V3,阿乙曼特秋,伊希库斯尼斯塔史 vs 皇家皮拉尔,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45+08:00,6a00f1df3316f807ca4d,不投
2026-09-25,2934821,V4,阿乙曼特秋,伊希库斯尼斯塔史 vs 皇家皮拉尔,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,03430638cdd571921c8e,
2026-09-25,2934823,V3,阿乙曼特秋,意杜萨高 vs 联合防卫队,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45+08:00,521bb39a8a20a838b6dd,不投
2026-09-25,2934823,V4,阿乙曼特秋,意杜萨高 vs 联合防卫队,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,687bd47d335aec1ce46d,
2026-09-25,2935300,V3,阿丙曼特,梅塞德斯 vs 波多黎各努埃沃,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2935300,V4,阿丙曼特,梅塞德斯 vs 波多黎各努埃沃,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,f3edb967df5d7011cbdf,
2026-09-25,2937617,V3,加拿职,骑兵队 vs 魁北克苏普拉,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2937617,V4,加拿职,骑兵队 vs 魁北克苏普拉,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,71a00fba9f59657139f3,
2026-09-25,2939058,V3,爱甲,科布漫步者 vs 阿斯隆城,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2939058,V4,爱甲,科布漫步者 vs 阿斯隆城,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,b86693495717c8387ba2,N
2026-09-25,2939059,V3,爱甲,凯里FC vs 韦克斯福德,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2939059,V4,爱甲,凯里FC vs 韦克斯福德,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,19baa9b4a907b7991e00,N
2026-09-25,2939060,V3,爱甲,特瑞特联 vs 费恩哈普,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2939060,V4,爱甲,特瑞特联 vs 费恩哈普,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,cc9200299b79f7968070,N
2026-09-25,2939061,V3,爱甲,都柏林大学 vs 布雷,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,,,
2026-09-25,2939061,V4,爱甲,都柏林大学 vs 布雷,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,2c532374843ed212bd85,
2026-09-25,2940202,V3,巴西乙,诺瓦里桑蒂诺 vs 圣贝纳多,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45+08:00,7301338bffa41c68b925,不投
2026-09-25,2940202,V4,巴西乙,诺瓦里桑蒂诺 vs 圣贝纳多,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,e79a67eea43aa316c95c,C
2026-09-25,2940204,V3,巴西乙,维拉诺瓦 vs 隆迪那,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45+08:00,e7a3c46c4f177a768d3d,不投
2026-09-25,2940204,V4,巴西乙,维拉诺瓦 vs 隆迪那,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,015c4f8a689da551f670,C
2026-09-25,2942632,V3,美冠联,埃尔帕索机车 vs 塔尔萨FC,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45+08:00,3d9ab843cce218f85675,可投
2026-09-25,2942632,V4,美冠联,埃尔帕索机车 vs 塔尔萨FC,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,e9e813cebe354aefc50d,
2026-09-25,2942633,V3,美冠联,哈特福德竞技 vs 路易斯维尔FC,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45+08:00,2fc7f7e31bba339a39dd,不投
2026-09-25,2942633,V4,美冠联,哈特福德竞技 vs 路易斯维尔FC,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45.777321+08:00,0eb0507cfbc9f1b3af4a,N
2026-09-25,2942642,V3,美冠联,运动Jax vs 劳顿联,,not reconstructed from future result,,,UNKNOWN,unknown,low,,PENDING_RESULT,2026-09-25T09:06:45+08:00,f16c651a5166591bf840,可投
