version,list_date,match_id,kickoff_at,time_bucket,quote_age_bucket,hours_from_last_refresh_to_kickoff,grade_or_action,settlement_status,sample,effective_win_rate,pnl_1u,roi,monitoring_only
V3,2026-09-16,3074090,2026-09-16T21:45:00+08:00,其他时段,<=2h,-2.092,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3009463,2026-09-16T23:00:00+08:00,其他时段,<=2h,-0.842,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3012305,2026-09-16T23:30:00+08:00,其他时段,<=2h,-0.342,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3012306,2026-09-16T23:30:00+08:00,其他时段,<=2h,-0.342,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3086431,2026-09-17T00:00:00+08:00,其他时段,<=2h,0.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3050924,2026-09-17T00:30:00+08:00,其他时段,<=2h,0.658,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3050922,2026-09-17T00:30:00+08:00,其他时段,<=2h,0.658,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3050927,2026-09-17T00:30:00+08:00,其他时段,<=2h,0.658,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3026052,2026-09-17T01:00:00+08:00,其他时段,<=2h,1.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3013695,2026-09-17T01:00:00+08:00,其他时段,<=2h,1.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3013693,2026-09-17T01:00:00+08:00,其他时段,<=2h,1.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3089687,2026-09-17T02:00:00+08:00,其他时段,>2h-4h,2.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3072967,2026-09-17T02:45:00+08:00,其他时段,>2h-4h,2.908,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3072968,2026-09-17T02:45:00+08:00,其他时段,>2h-4h,2.908,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3050930,2026-09-17T03:00:00+08:00,其他时段,>2h-4h,3.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3073784,2026-09-17T03:00:00+08:00,其他时段,>2h-4h,3.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3073776,2026-09-17T03:00:00+08:00,其他时段,>2h-4h,3.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3072964,2026-09-17T03:00:00+08:00,其他时段,>2h-4h,3.158,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3013697,2026-09-17T03:30:00+08:00,其他时段,>2h-4h,3.658,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-16,3013698,2026-09-17T03:30:00+08:00,其他时段,>2h-4h,3.658,可投,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3059459,2026-09-16T22:00:00+08:00,其他时段,<=2h,1.172,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3089131,2026-09-16T22:30:00+08:00,其他时段,<=2h,1.672,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3074093,2026-09-16T22:45:00+08:00,其他时段,<=2h,1.922,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3012305,2026-09-16T23:30:00+08:00,其他时段,>2h-4h,2.672,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3068992,2026-09-17T00:00:00+08:00,其他时段,<=2h,0.158,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3084239,2026-09-17T00:00:00+08:00,其他时段,<=2h,0.158,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3084240,2026-09-17T00:00:00+08:00,其他时段,<=2h,0.158,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3084242,2026-09-17T00:00:00+08:00,其他时段,<=2h,0.158,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3089763,2026-09-17T00:30:00+08:00,其他时段,<=2h,0.658,A,PREMATCH_ONLY,1,,,,True
V4,2026-09-16,3073770,2026-09-17T00:45:00+08:00,其他时段,<=2h,0.908,C,PREMATCH_ONLY,1,,,,True
