version,list_date,match_id,kickoff_at,time_bucket,quote_age_bucket,hours_from_last_refresh_to_kickoff,grade_or_action,settlement_status,sample,effective_win_rate,pnl_1u,roi,monitoring_only
V3,2026-09-26,3001193,2026-09-26T16:00:00+08:00,其他时段,>4h-8h,6.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3000087,2026-09-26T16:00:00+08:00,其他时段,>4h-8h,6.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3009383,2026-09-26T16:15:00+08:00,其他时段,>4h-8h,7.234,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3088942,2026-09-26T17:00:00+08:00,其他时段,>4h-8h,7.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3014528,2026-09-26T18:00:00+08:00,其他时段,>8h-12h,8.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,2951580,2026-09-26T19:30:00+08:00,其他时段,>8h-12h,10.484,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,2913353,2026-09-26T20:00:00+08:00,其他时段,>8h-12h,10.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3050566,2026-09-26T20:30:00+08:00,其他时段,>8h-12h,11.484,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3036375,2026-09-26T22:00:00+08:00,其他时段,>12h,12.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3036366,2026-09-26T22:00:00+08:00,其他时段,>12h,12.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3007116,2026-09-26T22:00:00+08:00,其他时段,>12h,12.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3014529,2026-09-26T22:30:00+08:00,其他时段,>12h,13.484,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3014526,2026-09-26T22:30:00+08:00,其他时段,>12h,13.484,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3050942,2026-09-26T23:30:00+08:00,其他时段,>12h,14.484,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3014096,2026-09-27T00:30:00+08:00,其他时段,>12h,15.484,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3066741,2026-09-27T02:00:00+08:00,其他时段,>12h,16.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,2955387,2026-09-27T02:00:00+08:00,其他时段,>12h,16.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3020156,2026-09-27T02:45:00+08:00,其他时段,>12h,17.734,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,3020014,2026-09-27T02:45:00+08:00,其他时段,>12h,17.734,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,2942635,2026-09-27T07:00:00+08:00,04:00-10:00,>12h,21.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,2942634,2026-09-27T07:00:00+08:00,04:00-10:00,>12h,21.984,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,2942641,2026-09-27T08:30:00+08:00,04:00-10:00,>12h,23.484,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-26,2908813,2026-09-27T09:30:00+08:00,04:00-10:00,>12h,24.484,可投,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3092292,2026-09-26T10:30:00+08:00,其他时段,<=2h,1.484,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3092293,2026-09-26T11:30:00+08:00,其他时段,>2h-4h,2.484,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3001194,2026-09-26T12:00:00+08:00,其他时段,>2h-4h,2.984,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,2956834,2026-09-26T12:00:00+08:00,其他时段,>2h-4h,2.984,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3071099,2026-09-26T13:30:00+08:00,其他时段,>4h-8h,4.484,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3000083,2026-09-26T16:00:00+08:00,其他时段,>4h-8h,6.984,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3000085,2026-09-26T16:00:00+08:00,其他时段,>4h-8h,6.984,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3001192,2026-09-26T16:00:00+08:00,其他时段,>4h-8h,6.984,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3094824,2026-09-26T18:30:00+08:00,其他时段,>8h-12h,9.484,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,2921944,2026-09-26T20:00:00+08:00,其他时段,>8h-12h,10.984,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-26,3001033,2026-09-26T21:00:00+08:00,其他时段,>8h-12h,11.984,C,PREMATCH_ONLY,1,,,,True
