version,list_date,match_id,kickoff_at,time_bucket,quote_age_bucket,hours_from_last_refresh_to_kickoff,grade_or_action,settlement_status,sample,effective_win_rate,pnl_1u,roi,monitoring_only
V3,2026-09-23,3086970,2026-09-23T13:00:00+08:00,其他时段,>4h-8h,5.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3086972,2026-09-23T15:00:00+08:00,其他时段,>4h-8h,7.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3084566,2026-09-23T16:00:00+08:00,其他时段,>8h-12h,8.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3086456,2026-09-23T23:00:00+08:00,其他时段,>2h-4h,2.628,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,2942630,2026-09-24T00:00:00+08:00,其他时段,>2h-4h,3.628,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3089736,2026-09-24T01:45:00+08:00,其他时段,>4h-8h,5.378,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3058928,2026-09-24T02:00:00+08:00,其他时段,>12h,18.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3058932,2026-09-24T02:00:00+08:00,其他时段,>12h,18.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3058930,2026-09-24T02:00:00+08:00,其他时段,>12h,18.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3058927,2026-09-24T02:00:00+08:00,其他时段,>12h,18.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3058933,2026-09-24T02:30:00+08:00,其他时段,>12h,18.836,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3036364,2026-09-24T02:45:00+08:00,其他时段,>12h,19.086,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3058934,2026-09-24T02:45:00+08:00,其他时段,>12h,19.086,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3092496,2026-09-24T03:00:00+08:00,其他时段,>12h,19.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3092508,2026-09-24T04:00:00+08:00,04:00-10:00,>12h,20.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,3092502,2026-09-24T07:00:00+08:00,04:00-10:00,>12h,23.336,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-23,2908516,2026-09-24T09:30:00+08:00,04:00-10:00,>12h,13.128,可投,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,3089653,2026-09-23T21:00:00+08:00,其他时段,>12h,13.336,B,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,3089654,2026-09-23T21:00:00+08:00,其他时段,<=2h,0.628,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,3086463,2026-09-23T21:00:00+08:00,其他时段,<=2h,0.628,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,3074936,2026-09-23T22:00:00+08:00,其他时段,>12h,14.336,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,3081614,2026-09-23T23:00:00+08:00,其他时段,>2h-4h,2.628,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,3081623,2026-09-23T23:00:00+08:00,其他时段,>2h-4h,2.628,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,2998367,2026-09-24T00:00:00+08:00,其他时段,>2h-4h,3.628,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,2942630,2026-09-24T00:00:00+08:00,其他时段,>2h-4h,3.628,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-23,3092352,2026-09-24T00:45:00+08:00,其他时段,>12h,17.086,C,PREMATCH_ONLY,1,,,,True
