version,list_date,match_id,kickoff_at,time_bucket,quote_age_bucket,hours_from_last_refresh_to_kickoff,grade_or_action,settlement_status,sample,effective_win_rate,pnl_1u,roi,monitoring_only
V3,2026-09-15,3017158,2026-09-16T00:00:00+08:00,其他时段,>4h-8h,5.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3072752,2026-09-16T00:00:00+08:00,其他时段,>4h-8h,5.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3084425,2026-09-16T01:00:00+08:00,其他时段,>4h-8h,6.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3013700,2026-09-16T01:00:00+08:00,其他时段,>4h-8h,6.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,2996124,2026-09-16T02:00:00+08:00,其他时段,>4h-8h,7.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3008214,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3008215,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3051302,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3051310,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3072753,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3072969,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3072971,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,3013696,2026-09-16T03:30:00+08:00,其他时段,>8h-12h,9.429,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-15,2942472,2026-09-16T07:00:00+08:00,04:00-10:00,>12h,12.929,可投,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3068858,2026-09-15T18:00:00+08:00,其他时段,<=2h,-0.071,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3056284,2026-09-15T18:00:00+08:00,其他时段,<=2h,-0.071,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3049667,2026-09-15T18:30:00+08:00,其他时段,<=2h,0.429,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3091352,2026-09-15T20:00:00+08:00,其他时段,<=2h,1.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3091353,2026-09-15T20:00:00+08:00,其他时段,<=2h,1.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3068861,2026-09-15T20:15:00+08:00,其他时段,>2h-4h,2.179,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3017157,2026-09-15T23:30:00+08:00,其他时段,>4h-8h,5.429,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3003104,2026-09-16T00:00:00+08:00,其他时段,>4h-8h,5.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3051308,2026-09-16T00:30:00+08:00,其他时段,>4h-8h,6.429,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3013700,2026-09-16T01:00:00+08:00,其他时段,>4h-8h,6.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3000794,2026-09-16T01:00:00+08:00,其他时段,>4h-8h,6.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,2914696,2026-09-16T01:00:00+08:00,其他时段,>4h-8h,6.929,B,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3084425,2026-09-16T01:00:00+08:00,其他时段,>4h-8h,6.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3091441,2026-09-16T01:00:00+08:00,其他时段,>4h-8h,6.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3012829,2026-09-16T02:00:00+08:00,其他时段,>4h-8h,7.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3012980,2026-09-16T02:00:00+08:00,其他时段,>4h-8h,7.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3012989,2026-09-16T02:00:00+08:00,其他时段,>4h-8h,7.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3089088,2026-09-16T02:00:00+08:00,其他时段,>4h-8h,7.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3008214,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3008215,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3002049,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3019526,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,A,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3019527,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3028880,2026-09-16T02:45:00+08:00,其他时段,>8h-12h,8.679,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3072969,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3051302,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,B,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3072753,2026-09-16T03:00:00+08:00,其他时段,>8h-12h,8.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3013696,2026-09-16T03:30:00+08:00,其他时段,>8h-12h,9.429,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3072986,2026-09-16T06:00:00+08:00,04:00-10:00,>8h-12h,11.929,B,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3090248,2026-09-16T07:30:00+08:00,04:00-10:00,>12h,13.429,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,2940179,2026-09-16T08:00:00+08:00,04:00-10:00,>12h,13.929,C,PREMATCH_ONLY,1,,,,True
V4,2026-09-15,3024390,2026-09-16T09:00:00+08:00,04:00-10:00,>12h,14.929,C,PREMATCH_ONLY,1,,,,True
