version,list_date,match_id,kickoff_at,time_bucket,quote_age_bucket,hours_from_last_refresh_to_kickoff,grade_or_action,settlement_status,sample,effective_win_rate,pnl_1u,roi,monitoring_only
V3,2026-09-19,2925535,2026-09-19T15:30:00+08:00,其他时段,>4h-8h,6.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3009379,2026-09-19T16:15:00+08:00,其他时段,>4h-8h,7.61,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3000470,2026-09-19T17:30:00+08:00,其他时段,>8h-12h,8.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2951660,2026-09-19T19:30:00+08:00,其他时段,>8h-12h,10.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3008243,2026-09-19T19:30:00+08:00,其他时段,>8h-12h,10.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2998118,2026-09-19T20:00:00+08:00,其他时段,>8h-12h,11.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2997727,2026-09-19T20:00:00+08:00,其他时段,>8h-12h,11.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3014085,2026-09-19T20:00:00+08:00,其他时段,>8h-12h,11.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2993803,2026-09-19T21:00:00+08:00,其他时段,>12h,12.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3008241,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3008246,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3007109,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3007111,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3007110,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3007114,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3007112,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3003896,2026-09-19T22:00:00+08:00,其他时段,>12h,13.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3013702,2026-09-19T22:15:00+08:00,其他时段,>12h,13.61,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3023490,2026-09-19T22:30:00+08:00,其他时段,>12h,13.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2914708,2026-09-19T23:00:00+08:00,其他时段,>12h,14.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3018820,2026-09-20T00:30:00+08:00,其他时段,>12h,15.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3003897,2026-09-20T00:30:00+08:00,其他时段,>12h,15.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3014082,2026-09-20T00:30:00+08:00,其他时段,>12h,15.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3013704,2026-09-20T00:30:00+08:00,其他时段,>12h,15.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3014902,2026-09-20T00:45:00+08:00,其他时段,>12h,16.11,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3040746,2026-09-20T01:30:00+08:00,其他时段,>12h,16.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2997528,2026-09-20T02:00:00+08:00,其他时段,>12h,17.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2996155,2026-09-20T02:00:00+08:00,其他时段,>12h,17.36,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3019144,2026-09-20T02:30:00+08:00,其他时段,>12h,17.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,3051313,2026-09-20T02:30:00+08:00,其他时段,>12h,17.86,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2995346,2026-09-20T02:45:00+08:00,其他时段,>12h,18.11,可投,PREMATCH_ONLY,1,,,,True
V3,2026-09-19,2995344,2026-09-20T02:45:00+08:00,其他时段,>12h,18.11,可投,PREMATCH_ONLY,1,,,,True
