日期,国家,层级,赛事,比赛,比分,状态,盘口档位,候选标签,赛事级样本,赛事级正向胜率,赛事级反向胜率,赛事级胜率高方,盘口标签样本,盘口标签正向胜率,盘口标签反向胜率,盘口标签胜率高方,HTML最终方向,HTML正期望方球队,HTML选中胜率,HTML选中水位,水位阈值,HTML是否可投,HTML原因
2026-08-24,西班牙,次级,西乙,格拉纳达 vs 马洛卡,格拉纳达2-0马洛卡,已结算,平手/半球,阻上/诱下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-24,西班牙,顶级,西甲,马拉加 vs 拉科鲁尼亚,马拉加1-1拉科鲁尼亚,已结算,平手/半球,阻上/降温保护,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,卡迪夫城 vs 诺维奇,卡迪夫城1-2诺维奇,已结算,平手/半球,诱下/上盘降温,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,唐卡斯特 vs 米德尔斯堡,唐卡斯特1-3米德尔斯堡,已结算,一球,阻上/诱下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,伊普斯维奇 vs 莱斯特城,伊普斯维奇3-1莱斯特城,已结算,一球,诱上/阻下,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,剑桥联 vs 米尔沃尔,剑桥联0-1米尔沃尔,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,南安普敦 vs 西汉姆联,南安普敦1-4西汉姆联,已结算,平手,平衡盘/等待临场确认,7,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,巴恩斯利 vs 克鲁,巴恩斯利3-2克鲁,已结算,一球,阻上/降温保护,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,布莱克本 vs 谢菲尔德联队,布莱克本1-2谢菲尔德联队,已结算,平手,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,布莱克浦 vs 林肯城,布莱克浦1-4林肯城,已结算,半球,诱下/上盘降温,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,弗利特伍德 vs 什鲁斯伯里,弗利特伍德4-0什鲁斯伯里,已结算,半球,阻上/降温保护,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,斯托克城 vs 赫尔城,斯托克城1-1赫尔城,已结算,平手,真实示弱/阻下,8,62.5%,37.5%,正向,0,,,不投,正向,,62.5%,,,不投,当前正期望方水位缺失
2026-08-25,英格兰,杯赛,英联杯,斯蒂文尼奇 vs 雷丁,斯蒂文尼奇0-3雷丁,已结算,平手/半球,诱下/上盘降温,7,样本不足<8,样本不足<8,不投,1,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,普利茅斯 vs 考文垂,普利茅斯2-4考文垂,已结算,半球/一球,平衡盘/等待临场确认,10,55.6%,44.4%,正向,0,,,不投,正向,考文垂,55.6%,1.04,51.0%,可投,通过:55.6% >= 51.0%
2026-08-25,英格兰,杯赛,英联杯,沃尔索尔 vs 莱顿东方,沃尔索尔0-0莱顿东方,已结算,平手/半球,平衡盘/等待临场确认,9,62.5%,37.5%,正向,0,,,不投,正向,沃尔索尔,62.5%,0.96,53.0%,可投,通过:62.5% >= 53.0%
2026-08-25,英格兰,杯赛,英联杯,沃特福德 vs 彼得堡联,沃特福德1-5彼得堡联,已结算,一球,诱下/上盘降温,9,62.5%,37.5%,正向,0,,,不投,正向,彼得堡联,62.5%,0.86,55.8%,可投,通过:62.5% >= 55.8%
2026-08-25,英格兰,杯赛,英联杯,谢周三 vs 狼队,谢周三0-2狼队,已结算,一球,阻上/诱下,6,样本不足<8,样本不足<8,不投,1,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,伯明翰 vs 布伦特福德,伯明翰1-6布伦特福德,已结算,半球,诱上/阻下,0,,,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,英格兰,杯赛,英联杯,诺丁汉森林 vs 利兹联,诺丁汉森林0-2利兹联,已结算,平手/半球,诱上/阻下,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-25,西班牙,顶级,西甲,巴伦西亚 vs 皇家贝蒂斯,巴伦西亚0-1皇家贝蒂斯,已结算,平手,诱上/阻下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-26,英格兰,杯赛,英联杯,布拉德福德 vs 伯恩利,布拉德福德0-0伯恩利,已结算,平手/半球,平衡盘/等待临场确认,10,55.6%,44.4%,正向,0,,,不投,正向,伯恩利,55.6%,1.11,49.4%,可投,通过:55.6% >= 49.4%
2026-08-26,英格兰,杯赛,英联杯,托特纳姆热刺 vs 查尔顿,托特纳姆热刺5-1查尔顿,已结算,两球,阻上/诱下,11,50.0%,50.0%,正向,0,,,不投,正向,托特纳姆热刺,50.0%,0.87,55.5%,不投,赛前历史胜率50.0%低于水位阈值55.5%
2026-08-26,英格兰,杯赛,英联杯,纽卡斯尔联 vs 西布罗姆维奇,纽卡斯尔联3-2西布罗姆维奇,已结算,球半,真实示强/阻上,10,55.6%,44.4%,正向,0,,,不投,正向,纽卡斯尔联,55.6%,1.08,50.1%,可投,通过:55.6% >= 50.1%
