日期,国家,层级,赛事,比赛,比分,状态,盘口档位,候选标签,赛事级样本,赛事级正向胜率,赛事级反向胜率,赛事级胜率高方,盘口标签样本,盘口标签正向胜率,盘口标签反向胜率,盘口标签胜率高方,HTML最终方向,HTML正期望方球队,HTML选中胜率,HTML选中水位,水位阈值,HTML是否可投,HTML原因
2026-08-29,英格兰,次级,英冠,卡迪夫城 vs 谢菲尔德联队,2-2,已结算,平手/半球,阻上/诱下,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,布莱克本 vs 女王公园巡游者,1-2,已结算,平手/半球,阻上/降温保护,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,布里斯托城 vs 朴茨茅斯,2-1,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,查尔顿 vs 普雷斯顿,1-0,已结算,平手/半球,诱上/阻下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,沃特福德 vs 西汉姆联,1-1,已结算,半球,阻下/上盘保护,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次级,英冠,诺维奇 vs 伯恩利,4-1,已结算,平手/半球,平衡盘/等待临场确认,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,剑桥联 vs 哈德斯菲尔德,1-2,已结算,平手,诱上/阻下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,斯托克港 vs 韦康比流浪者,5-1,已结算,半球,平衡盘/等待临场确认,6,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,斯蒂文尼奇 vs 唐卡斯特,2-2,已结算,平手/半球,诱下/上盘降温,5,样本不足<8,样本不足<8,不投,1,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,普利茅斯 vs 布拉德福德,2-0,已结算,平手/半球,平衡盘/等待临场确认,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,莱顿东方 vs 巴恩斯利,1-3,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,诺茨郡 vs 伯顿,2-1,已结算,平手/半球,诱下/上盘降温,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,次次级,英甲,谢周三 vs 布罗姆利,7-2,已结算,半球,诱上/阻下,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,顶级,英超,伯恩茅斯 vs 埃弗顿,1-1,已结算,半球,阻上/降温保护,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,顶级,英超,考文垂 vs 赫尔城,0-1,已结算,半球/一球,阻上/诱下,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次次级,德丙,霍芬海姆业馀队 vs 雷根斯堡,5-1,已结算,平手/半球,阻上/降温保护,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次级,西乙,萨瓦德尔 vs 阿尔梅里亚,1-0,已结算,平手,阻上/降温保护,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,UD欧云斯 vs 邦弗拉甸拿,0-1,已结算,平手,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,顶级,西甲,莱万特 vs 皇家贝蒂斯,5-2,已结算,平手/半球,平衡盘/等待临场确认,6,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,顶级,法甲,斯特拉斯堡 vs 朗斯,2-1,已结算,半球,阻上/诱下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,次次级,意丙,AS奥斯提亚马尔 vs 格罗瑟托,1-2,已结算,平手,诱上/阻下,8,68.8%,25.0%,正向,0,,,不投,正向,格罗瑟托,68.8%,0.9,54.6%,可投,通过:68.8% >= 54.6%
2026-08-29,意大利,次次级,意丙,托里斯 vs 萨比尼迪特斯,1-0,已结算,平手/半球,平衡盘/等待临场确认,11,59.1%,36.4%,正向,0,,,不投,正向,,59.1%,,,不投,当前正期望方水位缺失
2026-08-29,意大利,次次级,意丙,拉维纳 vs 拉蒂那,3-1,已结算,半球,诱上/阻下,9,72.2%,22.2%,正向,0,,,不投,正向,拉蒂那,72.2%,1.0,52.0%,可投,通过:72.2% >= 52.0%
2026-08-29,意大利,次次级,意丙,福贾 vs 萨勒尼塔纳,1-1,已结算,平手/半球,诱下/上盘降温,12,54.2%,41.7%,正向,0,,,不投,正向,萨勒尼塔纳,54.2%,0.98,52.5%,可投,通过:54.2% >= 52.5%
2026-08-29,意大利,次次级,意丙,索伦托卡西奥 vs 克罗托内,1-0,已结算,平手/半球,诱上/阻下,14,53.6%,39.3%,正向,5,样本不足<8,样本不足<8,不投,正向,克罗托内,53.6%,1.0,52.0%,可投,通过:53.6% >= 52.0%
2026-08-29,意大利,次次级,意丙,萨沃亚 vs 卡塞塔纳,1-2,已结算,平手/半球,诱下/上盘降温,13,50.0%,42.3%,正向,1,样本不足<8,样本不足<8,不投,正向,卡塞塔纳,50.0%,0.98,52.5%,不投,赛前历史胜率50.0%低于水位阈值52.5%
2026-08-29,德国,顶级,德甲,多特蒙德 vs 汉堡,2-0,已结算,球半,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,顶级,意甲,佛罗伦萨 vs 弗洛西诺尼,0-3,已结算,半球/一球,诱上/阻下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,顶级,意甲,萨索洛 vs 都灵,2-1,已结算,平手/半球,平衡盘/等待临场确认,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,顶级,意甲,蒙扎 vs 乌迪内斯,2-3,已结算,平手/半球,阻上/降温保护,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,英格兰,顶级,英超,托特纳姆热刺 vs 纽卡斯尔联,0-2,已结算,平手/半球,平衡盘/等待临场确认,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,亚勒那斯 vs 费罗尔竞技,1-1,已结算,平手,诱上/阻下,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,次级,意乙,恩特拉 vs 切塞纳,1-2,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,次级,意乙,桑普多利亚 vs 史泰比亚,1-2,已结算,半球,平衡盘/等待临场确认,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次级,西乙,莱加内斯 vs 埃登斯,1-0,已结算,半球,平衡盘/等待临场确认,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次级,西乙,阿尔巴塞特 vs 皇家奥维耶多,0-1,已结算,平手/半球,阻上/降温保护,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,顶级,西甲,皇家社会 vs 西班牙人,2-1,已结算,半球/一球,阻上/诱下,6,样本不足<8,样本不足<8,不投,1,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,梅里达AD vs 拉科鲁尼亚B队,1-0,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,瑞欧马加达宏达 vs 比利亚雷亚尔B队,1-2,已结算,平手/半球,平衡盘/等待临场确认,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,艾基史拉斯 vs 卡塔赫纳,1-3,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,萨莫拉 vs 毕尔巴鄂竞技B队,1-1,已结算,半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,韦斯卡 vs 圣特安德雷,1-0,已结算,半球/一球,诱上/阻下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,次级,法乙,甘冈 vs 南特,3-3,已结算,平手,降温保护/诱下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,德国,次级,德乙,纽伦堡 vs 比勒菲尔德,4-1,已结算,平手/半球,平衡盘/等待临场确认,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,顶级,意甲,尤文图斯 vs 帕尔马,2-0,已结算,球半/两球,平衡盘/等待临场确认,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,顶级,法甲,布雷斯特 vs 图卢兹,2-2,已结算,平手,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,顶级,法甲,欧塞尔 vs 昂热,1-3,已结算,半球,阻上/降温保护,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,顶级,法甲,洛里昂 vs 特鲁瓦,1-2,已结算,半球,阻下/上盘保护,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,法国,顶级,法甲,里昂 vs 勒阿弗尔,1-1,已结算,一球/球半,阻上/降温保护,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,次次级,意丙,摩诺波利 vs 卡塔尼亚,2-0,已结算,平手/半球,平衡盘/等待临场确认,13,50.0%,42.3%,正向,0,,,不投,正向,,50.0%,,,不投,当前正期望方水位缺失
2026-08-29,意大利,次次级,意丙,斯佩齐亚 vs 坎伯巴索,1-0,已结算,半球,诱上/阻下,10,65.0%,30.0%,正向,1,样本不足<8,样本不足<8,不投,正向,坎伯巴索,65.0%,0.95,53.3%,可投,通过:65.0% >= 53.3%
2026-08-29,意大利,次次级,意丙,皮内托 vs 利沃诺,0-0,已结算,平手,平衡盘/等待临场确认,9,72.2%,22.2%,正向,0,,,不投,正向,,72.2%,,,不投,当前正期望方水位缺失
2026-08-29,意大利,次次级,意丙,福尔利 vs 佩斯卡拉,6-3,已结算,半球,诱下/上盘降温,7,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,次次级,意丙,科森扎 vs 波坦察,1-2,已结算,平手/半球,真实示弱/阻下,11,59.1%,36.4%,正向,1,样本不足<8,样本不足<8,不投,正向,科森扎,59.1%,0.65,62.6%,不投,赛前历史胜率59.1%低于水位阈值62.6%
2026-08-29,意大利,次级,意乙,帕多瓦 vs 维罗纳,1-1,已结算,平手,诱上/阻下,2,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,次级,意乙,阿斯科利 vs 凯勒雷斯,1-1,已结算,半球,平衡盘/等待临场确认,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,意大利,次级,意乙,阿维利诺 vs 维琴察,3-0,已结算,平手/半球,真实示强/阻上,1,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次级,西乙,赫罗纳 vs 拉斯帕尔马斯,5-2,已结算,半球/一球,平衡盘/等待临场确认,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,次次级,西协甲,赫库斯 vs 穆尔西亚,1-2,已结算,平手,诱上/阻下,2,样本不足<8,样本不足<8,不投,1,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-29,西班牙,顶级,西甲,塞维利亚 vs 马德里竞技,1-3,已结算,半球,阻上/降温保护,7,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,意大利,顶级,意甲,莱切 vs 罗马,0-4,已结算,一球/球半,阻上/诱下,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,西班牙,次级,西乙,布尔戈斯 vs 皇家社会B队,2-2,已结算,半球,诱上/阻下,3,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,西班牙,次次级,西协甲,洛格朗尼斯 vs 艾斯马度华,2-1,已结算,平手/半球,真实示强/阻上,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,西班牙,顶级,西甲,奥萨苏纳 vs 赫塔菲,1-0,已结算,平手/半球,阻下/上盘保护,8,37.5%,43.8%,反向,0,,,不投,反向,赫塔菲,43.8%,1.04,51.0%,不投,赛前历史胜率43.8%低于水位阈值51.0%
2026-08-31,意大利,次次级,意丙,诺瓦拉 vs US弗格尔,2-2,已结算,平手/半球,诱下/上盘降温,15,50.0%,43.3%,正向,2,样本不足<8,样本不足<8,不投,正向,诺瓦拉,50.0%,0.99,52.2%,不投,赛前历史胜率50.0%低于水位阈值52.2%
2026-08-31,意大利,顶级,意甲,亚特兰大 vs 博洛尼亚,1-0,已结算,半球,平衡盘/等待临场确认,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,法国,次级,法乙,第戎 vs 圣埃蒂安,2-3,已结算,半球/一球,诱上/阻下,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,意大利,次次级,意丙,AC雷纳特 vs 奇塔代拉,0-1,已结算,平手/半球,阻上/降温保护,16,46.9%,43.8%,正向,0,,,不投,正向,,46.9%,,,不投,当前正期望方水位缺失
2026-08-31,意大利,次次级,意丙,加尔维纳 vs 特伦托,0-0,已结算,平手/半球,平衡盘/等待临场确认,15,50.0%,43.3%,正向,0,,,不投,正向,,50.0%,,,不投,当前正期望方水位缺失
2026-08-31,意大利,次次级,意丙,特雷维索 vs 莱科,1-0,已结算,平手/半球,真实示强/阻上,16,46.9%,43.8%,正向,0,,,不投,正向,特雷维索,46.9%,0.88,55.2%,不投,赛前历史胜率46.9%低于水位阈值55.2%
2026-08-31,意大利,次次级,意丙,阿尔比诺勒菲 vs 奥斯皮塔莱托,1-1,已结算,平手/半球,阻上/降温保护,15,50.0%,43.3%,正向,0,,,不投,正向,,50.0%,,,不投,当前正期望方水位缺失
2026-08-31,英格兰,顶级,英超,阿斯顿维拉 vs 阿森纳,0-1,已结算,一球,诱上/阻下,5,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,西班牙,次次级,西协甲,特鲁埃尔 vs 皇家马德里B队,0-0,已结算,平手/半球,阻上/诱下,5,样本不足<8,样本不足<8,不投,1,样本不足<8,样本不足<8,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,西班牙,次级,西乙,塞尔塔B队 vs 卡斯迪隆,1-2,已结算,半球/一球,阻上/降温保护,4,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
2026-08-31,西班牙,顶级,西甲,巴塞罗那 vs 巴列卡诺,5-2,已结算,两球半/三球,诱上/阻下,7,样本不足<8,样本不足<8,不投,0,,,不投,不投,,,,,不投,赛事级和盘口标签历史样本都不足
