口径,方向,样本,红,红半,走,黑半,黑,有效胜率,负率,均注盈亏,ROI
五大顶级联赛,原始意图正向,26,11,2,2,1,10,0.5333,0.4667,1.0250,0.0394
五大顶级联赛,原始意图反向,26,10,1,2,2,11,0.4667,0.5333,-2.6600,-0.1023
五大顶级联赛,最新skill七重漏斗通过后,4,1,0,0,0,3,0.2500,0.7500,-1.2200,-0.3050
五大非顶级/杯赛,原始意图正向,74,32,1,5,9,27,0.5078,0.4922,0.6850,0.0093
五大非顶级/杯赛,原始意图反向,74,27,9,5,1,32,0.4922,0.5078,-5.7900,-0.0782
五大非顶级/杯赛,最新skill七重漏斗通过后,9,4,0,0,0,5,0.4444,0.5556,-0.7100,-0.0789
