日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选,是否有效亚盘结算
2026-08-24,德国杯,国内杯赛,SC维尔 vs 汉堡,0-3,ledger赛果兜底,20260824-TITAN-2995127-盘口快照-不形成模拟,盘口快照-不形成模拟,0.88/-1.5/1.0,-1.5,球半,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.00，下盘水位0.88，欧赔支持上盘,上盘,1.0,赢,1.0,1.0,下盘,0.88,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995127,德国杯,德国,杯赛,是,True
2026-08-24,德国杯,国内杯赛,哈雷斯彻 vs 沙尔克04,2-2,ledger赛果兜底,20260824-TITAN-2995139-盘口快照-不形成模拟,盘口快照-不形成模拟,0.97/-1.75/0.91,-1.75,球半/两球,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.91，下盘水位0.97，欧赔支持上盘,上盘,0.91,输,-1.0,-1.0,下盘,0.97,赢,1.0,0.97,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995139,德国杯,德国,杯赛,是,True
2026-08-24,德国杯,国内杯赛,维尔茨堡踢球者 vs 科隆,1-2,ledger赛果兜底,20260824-TITAN-2995148-盘口快照-不形成模拟,盘口快照-不形成模拟,1.08/-1.5/0.8,-1.5,球半,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.80，下盘水位1.08，欧赔变化不大,下盘,1.08,赢,1.0,1.08,上盘,0.8,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995148,德国杯,德国,杯赛,是,True
2026-08-24,法乙,成年联赛T2,兰斯 vs 阿纳西,3-1,ledger赛果兜底,20260824-TITAN-2997696-盘口快照-不形成模拟,盘口快照-不形成模拟,1.06/0.75/0.82,0.75,半球/一球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.06，下盘水位0.82，欧赔变化不大,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997696,法乙,法国,次级,是,False
2026-08-24,英超,成年联赛T1,富勒姆 vs 切尔西,2-3,ledger赛果兜底,20260824-TITAN-3003858-盘口快照-不形成模拟,盘口快照-不形成模拟,1.0/-0.5/0.89,-0.5,半球,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.89，下盘水位1.00，欧赔支持上盘,上盘,0.89,赢,1.0,0.89,下盘,1.0,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003858,英超,英格兰,顶级,是,True
2026-08-24,西甲,成年联赛T1,马拉加 vs 拉科鲁尼亚,1-1,ledger赛果兜底,20260824-TITAN-3013658-盘口快照-不形成模拟,盘口快照-不形成模拟,1.02/0.25/0.87,0.25,平手/半球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.02，下盘水位0.87，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013658,西甲,西班牙,顶级,是,False
2026-08-24,西甲,成年联赛T1,奥萨苏纳 vs 莱万特,0-0,ledger赛果兜底,20260824-TITAN-3013659-盘口快照-不形成模拟,盘口快照-不形成模拟,0.89/0.5/1.0,0.5,半球,主队,真实示弱/阻下,主队上盘，让球退盘，上盘水位0.89，下盘水位1.00，欧赔削弱上盘,下盘,1.0,赢,1.0,1.0,上盘,0.89,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013659,西甲,西班牙,顶级,是,True
2026-08-24,西乙,成年联赛T2,格拉纳达 vs 马洛卡,2-0,ledger赛果兜底,20260824-TITAN-3014039-盘口快照-不形成模拟,盘口快照-不形成模拟,0.78/-0.25/1.12,-0.25,平手/半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.12，下盘水位0.78，欧赔变化不大,上盘,1.12,输,-1.0,-1.0,下盘,0.78,赢,1.0,0.78,否,缺失,Titan价格流；PM/必发/BTTS缺,,3014039,西乙,西班牙,次级,是,True
2026-08-24,西乙,成年联赛T2,塞尔塔B队 vs 安道尔FC,4-2,ledger赛果兜底,20260824-TITAN-3014043-盘口快照-不形成模拟,盘口快照-不形成模拟,1.03/-0.25/0.86,-0.25,平手/半球,客队,阻下/上盘保护,客队上盘，让球基本稳定，上盘水位0.86，下盘水位1.03，欧赔支持上盘,上盘,0.86,输,-1.0,-1.0,下盘,1.03,赢,1.0,1.03,否,缺失,Titan价格流；PM/必发/BTTS缺,,3014043,西乙,西班牙,次级,是,True
2026-08-24,意丙,成年联赛T3,US弗格尔 vs 多洛米蒂贝卢诺,1-2,ledger赛果兜底,20260824-TITAN-3050504-盘口快照-不形成模拟,盘口快照-不形成模拟,0.8/0.25/1.02,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.80，下盘水位1.02，欧赔支持上盘,下盘,1.02,赢,1.0,1.02,上盘,0.8,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3050504,意丙,意大利,次次级,是,True
