日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选,是否有效亚盘结算
2026-08-25,英联杯,国内杯赛,普利茅斯 vs 考文垂,2-4,ledger赛果兜底,20260825-TITAN-3062781-盘口快照-不形成模拟,盘口快照-不形成模拟,0.91/-0.75/0.91,-0.75,半球/一球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.91，下盘水位0.91，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062781,英联杯,英格兰,杯赛,是,False
2026-08-26,西甲,成年联赛T1,皇家马德里 vs 皇家社会,4-1,ledger赛果兜底,20260826-TITAN-3013649-盘口快照-不形成模拟,盘口快照-不形成模拟,0.85/1.5/1.03,1.5,球半,主队,诱上/阻下,主队上盘，让球加深，上盘水位0.85，下盘水位1.03，欧赔支持上盘,下盘,1.03,输,-1.0,-1.0,上盘,0.85,赢,1.0,0.85,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013649,西甲,西班牙,顶级,是,True
2026-08-26,英联杯,国内杯赛,布拉德福德 vs 伯恩利,0-0,ledger赛果兜底,20260826-TITAN-3062763-盘口快照-不形成模拟,盘口快照-不形成模拟,0.97/-0.25/0.85,-0.25,平手/半球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.85，下盘水位0.97，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062763,英联杯,英格兰,杯赛,是,False
2026-08-26,英联杯,国内杯赛,纽卡斯尔联 vs 西布罗姆维奇,3-2,ledger赛果兜底,20260826-TITAN-3062771-盘口快照-不形成模拟,盘口快照-不形成模拟,0.94/1.5/0.88,1.5,球半,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.94，下盘水位0.88，欧赔变化不大,上盘,0.94,输,-1.0,-1.0,下盘,0.88,赢,1.0,0.88,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062771,英联杯,英格兰,杯赛,是,True
2026-08-26,英联杯,国内杯赛,普雷斯顿 vs 埃弗顿,0-4,ledger赛果兜底,20260826-TITAN-3062773-盘口快照-不形成模拟,盘口快照-不形成模拟,0.92/-1.0/0.9,-1.0,一球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.90，下盘水位0.92，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062773,英联杯,英格兰,杯赛,是,False
2026-08-26,英联杯,国内杯赛,托特纳姆热刺 vs 查尔顿,5-1,ledger赛果兜底,20260826-TITAN-3062778-盘口快照-不形成模拟,盘口快照-不形成模拟,1.01/2.0/0.81,2.0,两球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.01，下盘水位0.81，欧赔变化不大,上盘,1.01,赢,1.0,1.01,下盘,0.81,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062778,英联杯,英格兰,杯赛,是,True
2026-08-27,西甲,成年联赛T1,巴塞罗那 vs 毕尔巴鄂竞技,2-0,ledger赛果兜底,20260827-TITAN-3013644-盘口快照-不形成模拟,盘口快照-不形成模拟,0.87/1.75/1.02,1.75,球半/两球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.87，下盘水位1.02，欧赔削弱上盘,上盘,0.87,赢半,0.5,0.435,下盘,1.02,输半,-0.5,-0.5,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013644,西甲,西班牙,顶级,是,True
2026-08-27,西甲,成年联赛T1,塞尔塔 vs 奥萨苏纳,1-2,ledger赛果兜底,20260827-TITAN-3013645-盘口快照-不形成模拟,盘口快照-不形成模拟,0.99/0.5/0.9,0.5,半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.99，下盘水位0.90，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013645,西甲,西班牙,顶级,是,False
2026-08-27,法丙,成年联赛T3,卡昂 vs 巴斯蒂亚,0-1,ledger赛果兜底,20260827-TITAN-3019974-盘口快照-不形成模拟,盘口快照-不形成模拟,0.78/0.25/1.08,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球加深，上盘水位0.78，下盘水位1.08，欧赔削弱上盘,下盘,1.08,赢,1.0,1.08,上盘,0.78,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3019974,法丙,法国,次次级,是,True
2026-08-27,英联杯,国内杯赛,切尔西 vs 卢顿,2-0,ledger赛果兜底,20260827-TITAN-3062766-盘口快照-不形成模拟,盘口快照-不形成模拟,0.99/2.25/0.89,2.25,两球/两球半,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.99，下盘水位0.89，欧赔变化不大,上盘,0.99,输半,-0.5,-0.5,下盘,0.89,赢半,0.5,0.445,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062766,英联杯,英格兰,杯赛,是,True
2026-08-27,英联杯,国内杯赛,富勒姆 vs AFC温布尔登,3-0,ledger赛果兜底,20260827-TITAN-3062769-盘口快照-不形成模拟,盘口快照-不形成模拟,0.91/2.0/0.97,2.0,两球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.91，下盘水位0.97，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3062769,英联杯,英格兰,杯赛,是,False
2026-08-28,意甲,成年联赛T1,AC米兰 vs 威尼斯,2-0,ledger赛果兜底,20260828-TITAN-2993765-盘口快照-不形成模拟,盘口快照-不形成模拟,0.78/1.0/1.12,1.0,一球,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.78，下盘水位1.12，欧赔支持上盘,上盘,0.78,赢,1.0,0.78,下盘,1.12,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2993765,意甲,意大利,顶级,是,True
2026-08-28,法甲,成年联赛T1,里尔 vs 巴黎圣日耳曼,2-2,ledger赛果兜底,20260828-TITAN-2995325-盘口快照-不形成模拟,盘口快照-不形成模拟,1.11/-0.75/0.79,-0.75,半球/一球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.79，下盘水位1.11，欧赔削弱上盘,下盘,1.11,赢,1.0,1.11,上盘,0.79,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995325,法甲,法国,顶级,是,True
2026-08-28,法乙,成年联赛T2,克莱蒙 vs 索肖,0-0,ledger赛果兜底,20260828-TITAN-2997700-盘口快照-不形成模拟,盘口快照-不形成模拟,0.8/0.0/1.08,0.0,平手,客队,阻上/降温保护,客队上盘，让球基本稳定，上盘水位1.08，下盘水位0.80，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997700,法乙,法国,次级,是,False
2026-08-28,法乙,成年联赛T2,拉瓦勒 vs 格勒诺布尔,0-3,ledger赛果兜底,20260828-TITAN-2997703-盘口快照-不形成模拟,盘口快照-不形成模拟,0.86/0.25/1.02,0.25,平手/半球,主队,阻下/上盘保护,主队上盘，让球基本稳定，上盘水位0.86，下盘水位1.02，欧赔变化不大,上盘,0.86,输,-1.0,-1.0,下盘,1.02,赢,1.0,1.02,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997703,法乙,法国,次级,是,True
2026-08-28,法乙,成年联赛T2,蒙彼利埃 vs 布洛涅,0-0,ledger赛果兜底,20260828-TITAN-2997704-盘口快照-不形成模拟,盘口快照-不形成模拟,1.08/0.75/0.8,0.75,半球/一球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.08，下盘水位0.80，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997704,法乙,法国,次级,是,False
2026-08-28,法乙,成年联赛T2,南锡 vs USL敦刻尔克,2-0,ledger赛果兜底,20260828-TITAN-2997705-盘口快照-不形成模拟,盘口快照-不形成模拟,0.86/0.0/1.02,0.0,平手,主队,阻下/上盘保护,主队上盘，让球基本稳定，上盘水位0.86，下盘水位1.02，欧赔变化不大,上盘,0.86,赢,1.0,0.86,下盘,1.02,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997705,法乙,法国,次级,是,True
2026-08-28,法乙,成年联赛T2,罗德兹 vs 波城,2-2,ledger赛果兜底,20260828-TITAN-2997707-盘口快照-不形成模拟,盘口快照-不形成模拟,1.02/0.75/0.86,0.75,半球/一球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.02，下盘水位0.86，欧赔变化不大,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997707,法乙,法国,次级,是,False
2026-08-28,英超,成年联赛T1,水晶宫 vs 曼彻斯特城,1-4,ledger赛果兜底,20260828-TITAN-3003863-盘口快照-不形成模拟,盘口快照-不形成模拟,1.05/-0.75/0.84,-0.75,半球/一球,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位0.84，下盘水位1.05，欧赔变化不大,上盘,0.84,赢,1.0,0.84,下盘,1.05,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003863,英超,英格兰,顶级,是,True
2026-08-28,英冠,成年联赛T2,雷克瑟姆 vs 伯明翰,1-2,ledger赛果兜底,20260828-TITAN-3008187-盘口快照-不形成模拟,盘口快照-不形成模拟,0.9/0.25/0.98,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.90，下盘水位0.98，欧赔削弱上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3008187,英冠,英格兰,次级,是,False
2026-08-28,西甲,成年联赛T1,阿拉维斯 vs 比利亚雷亚尔,1-0,ledger赛果兜底,20260828-TITAN-3013662-盘口快照-不形成模拟,盘口快照-不形成模拟,0.96/-0.25/0.93,-0.25,平手/半球,客队,平衡盘/等待临场确认,客队上盘，让球基本稳定，上盘水位0.93，下盘水位0.96，欧赔削弱上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013662,西甲,西班牙,顶级,是,False
2026-08-28,西甲,成年联赛T1,桑坦德竞技 vs 埃尔切,3-2,ledger赛果兜底,20260828-TITAN-3013668-盘口快照-不形成模拟,盘口快照-不形成模拟,1.06/0.5/0.83,0.5,半球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.06，下盘水位0.83，欧赔削弱上盘,上盘,1.06,赢,1.0,1.06,下盘,0.83,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3013668,西甲,西班牙,顶级,是,True
2026-08-28,西乙,成年联赛T2,特内里费 vs 希洪竞技,0-1,ledger赛果兜底,20260828-TITAN-3014053-盘口快照-不形成模拟,盘口快照-不形成模拟,0.98/0.25/0.91,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.98，下盘水位0.91，欧赔支持上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3014053,西乙,西班牙,次级,是,False
2026-08-28,西协甲,成年联赛T3,卡些连奴 vs 米兰德斯,1-0,ledger赛果兜底,20260828-TITAN-3014486-盘口快照-不形成模拟,盘口快照-不形成模拟,0.76/-0.25/1.06,-0.25,平手/半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.06，下盘水位0.76，欧赔变化不大,上盘,1.06,输,-1.0,-1.0,下盘,0.76,赢,1.0,0.76,否,缺失,Titan价格流；PM/必发/BTTS缺,,3014486,西协甲,西班牙,次次级,是,True
2026-08-28,西协甲,成年联赛T3,皇家阿维勒斯 vs 庞特贝德拉,0-1,ledger赛果兜底,20260828-TITAN-3014489-盘口快照-不形成模拟,盘口快照-不形成模拟,0.72/0.0/1.11,0.0,平手,客队,阻上/降温保护,客队上盘，让球基本稳定，上盘水位1.11，下盘水位0.72，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3014489,西协甲,西班牙,次次级,是,False
2026-08-28,德甲,成年联赛T1,拜仁慕尼黑 vs 斯图加特,5-1,ledger赛果兜底,20260828-TITAN-3018786-盘口快照-不形成模拟,盘口快照-不形成模拟,1.03/2.25/0.86,2.25,两球/两球半,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.03，下盘水位0.86，欧赔变化不大,上盘,1.03,赢,1.0,1.03,下盘,0.86,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3018786,德甲,德国,顶级,是,True
2026-08-28,德乙,成年联赛T2,波鸿 vs 奥斯纳布鲁克,0-1,ledger赛果兜底,20260828-TITAN-3019110-盘口快照-不形成模拟,盘口快照-不形成模拟,1.01/0.75/0.88,0.75,半球/一球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位1.01，下盘水位0.88，欧赔支持上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3019110,德乙,德国,次级,是,False
2026-08-28,德乙,成年联赛T2,布伦瑞克 vs 柏林赫塔,3-5,ledger赛果兜底,20260828-TITAN-3019111-盘口快照-不形成模拟,盘口快照-不形成模拟,0.79/-0.25/1.11,-0.25,平手/半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.11，下盘水位0.79，欧赔削弱上盘,上盘,1.11,赢,1.0,1.11,下盘,0.79,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3019111,德乙,德国,次级,是,True
2026-08-28,意乙,成年联赛T2,克雷莫纳 vs 摩德纳,0-3,ledger赛果兜底,20260828-TITAN-3040719-盘口快照-不形成模拟,盘口快照-不形成模拟,0.98/0.25/0.9,0.25,平手/半球,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.98，下盘水位0.90，欧赔支持上盘,上盘,0.98,输,-1.0,-1.0,下盘,0.9,赢,1.0,0.9,否,缺失,Titan价格流；PM/必发/BTTS缺,,3040719,意乙,意大利,次级,是,True
2026-08-28,意丙,成年联赛T3,皮阿尼斯 vs 瓦多,0-0,ledger赛果兜底,20260828-TITAN-3050895-盘口快照-不形成模拟,盘口快照-不形成模拟,0.94/0.25/0.88,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.94，下盘水位0.88，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3050895,意丙,意大利,次次级,是,False
2026-08-28,意丙,成年联赛T3,巴勒塔 vs 巴里,3-0,ledger赛果兜底,20260828-TITAN-3051271-盘口快照-不形成模拟,盘口快照-不形成模拟,0.78/-0.25/1.04,-0.25,平手/半球,客队,阻上/降温保护,客队上盘，让球基本稳定，上盘水位1.04，下盘水位0.78，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3051271,意丙,意大利,次次级,是,False
2026-08-28,意丙,成年联赛T3,卡萨拉诺 vs 久加连奴,4-3,ledger赛果兜底,20260828-TITAN-3051272-盘口快照-不形成模拟,盘口快照-不形成模拟,0.7/0.25/1.13,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.70，下盘水位1.13，欧赔变化不大,下盘,1.13,输,-1.0,-1.0,上盘,0.7,赢,1.0,0.7,否,缺失,Titan价格流；PM/必发/BTTS缺,,3051272,意丙,意大利,次次级,是,True
2026-08-28,意丙,成年联赛T3,卡维塞 vs 切里尼奥拉,3-1,ledger赛果兜底,20260828-TITAN-3051273-盘口快照-不形成模拟,盘口快照-不形成模拟,0.87/0.0/0.95,0.0,平手,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.87，下盘水位0.95，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3051273,意丙,意大利,次次级,是,False
2026-08-28,意丙,成年联赛T3,斯卡法塔森 vs AZ皮切尔诺,0-2,ledger赛果兜底,20260828-TITAN-3051279-盘口快照-不形成模拟,盘口快照-不形成模拟,0.84/0.25/0.98,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.84，下盘水位0.98，欧赔削弱上盘,下盘,0.98,赢,1.0,0.98,上盘,0.84,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3051279,意丙,意大利,次次级,是,True
2026-08-29,意甲,成年联赛T1,佛罗伦萨 vs 弗洛西诺尼,0-3,ledger赛果兜底,20260829-TITAN-2993768-盘口快照-不形成模拟,盘口快照-不形成模拟,0.82/0.75/1.07,0.75,半球/一球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.07，欧赔变化不大,下盘,1.07,赢,1.0,1.07,上盘,0.82,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2993768,意甲,意大利,顶级,是,True
2026-08-29,意甲,成年联赛T1,尤文图斯 vs 帕尔马,2-0,ledger赛果兜底,20260829-TITAN-2993769-盘口快照-不形成模拟,盘口快照-不形成模拟,1.01/1.75/0.88,1.75,球半/两球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位1.01，下盘水位0.88，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2993769,意甲,意大利,顶级,是,False
2026-08-29,意甲,成年联赛T1,蒙扎 vs 乌迪内斯,2-3,ledger赛果兜底,20260829-TITAN-2993772-盘口快照-不形成模拟,盘口快照-不形成模拟,0.77/-0.25/1.13,-0.25,平手/半球,客队,阻上/降温保护,客队上盘，让球基本稳定，上盘水位1.13，下盘水位0.77，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2993772,意甲,意大利,顶级,是,False
2026-08-29,意甲,成年联赛T1,萨索洛 vs 都灵,2-1,ledger赛果兜底,20260829-TITAN-2993774-盘口快照-不形成模拟,盘口快照-不形成模拟,1.0/0.25/0.89,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位1.00，下盘水位0.89，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2993774,意甲,意大利,顶级,是,False
2026-08-29,法甲,成年联赛T1,欧塞尔 vs 昂热,1-3,ledger赛果兜底,20260829-TITAN-2995317-盘口快照-不形成模拟,盘口快照-不形成模拟,1.03/0.5/0.86,0.5,半球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.03，下盘水位0.86，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995317,法甲,法国,顶级,是,False
2026-08-29,法甲,成年联赛T1,布雷斯特 vs 图卢兹,2-2,ledger赛果兜底,20260829-TITAN-2995318-盘口快照-不形成模拟,盘口快照-不形成模拟,0.94/0.0/0.95,0.0,平手,未判定,平衡盘/等待临场确认,两边接近，让球基本稳定，上盘水位0.94，下盘水位0.95，欧赔方向未确认,不计-上盘无法确定,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995318,法甲,法国,顶级,是,False
2026-08-29,法甲,成年联赛T1,洛里昂 vs 特鲁瓦,1-2,ledger赛果兜底,20260829-TITAN-2995319-盘口快照-不形成模拟,盘口快照-不形成模拟,0.87/0.5/1.02,0.5,半球,主队,阻下/上盘保护,主队上盘，让球基本稳定，上盘水位0.87，下盘水位1.02，欧赔变化不大,上盘,0.87,输,-1.0,-1.0,下盘,1.02,赢,1.0,1.02,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995319,法甲,法国,顶级,是,True
2026-08-29,法甲,成年联赛T1,里昂 vs 勒阿弗尔,1-1,ledger赛果兜底,20260829-TITAN-2995320-盘口快照-不形成模拟,盘口快照-不形成模拟,1.07/1.25/0.82,1.25,一球/球半,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.07，下盘水位0.82，欧赔变化不大,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995320,法甲,法国,顶级,是,False
2026-08-29,法甲,成年联赛T1,斯特拉斯堡 vs 朗斯,2-1,ledger赛果兜底,20260829-TITAN-2995324-盘口快照-不形成模拟,盘口快照-不形成模拟,0.85/-0.5/1.04,-0.5,半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.04，下盘水位0.85，欧赔削弱上盘,上盘,1.04,输,-1.0,-1.0,下盘,0.85,赢,1.0,0.85,否,缺失,Titan价格流；PM/必发/BTTS缺,,2995324,法甲,法国,顶级,是,True
2026-08-29,法乙,成年联赛T2,阿纳西 vs 梅斯,1-1,ledger赛果兜底,20260829-TITAN-2997699-盘口快照-不形成模拟,盘口快照-不形成模拟,0.9/0.0/0.98,0.0,平手,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.90，下盘水位0.98，欧赔支持上盘,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997699,法乙,法国,次级,是,False
2026-08-29,法乙,成年联赛T2,甘冈 vs 南特,3-3,ledger赛果兜底,20260829-TITAN-2997702-盘口快照-不形成模拟,盘口快照-不形成模拟,1.04/0.0/0.84,0.0,平手,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位0.84，下盘水位1.04，欧赔支持上盘,上盘,0.84,走,0.0,0.0,下盘,1.04,走,-0.0,0.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997702,法乙,法国,次级,是,True
2026-08-29,法乙,成年联赛T2,红星 vs 兰斯,1-4,ledger赛果兜底,20260829-TITAN-2997706-盘口快照-不形成模拟,盘口快照-不形成模拟,0.8/-0.25/1.08,-0.25,平手/半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.08，下盘水位0.80，欧赔削弱上盘,上盘,1.08,赢,1.0,1.08,下盘,0.8,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,2997706,法乙,法国,次级,是,True
2026-08-29,英超,成年联赛T1,伯恩茅斯 vs 埃弗顿,1-1,ledger赛果兜底,20260829-TITAN-3003859-盘口快照-不形成模拟,盘口快照-不形成模拟,1.08/0.5/0.81,0.5,半球,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.08，下盘水位0.81，欧赔支持上盘,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003859,英超,英格兰,顶级,是,False
2026-08-29,英超,成年联赛T1,考文垂 vs 赫尔城,0-1,ledger赛果兜底,20260829-TITAN-3003862-盘口快照-不形成模拟,盘口快照-不形成模拟,1.03/0.75/0.86,0.75,半球/一球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.03，下盘水位0.86，欧赔削弱上盘,上盘,1.03,输,-1.0,-1.0,下盘,0.86,赢,1.0,0.86,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003862,英超,英格兰,顶级,是,True
2026-08-29,英超,成年联赛T1,利物浦 vs 诺丁汉森林,2-2,ledger赛果兜底,20260829-TITAN-3003865-盘口快照-不形成模拟,盘口快照-不形成模拟,1.05/1.25/0.84,1.25,一球/球半,主队,阻上/降温保护,主队上盘，让球基本稳定，上盘水位1.05，下盘水位0.84，欧赔变化不大,不计-候选冲突,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003865,英超,英格兰,顶级,是,False
2026-08-29,英超,成年联赛T1,托特纳姆热刺 vs 纽卡斯尔联,0-2,ledger赛果兜底,20260829-TITAN-3003868-盘口快照-不形成模拟,盘口快照-不形成模拟,0.91/0.25/0.98,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.91，下盘水位0.98，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3003868,英超,英格兰,顶级,是,False
2026-08-29,英甲,成年联赛T3,布莱克浦 vs 彼得堡联,4-0,ledger赛果兜底,20260829-TITAN-3007056-盘口快照-不形成模拟,盘口快照-不形成模拟,1.0/0.75/0.82,0.75,半球/一球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位1.00，下盘水位0.82，欧赔变化不大,上盘,1.0,赢,1.0,1.0,下盘,0.82,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3007056,英甲,英格兰,次次级,是,True
2026-08-29,英甲,成年联赛T3,剑桥联 vs 哈德斯菲尔德,1-2,ledger赛果兜底,20260829-TITAN-3007057-盘口快照-不形成模拟,盘口快照-不形成模拟,1.04/0.0/0.78,0.0,平手,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.78，下盘水位1.04，欧赔变化不大,下盘,1.04,输,-1.0,-1.0,上盘,0.78,赢,1.0,0.78,否,缺失,Titan价格流；PM/必发/BTTS缺,,3007057,英甲,英格兰,次次级,是,True
2026-08-29,英甲,成年联赛T3,莱顿东方 vs 巴恩斯利,1-3,ledger赛果兜底,20260829-TITAN-3007058-盘口快照-不形成模拟,盘口快照-不形成模拟,0.94/0.25/0.88,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.94，下盘水位0.88，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3007058,英甲,英格兰,次次级,是,False
2026-08-29,英甲,成年联赛T3,米尔顿凯恩斯 vs 莱斯特城,0-0,ledger赛果兜底,20260829-TITAN-3007060-盘口快照-不形成模拟,盘口快照-不形成模拟,0.8/0.0/1.02,0.0,平手,客队,降温保护/诱下,客队上盘，让球退盘，上盘水位1.02，下盘水位0.80，欧赔支持上盘,上盘,1.02,走,0.0,0.0,下盘,0.8,走,-0.0,0.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3007060,英甲,英格兰,次次级,是,True
2026-08-29,英甲,成年联赛T3,诺茨郡 vs 伯顿,2-1,ledger赛果兜底,20260829-TITAN-3007061-盘口快照-不形成模拟,盘口快照-不形成模拟,0.98/0.25/0.84,0.25,平手/半球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.98，下盘水位0.84，欧赔变化不大,上盘,0.98,赢,1.0,0.98,下盘,0.84,输,-1.0,-1.0,否,缺失,Titan价格流；PM/必发/BTTS缺,,3007061,英甲,英格兰,次次级,是,True
2026-08-29,英甲,成年联赛T3,普利茅斯 vs 布拉德福德,2-0,ledger赛果兜底,20260829-TITAN-3007063-盘口快照-不形成模拟,盘口快照-不形成模拟,0.9/0.25/0.92,0.25,平手/半球,主队,平衡盘/等待临场确认,主队上盘，让球基本稳定，上盘水位0.90，下盘水位0.92，欧赔变化不大,不计-平衡/无方向,,不计,,,不计,,不计,,,否,缺失,Titan价格流；PM/必发/BTTS缺,,3007063,英甲,英格兰,次次级,是,False
