类型,国家,层级,赛事,口径,方向,样本,红,红半,走,黑半,黑,红/红半/走/黑半/黑,有效胜率,均注盈亏,ROI
胜率高方择向,德国,杯赛,德国杯,德国-杯赛,顺序回测min3-赛事级+盘口倾向择高,1,0,0,0,0,1,0/0/0/0/1,0.0,-1.0,-1.0
胜率高方择向,德国,次次级,德丙,德国-次次级,顺序回测min3-赛事级+盘口倾向择高,2,0,0,0,1,1,0/0/0/1/1,0.0,-1.5,-0.75
胜率高方择向,德国,次级,德乙,德国-次级,顺序回测min3-赛事级+盘口倾向择高,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,德国,顶级,德甲,德国-顶级,顺序回测min3-赛事级+盘口倾向择高,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,意大利,次次级,意丙,意大利-次次级,顺序回测min3-赛事级+盘口倾向择高,14,6,0,0,2,6,6/0/0/2/6,0.4286,-1.3,-0.0929
胜率高方择向,意大利,次级,意乙,意大利-次级,顺序回测min3-赛事级+盘口倾向择高,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,意大利,顶级,意甲,意大利-顶级,顺序回测min3-赛事级+盘口倾向择高,2,2,0,0,0,0,2/0/0/0/0,1.0,2.14,1.07
胜率高方择向,法国,次次级,法丙,法国-次次级,顺序回测min3-赛事级+盘口倾向择高,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,法国,次级,法乙,法国-次级,顺序回测min3-赛事级+盘口倾向择高,2,0,0,0,1,1,0/0/0/1/1,0.0,-1.5,-0.75
胜率高方择向,法国,顶级,法甲,法国-顶级,顺序回测min3-赛事级+盘口倾向择高,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,英格兰,杯赛,英联杯,英格兰-杯赛,顺序回测min3-赛事级+盘口倾向择高,10,4,0,1,1,4,4/0/1/1/4,0.4444,-0.44,-0.044
胜率高方择向,英格兰,次次级,英甲,英格兰-次次级,顺序回测min3-赛事级+盘口倾向择高,3,1,0,0,1,1,1/0/0/1/1,0.3333,-0.52,-0.1733
胜率高方择向,英格兰,次级,英冠,英格兰-次级,顺序回测min3-赛事级+盘口倾向择高,3,1,1,0,0,1,1/1/0/0/1,0.5,0.435,0.145
胜率高方择向,英格兰,顶级,英超,英格兰-顶级,顺序回测min3-赛事级+盘口倾向择高,3,1,0,1,0,1,1/0/1/0/1,0.5,-0.14,-0.0467
胜率高方择向,西班牙,次次级,西协甲,西班牙-次次级,顺序回测min3-赛事级+盘口倾向择高,3,0,2,0,0,1,0/2/0/0/1,0.3333,-0.21,-0.07
胜率高方择向,西班牙,次级,西乙,西班牙-次级,顺序回测min3-赛事级+盘口倾向择高,1,0,0,0,0,1,0/0/0/0/1,0.0,-1.0,-1.0
胜率高方择向,西班牙,顶级,西甲,西班牙-顶级,顺序回测min3-赛事级+盘口倾向择高,6,1,0,0,3,2,1/0/0/3/2,0.1667,-2.65,-0.4417
胜率高方择向,德国,杯赛,德国杯,德国-杯赛,顺序回测min3-赛事级胜率高方,1,0,0,0,0,1,0/0/0/0/1,0.0,-1.0,-1.0
胜率高方择向,德国,次次级,德丙,德国-次次级,顺序回测min3-赛事级胜率高方,2,0,0,0,1,1,0/0/0/1/1,0.0,-1.5,-0.75
胜率高方择向,德国,次级,德乙,德国-次级,顺序回测min3-赛事级胜率高方,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,德国,顶级,德甲,德国-顶级,顺序回测min3-赛事级胜率高方,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,意大利,次次级,意丙,意大利-次次级,顺序回测min3-赛事级胜率高方,14,6,0,0,2,6,6/0/0/2/6,0.4286,-1.3,-0.0929
胜率高方择向,意大利,次级,意乙,意大利-次级,顺序回测min3-赛事级胜率高方,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,意大利,顶级,意甲,意大利-顶级,顺序回测min3-赛事级胜率高方,2,2,0,0,0,0,2/0/0/0/0,1.0,2.14,1.07
胜率高方择向,法国,次次级,法丙,法国-次次级,顺序回测min3-赛事级胜率高方,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,法国,次级,法乙,法国-次级,顺序回测min3-赛事级胜率高方,2,0,0,0,1,1,0/0/0/1/1,0.0,-1.5,-0.75
胜率高方择向,法国,顶级,法甲,法国-顶级,顺序回测min3-赛事级胜率高方,0,0,0,0,0,0,0/0/0/0/0,,0.0,
胜率高方择向,英格兰,杯赛,英联杯,英格兰-杯赛,顺序回测min3-赛事级胜率高方,10,4,0,1,1,4,4/0/1/1/4,0.4444,-0.44,-0.044
胜率高方择向,英格兰,次次级,英甲,英格兰-次次级,顺序回测min3-赛事级胜率高方,3,1,0,0,1,1,1/0/0/1/1,0.3333,-0.52,-0.1733
胜率高方择向,英格兰,次级,英冠,英格兰-次级,顺序回测min3-赛事级胜率高方,3,1,1,0,0,1,1/1/0/0/1,0.5,0.435,0.145
胜率高方择向,英格兰,顶级,英超,英格兰-顶级,顺序回测min3-赛事级胜率高方,3,1,0,1,0,1,1/0/1/0/1,0.5,-0.14,-0.0467
胜率高方择向,西班牙,次次级,西协甲,西班牙-次次级,顺序回测min3-赛事级胜率高方,3,0,2,0,0,1,0/2/0/0/1,0.3333,-0.21,-0.07
胜率高方择向,西班牙,次级,西乙,西班牙-次级,顺序回测min3-赛事级胜率高方,1,0,0,0,0,1,0/0/0/0/1,0.0,-1.0,-1.0
胜率高方择向,西班牙,顶级,西甲,西班牙-顶级,顺序回测min3-赛事级胜率高方,6,1,0,0,3,2,1/0/0/3/2,0.1667,-2.65,-0.4417
