intent,n,share,status
真实示弱/阻下,57,0.18210862619808307,MONITOR
MIXED,19,0.06070287539936102,MONITOR
NEUTRAL,182,0.5814696485623003,MONITOR
阻下/下盘保护,46,0.14696485623003194,MONITOR
UNKNOWN,6,0.019169329073482427,MONITOR
降温保护/诱下,2,0.006389776357827476,MONITOR
阻上/诱下,1,0.003194888178913738,MONITOR
