version,match_id,list_date,competition,match,selected_team,selected_side,line,water,grade,score,result_state,result,pnl_1u,result_source,settlement_status,decision_id,run_id,model_id,quote_at,last_confirmed_at,kickoff_at,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,real_money
V4_SHADOW,3092006,2026-09-23,乌克U19,基辅迪纳摩U19 vs FC哈尔科夫U19,,,,,,0-1,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,b85d63d7e2cbad8b0999,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T18:00:00+08:00,10.336,False,False,False
V4_SHADOW,3094714,2026-09-23,印班超,班加鲁鲁B队 vs 阿格尼普拉,,,,,,3-0,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,52dc2dfcd4359027c431,RUN_20260923_202716,v4-market-dirichlet-20260913,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,2026-09-23T18:30:00+08:00,-1.872,False,False,False
V4_SHADOW,3094713,2026-09-23,球会友谊,沙斯辛B队<font color=#880000>(中)</font> vs 斯威特什切青,,,,,,2-0,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,044a5581473fdd30d033,RUN_20260923_202716,v4-market-dirichlet-20260913,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,2026-09-23T19:00:00+08:00,-1.372,False,False,False
V4_SHADOW,3094629,2026-09-23,泰足总,孔敬联 vs 拉纳维,,,,,,3-0,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,c18cddbfba6c314df515,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T19:00:00+08:00,11.336,False,False,False
V4_SHADOW,3094630,2026-09-23,泰足总,纳雄寺联 vs 泰国农业FC,,,,,,0-2,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,fa59dede291381175a63,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T19:00:00+08:00,11.336,False,False,False
V4_SHADOW,3094646,2026-09-23,泰足总,北柳府 vs 曼谷FC,,,,,,0-4,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,8d7e137d8b7f4ffd77f4,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T19:00:00+08:00,11.336,False,False,False
V4_SHADOW,3092812,2026-09-23,乌克U19,波利西亚U19 vs 高华尤夫卡U19,,,,,,1-2,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,c474b41f1555680f60a5,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T18:00:00+08:00,10.336,False,False,False
V4_SHADOW,3094755,2026-09-23,泰U21,北碧电力U21 vs 萨莱星座U21,,,,,,3-0,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,93468035206a8b83f484,RUN_20260923_202716,v4-market-dirichlet-20260913,2026-09-23T20:22:20+08:00,2026-09-23T20:22:20+08:00,2026-09-23T19:00:00+08:00,-1.372,False,False,False
V4_SHADOW,3094260,2026-09-23,中冠,青岛复力 vs 大连聚惺晟恒,,,,,,1-1,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,df0d6ce5426f4d744a2b,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T19:30:00+08:00,11.836,False,False,False
V4_SHADOW,3094261,2026-09-23,中冠,武汉联镇 vs 吴川青年,,,,,,3-1,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,9fc6acd1c90b9c04ea47,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T19:30:00+08:00,11.836,False,False,False
V4_SHADOW,3094262,2026-09-23,中冠,江苏常晋 vs 广州黄埔志诚,,,,,,3-0,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,4e731e0ed29976a41e92,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T19:30:00+08:00,11.836,False,False,False
V4_SHADOW,2997297,2026-09-23,欧青U17,波黑U17 vs 希腊U17,,,,,,2-0,-1,,,D:\codex\v3_legacy\outputs\football_odds_trader\raw\titan007\20260924\20260924_075223_titan007_odds_snapshot.csv,MISSING_V4_SIDE_LINE_WATER_OR_TEAM,8f2b5edd40c2bad9b37c,RUN_20260923_073949,v4-market-dirichlet-20260913,2026-09-23T07:39:50+08:00,2026-09-23T07:39:50+08:00,2026-09-23T20:00:00+08:00,12.336,False,False,False
