微观板块,已结算投注数,胜率,负率,盈亏Unit,ROI,红,红半,走水,黑半,黑
拉美,14,0.6923,0.3077,2.4000,0.1618,6,3,1,0,4
东亚,1,0.0000,1.0000,-1.0000,-1.0000,0,0,0,0,1
欧洲非五大,37,0.5135,0.4865,-1.5875,-0.0899,16,3,0,2,16
欧洲五大,21,0.4000,0.6000,-4.8400,-0.2531,6,2,1,2,10
