日期,北京时间,赛事,比赛,状态,比分,盘口档位,候选标签,正向球队,反向球队,上盘球队,下盘球队,正向水位,反向水位,亚盘,欧赔,大小球,微观板块,亚盘已读,欧赔已读,大小球已读,最终动作
2026-09-02,2026-9-2 17:00 北京时间（东8区）,女欧罗巴杯,吉特拉女足 vs 格拉茨女足,未开赛,0-0,半球,诱下/上盘降温,格拉茨女足,吉特拉女足,格拉茨女足,吉特拉女足,0.99,0.77,开 0.76/-0.5/0.94 → 即 0.77/-0.5/0.99,开 3.08/3.62/2.0 → 即 4.14/3.83/1.68,开 0.91/3.0/0.79 → 即 0.95/3.0/0.81,欧洲非五大系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 17:30 北京时间（东8区）,日联杯,SC相模原 vs 磐田喜悦,未开赛,0-0,平手/半球,阻上/降温保护,磐田喜悦,SC相模原,磐田喜悦,SC相模原,1.05,0.77,开 0.77/-0.25/1.05 → 即 0.77/-0.25/1.05,开 2.87/3.12/2.36 → 即 2.73/3.19/2.4,开 0.9/2.25/0.9 → 即 0.83/2.25/0.97,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 17:30 北京时间（东8区）,日联杯,八户云罗里 vs 枥木市FC,未开赛,0-0,平手/半球,阻上/降温保护,枥木市FC,八户云罗里,枥木市FC,八户云罗里,1.08,0.74,开 0.78/-0.25/1.04 → 即 0.74/-0.25/1.08,开 2.87/3.31/2.28 → 即 3.28/3.53/1.99,开 0.98/2.5/0.82 → 即 0.94/2.5/0.86,其他系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,大阪樱花 vs 柏太阳神,未开赛,0-0,平手/半球,诱上/阻下,大阪樱花,柏太阳神,柏太阳神,大阪樱花,1.07,0.82,开 0.85/-0.25/1.03 → 即 1.07/-0.25/0.82,开 3.26/3.51/2.09 → 即 2.92/3.42/2.25,开 0.88/2.5/0.99 → 即 0.96/2.75/0.92,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,广岛三箭 vs 名古屋鲸八,未开赛,0-0,一球,诱上/阻下,名古屋鲸八,广岛三箭,广岛三箭,名古屋鲸八,1.05,0.84,开 0.9/1.0/0.98 → 即 0.84/1.0/1.05,开 1.5/4.48/5.65 → 即 1.53/4.13/5.36,开 0.85/2.75/1.02 → 即 0.96/3.25/0.92,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,横滨水手 vs 京都不死鸟,未开赛,0-0,半球,真实示强/阻上,横滨水手,京都不死鸟,横滨水手,京都不死鸟,0.98,0.91,开 0.92/0.25/0.96 → 即 0.98/0.5/0.91,开 2.0/3.51/3.52 → 即 2.15/3.33/3.17,开 1.04/2.5/0.83 → 即 0.82/2.5/1.06,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,水户蜀葵 vs 鹿岛鹿角,未开赛,0-0,半球,诱上/阻下,水户蜀葵,鹿岛鹿角,鹿岛鹿角,水户蜀葵,1.08,0.81,开 0.86/-0.5/1.02 → 即 1.08/-0.5/0.81,开 4.22/3.59/1.8 → 即 3.62/3.33/1.98,开 0.82/2.25/1.05 → 即 0.8/2.5/1.06,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,清水鼓动 vs FC东京,未开赛,0-0,半球/一球,阻上/诱下,FC东京,清水鼓动,FC东京,清水鼓动,1.07,0.82,开 0.83/-0.5/1.05 → 即 0.82/-0.75/1.07,开 4.14/3.53/1.84 → 即 3.29/3.29/2.13,开 0.81/2.25/1.06 → 即 1.01/2.5/0.87,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,福冈黄蜂 vs 浦和红钻,未开赛,0-0,平手/半球,阻上/降温保护,福冈黄蜂,浦和红钻,福冈黄蜂,浦和红钻,1.06,0.83,开 0.96/0.25/0.92 → 即 1.06/0.25/0.83,开 2.38/3.2/2.96 → 即 2.33/3.05/3.1,开 1.08/2.25/0.79 → 即 0.87/2.25/1.01,日韩系列,True,True,True,仅模拟/非主单
2026-09-02,2026-9-2 18:00 北京时间（东8区）,日职联,长崎成功丸 vs 大阪钢巴,未开赛,0-0,半球,阻上/诱下,大阪钢巴,长崎成功丸,大阪钢巴,长崎成功丸,1.05,0.84,开 1.04/-0.25/0.84 → 即 0.84/-0.5/1.05,开 3.44/3.52/2.02 → 即 3.3/3.41/2.07,开 0.86/2.5/1.01 → 即 0.8/2.5/1.08,日韩系列,True,True,True,仅模拟/非主单
