盘口意图标签,已结算投注数,胜率,负率,盈亏Unit,ROI,红,红半,走水,黑半,黑
降温保护/诱下,23,0.5455,0.4545,5.9450,0.2235,12,0,1,0,10
阻下/上盘保护,14,0.6667,0.3333,3.0350,0.2673,8,0,2,0,4
诱上/阻下,57,0.5577,0.4423,-0.3100,-0.0478,24,5,5,1,22
真实示弱/阻下,18,0.4375,0.5625,-1.4400,-0.0948,6,1,2,2,7
阻上/诱下,22,0.4762,0.5238,-1.5200,-0.1359,9,1,1,0,11
真实示强/阻上,15,0.4667,0.5333,-1.9350,-0.1971,7,0,0,0,8
诱下/上盘降温,29,0.3793,0.6207,-6.8050,-0.3199,11,0,0,3,15
