盘口意图标签,已结算投注数,胜率,负率,盈亏Unit,ROI,红,红半,走水,黑半,黑
降温保护/诱下,5,0.6000,0.4000,1.5900,0.4369,3,0,0,0,2
阻下/上盘保护,2,1.0000,0.0000,1.2900,0.8600,2,0,0,0,0
诱下/上盘降温,12,0.5000,0.5000,-0.2650,-0.1038,5,1,0,2,4
阻上/诱下,10,0.4000,0.6000,-1.3100,-0.1284,4,0,0,2,4
真实示强/阻上,3,0.0000,1.0000,-3.0000,-1.0000,0,0,0,0,3
诱上/阻下,41,0.5385,0.4615,-3.3325,-0.1339,14,7,2,0,18
