分组类型,分组,样本,正向红,正向红半,正向走水,正向黑半,正向黑,正向有效胜率,正向均注盈亏Unit,反向红,反向红半,反向走水,反向黑半,反向黑,反向有效胜率,反向均注盈亏Unit,读法
总计,2026-09-03 候选亚盘意图,29,11,3,0,3,12,48.1%,-1.360,12,3,0,3,11,51.9%,-1.660,正向较好但未过阈值
按候选标签,诱上/阻下,11,1,1,0,0,9,14.3%,-7.455,9,0,0,1,1,85.7%,+5.760,反向优先
按候选标签,诱下/上盘降温,8,5,1,0,0,2,73.3%,+3.255,2,0,0,1,5,26.7%,-3.920,正向优先
按候选标签,阻上/诱下,4,2,0,0,2,0,66.7%,+1.110,0,2,0,0,2,33.3%,-1.150,小样本观察
按候选标签,真实示强/阻上,3,2,0,0,1,0,80.0%,+1.330,0,1,0,0,2,20.0%,-1.550,小样本观察
按候选标签,真实示弱/阻下,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.700,小样本观察
按候选标签,阻下/下盘保护,1,0,1,0,0,0,100.0%,+0.520,0,0,0,1,0,0.0%,-0.500,小样本观察
按候选标签,降温保护/诱下,1,1,0,0,0,0,100.0%,+0.880,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位,平手/半球,12,4,1,0,2,5,42.9%,-1.560,5,2,0,1,4,57.1%,+0.330,反向优先
按盘口档位,半球,5,3,0,0,0,2,60.0%,+0.910,2,0,0,0,3,40.0%,-1.530,小样本观察
按盘口档位,半球/一球,4,2,0,0,0,2,50.0%,-0.120,2,0,0,0,2,50.0%,-0.330,小样本观察
按盘口档位,一球/球半,3,0,1,0,1,1,25.0%,-0.965,1,1,0,1,0,75.0%,+0.770,小样本观察
按盘口档位,一球,2,1,0,0,0,1,50.0%,-0.070,1,0,0,0,1,50.0%,-0.200,小样本观察
按盘口档位,平手,2,1,0,0,0,1,50.0%,-0.060,1,0,0,0,1,50.0%,-0.200,小样本观察
按盘口档位,球半/两球,1,0,1,0,0,0,100.0%,+0.505,0,0,0,1,0,0.0%,-0.500,小样本观察
按比赛分类,国内杯赛,11,4,2,0,0,5,50.0%,+0.030,5,0,0,2,4,50.0%,-1.130,正向优先
按比赛分类,成年联赛T1,10,5,0,0,2,3,55.6%,+0.720,3,2,0,0,5,44.4%,-1.790,正向优先
按比赛分类,未知分类,6,2,0,0,1,3,36.4%,-1.630,3,1,0,0,2,63.6%,+0.920,小样本观察
按比赛分类,国家队正式赛,1,0,1,0,0,0,100.0%,+0.520,0,0,0,1,0,0.0%,-0.500,小样本观察
按比赛分类,成年联赛T2,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.840,小样本观察
按赛事,乌拉杯,3,2,0,0,0,1,66.7%,+0.890,1,0,0,0,2,33.3%,-1.230,小样本观察
按赛事,沙特联,3,0,0,0,1,2,0.0%,-2.500,2,1,0,0,0,100.0%,+2.060,小样本观察
按赛事,保乙,2,1,0,0,0,1,50.0%,-0.070,1,0,0,0,1,50.0%,-0.140,小样本观察
按赛事,厄瓜甲,2,0,0,0,1,1,0.0%,-1.500,1,1,0,0,0,100.0%,+1.140,小样本观察
按赛事,波兰杯,2,1,0,0,0,1,50.0%,+0.010,1,0,0,0,1,50.0%,-0.180,小样本观察
按赛事,瑞士超,2,1,0,0,0,1,50.0%,-0.040,1,0,0,0,1,50.0%,-0.200,小样本观察
按赛事,罗杯,2,0,1,0,0,1,33.3%,-0.465,1,0,0,1,0,66.7%,+0.200,小样本观察
按赛事,中北美杯,1,0,1,0,0,0,100.0%,+0.520,0,0,0,1,0,0.0%,-0.500,小样本观察
按赛事,丹麦杯,1,0,1,0,0,0,100.0%,+0.505,0,0,0,1,0,0.0%,-0.500,小样本观察
按赛事,丹麦超,1,1,0,0,0,0,100.0%,+0.880,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,加勒比杯,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.760,小样本观察
按赛事,卡塔尔联,1,1,0,0,0,0,100.0%,+0.990,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,哈萨克甲,1,1,0,0,0,0,100.0%,+0.940,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,哥伦甲秋,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.820,小样本观察
按赛事,土甲,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.840,小样本观察
按赛事,巴西杯,1,1,0,0,0,0,100.0%,+1.090,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,意杯,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.820,小样本观察
按赛事,比甲,1,0,0,0,1,0,0.0%,-0.500,0,1,0,0,0,100.0%,+0.450,小样本观察
按赛事,法甲,1,1,0,0,0,0,100.0%,+1.020,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,瑞典超,1,1,0,0,0,0,100.0%,+0.870,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,平手/半球/诱下/上盘降温,4,2,0,0,0,2,50.0%,-0.050,2,0,0,0,2,50.0%,-0.420,小样本观察
按盘口档位+标签,半球/一球/诱上/阻下,3,1,0,0,0,2,33.3%,-0.990,2,0,0,0,1,66.7%,+0.670,小样本观察
按盘口档位+标签,平手/半球/诱上/阻下,3,0,0,0,0,3,0.0%,-3.000,3,0,0,0,0,100.0%,+2.400,小样本观察
按盘口档位+标签,平手/半球/阻上/诱下,3,1,0,0,2,0,50.0%,+0.090,0,2,0,0,1,50.0%,-0.150,小样本观察
按盘口档位+标签,一球/球半/诱上/阻下,2,0,1,0,0,1,33.3%,-0.465,1,0,0,1,0,66.7%,+0.320,小样本观察
按盘口档位+标签,一球/球半/真实示强/阻上,1,0,0,0,1,0,0.0%,-0.500,0,1,0,0,0,100.0%,+0.450,小样本观察
按盘口档位+标签,一球/诱上/阻下,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.800,小样本观察
按盘口档位+标签,一球/诱下/上盘降温,1,1,0,0,0,0,100.0%,+0.930,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,半球/一球/真实示强/阻上,1,1,0,0,0,0,100.0%,+0.870,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,半球/真实示弱/阻下,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.700,小样本观察
按盘口档位+标签,半球/真实示强/阻上,1,1,0,0,0,0,100.0%,+0.960,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,半球/诱上/阻下,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.770,小样本观察
按盘口档位+标签,半球/诱下/上盘降温,1,1,0,0,0,0,100.0%,+0.930,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,半球/阻上/诱下,1,1,0,0,0,0,100.0%,+1.020,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,平手/半球/阻下/下盘保护,1,0,1,0,0,0,100.0%,+0.520,0,0,0,1,0,0.0%,-0.500,小样本观察
按盘口档位+标签,平手/半球/降温保护/诱下,1,1,0,0,0,0,100.0%,+0.880,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,平手/诱上/阻下,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.800,小样本观察
按盘口档位+标签,平手/诱下/上盘降温,1,1,0,0,0,0,100.0%,+0.940,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位+标签,球半/两球/诱下/上盘降温,1,0,1,0,0,0,100.0%,+0.505,0,0,0,1,0,0.0%,-0.500,小样本观察
按比赛分类+标签,国内杯赛/诱下/上盘降温,5,2,1,0,0,2,55.6%,+0.395,2,0,0,1,2,44.4%,-0.920,小样本观察
按比赛分类+标签,国内杯赛/诱上/阻下,4,1,1,0,0,2,42.9%,-0.455,2,0,0,1,1,57.1%,+0.090,小样本观察
按比赛分类+标签,成年联赛T1/真实示强/阻上,3,2,0,0,1,0,80.0%,+1.330,0,1,0,0,2,20.0%,-1.550,小样本观察
按比赛分类+标签,成年联赛T1/诱上/阻下,3,0,0,0,0,3,0.0%,-3.000,3,0,0,0,0,100.0%,+2.320,小样本观察
按比赛分类+标签,未知分类/诱上/阻下,3,0,0,0,0,3,0.0%,-3.000,3,0,0,0,0,100.0%,+2.510,小样本观察
按比赛分类+标签,成年联赛T1/阻上/诱下,2,1,0,0,1,0,66.7%,+0.520,0,1,0,0,1,33.3%,-0.560,小样本观察
按比赛分类+标签,未知分类/诱下/上盘降温,2,2,0,0,0,0,100.0%,+1.870,0,0,0,0,2,0.0%,-2.000,小样本观察
按比赛分类+标签,国内杯赛/真实示弱/阻下,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.700,小样本观察
按比赛分类+标签,国内杯赛/阻上/诱下,1,1,0,0,0,0,100.0%,+1.090,0,0,0,0,1,0.0%,-1.000,小样本观察
按比赛分类+标签,国家队正式赛/阻下/下盘保护,1,0,1,0,0,0,100.0%,+0.520,0,0,0,1,0,0.0%,-0.500,小样本观察
按比赛分类+标签,成年联赛T1/诱下/上盘降温,1,1,0,0,0,0,100.0%,+0.990,0,0,0,0,1,0.0%,-1.000,小样本观察
按比赛分类+标签,成年联赛T1/降温保护/诱下,1,1,0,0,0,0,100.0%,+0.880,0,0,0,0,1,0.0%,-1.000,小样本观察
按比赛分类+标签,成年联赛T2/诱上/阻下,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.840,小样本观察
按比赛分类+标签,未知分类/阻上/诱下,1,0,0,0,1,0,0.0%,-0.500,0,1,0,0,0,100.0%,+0.410,小样本观察
