统计日期,数据源,地区,国家,赛事层级,水位分层,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,法国,顶级联赛,1.01-1.10,1,0,0,0,0,1,0.0000,1.0000,-1.0000,1.0400,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,英格兰,杯赛,0.81-0.90,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.8100,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,英格兰,非顶级联赛,1.01-1.10,1,0,0,0,1,0,0.0000,1.0000,-0.5000,1.0700,-0.5000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,英格兰,顶级联赛,0.81-0.90,1,0,0,1,0,0,,,0.0000,0.8200,0.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,英格兰,顶级联赛,1.01-1.10,1,0,0,0,0,1,0.0000,1.0000,-1.0000,1.0300,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,西班牙,非顶级联赛,0.81-0.90,2,0,0,0,0,2,0.0000,1.0000,-2.0000,0.8600,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,西班牙,非顶级联赛,1.01-1.10,2,0,0,0,1,1,0.0000,1.0000,-1.0000,1.0550,-0.7245,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲五大,西班牙,顶级联赛,0.81-0.90,2,1,1,0,0,0,1.0000,0.0000,0.8450,0.8450,0.5782,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,丹麦,杯赛,0.71-0.80,2,1,0,0,0,1,0.5000,0.5000,0.2800,0.7500,0.2632,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,欧洲非五大,丹麦,杯赛,0.81-0.90,2,1,0,0,0,1,0.5000,0.5000,-0.1600,0.8300,-0.0800,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行
