分组类型,分组,样本,正向红,正向红半,正向走水,正向黑半,正向黑,正向有效胜率,正向均注盈亏Unit,反向红,反向红半,反向走水,反向黑半,反向黑,反向有效胜率,反向均注盈亏Unit,读法
总计,2026-09-04 候选亚盘意图,57,23,3,8,2,21,52.7%,+1.835,21,2,8,3,23,47.3%,-6.580,正向优先
按候选标签,诱上/阻下,21,6,1,3,0,11,37.1%,-4.565,11,0,3,1,6,62.9%,+1.910,反向优先
按候选标签,阻上/诱下,10,6,0,1,0,3,66.7%,+3.320,3,0,1,0,6,33.3%,-3.410,正向优先
按候选标签,诱下/上盘降温,9,5,0,1,0,3,62.5%,+1.750,3,0,1,0,5,37.5%,-2.660,正向优先
按候选标签,降温保护/诱下,9,1,2,3,2,1,50.0%,-0.380,1,2,3,2,1,50.0%,-0.290,反向较好但未过阈值
按候选标签,真实示强/阻上,7,4,0,0,0,3,57.1%,+0.680,3,0,0,0,4,42.9%,-1.130,小样本观察
按候选标签,阻下/下盘保护,1,1,0,0,0,0,100.0%,+1.030,0,0,0,0,1,0.0%,-1.000,小样本观察
按盘口档位,平手,11,3,0,6,0,2,60.0%,+0.790,2,0,6,0,3,40.0%,-1.590,正向优先
按盘口档位,平手/半球,11,5,1,0,2,3,57.9%,+1.305,3,2,0,1,5,42.1%,-2.270,正向优先
按盘口档位,一球/球半,10,7,0,0,0,3,70.0%,+3.930,3,0,0,0,7,30.0%,-4.310,正向优先
按盘口档位,半球/一球,7,2,1,0,0,4,38.5%,-1.425,4,0,0,1,2,61.5%,+0.640,小样本观察
按盘口档位,一球,5,1,0,2,0,2,33.3%,-0.990,2,0,2,0,1,66.7%,+0.650,小样本观察
按盘口档位,半球,5,3,0,0,0,2,60.0%,+0.830,2,0,0,0,3,40.0%,-1.310,小样本观察
按盘口档位,球半/两球,4,1,1,0,0,2,42.9%,-0.525,2,0,0,1,1,57.1%,-0.050,小样本观察
按盘口档位,球半,3,1,0,0,0,2,33.3%,-1.080,2,0,0,0,1,66.7%,+0.830,小样本观察
按盘口档位,两球/两球半,1,0,0,0,0,1,0.0%,-1.000,1,0,0,0,0,100.0%,+0.830,小样本观察
按比赛分类,成年联赛T2,28,13,1,5,0,9,60.0%,+4.165,9,0,5,1,13,40.0%,-6.420,正向优先
按比赛分类,成年联赛T1,15,4,1,2,1,7,37.5%,-2.895,7,1,2,1,4,62.5%,+2.215,反向优先
按比赛分类,国内杯赛,7,2,1,0,1,3,41.7%,-1.155,3,1,0,1,2,58.3%,+0.215,小样本观察
按比赛分类,未知分类,6,3,0,1,0,2,60.0%,+0.850,2,0,1,0,3,40.0%,-1.590,小样本观察
按比赛分类,成年联赛T3,1,1,0,0,0,0,100.0%,+0.870,0,0,0,0,1,0.0%,-1.000,小样本观察
按赛事,捷乙,4,0,0,2,0,2,0.0%,-2.000,2,0,2,0,0,100.0%,+1.510,小样本观察
按赛事,奥地利杯,3,0,1,0,0,2,20.0%,-1.505,2,0,0,1,0,80.0%,+0.900,小样本观察
按赛事,荷乙,3,2,1,0,0,0,100.0%,+2.505,0,0,0,1,2,0.0%,-2.500,小样本观察
按赛事,非联杯,3,2,0,0,1,0,80.0%,+1.350,0,1,0,0,2,20.0%,-1.535,小样本观察
按赛事,丹麦甲,2,1,0,1,0,0,100.0%,+0.950,0,0,1,0,1,0.0%,-1.000,小样本观察
按赛事,南非超,2,0,0,1,0,1,0.0%,-1.000,1,0,1,0,0,100.0%,+0.710,小样本观察
按赛事,哥伦乙秋,2,1,0,0,0,1,50.0%,-0.020,1,0,0,0,1,50.0%,-0.230,小样本观察
按赛事,德乙,2,1,0,1,0,0,100.0%,+1.060,0,0,1,0,1,0.0%,-1.000,小样本观察
按赛事,智利乙,2,2,0,0,0,0,100.0%,+1.700,0,0,0,0,2,0.0%,-2.000,小样本观察
按赛事,比乙,2,0,0,0,0,2,0.0%,-2.000,2,0,0,0,0,100.0%,+1.650,小样本观察
