分组类型,分组,样本,正向红,正向红半,正向走水,正向黑半,正向黑,正向有效胜率,正向均注盈亏Unit,反向红,反向红半,反向走水,反向黑半,反向黑,反向有效胜率,反向均注盈亏Unit,读法
按比赛分类+标签,成年联赛T1/诱上/阻下,16,3,1,3,1,8,29.2%,-4.800,8,1,3,1,3,70.8%,+3.560,反向优先
按比赛分类+标签,成年联赛T1/降温保护/诱下,13,5,1,2,1,4,55.0%,+0.325,4,1,2,1,5,45.0%,-1.150,正向优先
按比赛分类+标签,成年联赛T3/诱上/阻下,13,5,2,1,0,5,54.5%,+0.685,5,0,1,2,5,45.5%,-2.080,正向优先
按比赛分类+标签,成年联赛T1/阻上/诱下,12,3,2,0,1,6,38.1%,-2.275,6,1,0,2,3,61.9%,+1.430,反向优先
按比赛分类+标签,成年联赛T2/降温保护/诱下,12,5,0,2,2,3,55.6%,+0.280,3,2,2,0,5,44.4%,-0.950,正向优先
按比赛分类+标签,成年联赛T1/真实示强/阻上,11,4,1,0,1,5,45.0%,-1.340,5,1,0,1,4,55.0%,+0.600,反向优先
按比赛分类+标签,成年联赛T2/真实示强/阻上,10,3,1,0,1,5,38.9%,-2.135,5,1,0,1,3,61.1%,+1.500,反向优先
按比赛分类+标签,成年联赛T3/诱下/上盘降温,10,3,1,0,1,5,38.9%,-2.155,5,1,0,1,3,61.1%,+0.875,反向优先
按比赛分类+标签,成年联赛T3/真实示强/阻上,8,2,1,1,1,3,41.7%,-1.145,3,1,1,1,2,58.3%,+0.560,反向优先
按比赛分类+标签,成年联赛T3/降温保护/诱下,8,4,1,0,0,3,60.0%,+0.925,3,0,0,1,4,40.0%,-1.660,正向优先
按比赛分类+标签,成年联赛T2/阻上/诱下,6,3,0,0,1,2,54.5%,+0.830,2,1,0,0,3,45.5%,-0.990,小样本观察
按比赛分类+标签,国内杯赛/诱上/阻下,5,0,0,0,0,5,0.0%,-5.000,5,0,0,0,0,100.0%,+3.790,小样本观察
按比赛分类+标签,成年联赛T3/阻上/诱下,3,1,0,0,0,2,33.3%,-0.950,2,0,0,0,1,66.7%,+0.720,小样本观察
按比赛分类+标签,未知分类/诱上/阻下,3,2,1,0,0,0,100.0%,+2.585,0,0,0,1,2,0.0%,-2.500,小样本观察
按比赛分类+标签,未知分类/诱下/上盘降温,3,1,0,0,0,2,33.3%,-1.080,2,0,0,0,1,66.7%,+0.600,小样本观察
