统计日期,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3011818-盘口快照-不形成模拟,哥伦甲秋,国民竞技 vs 卡利体育会,成年联赛T1,拉美,哥伦比亚,顶级联赛,半球/一球,0.71-0.80,诱上/阻下,反向,反向,上盘,国民竞技,0.7900,0.6402,0.5587,0.5787,7.0,0.5714,状态A-正常态,1.0000,4.7100,是,红半,0.3950,1.8605,2-1,ledger赛果兜底,0.79/0.75/1.03,0.75,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.79，下盘水位1.03，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3013649-盘口快照-不形成模拟,西甲,皇家马德里 vs 皇家社会,成年联赛T1,欧洲五大,西班牙,顶级联赛,球半,0.81-0.90,诱上/阻下,反向,反向,上盘,皇家马德里,0.8500,0.6034,0.5405,0.5605,1.0,0.0000,状态B-预警/降半仓,0.5000,2.3550,是,红,0.4250,2.0017,4-1,ledger赛果兜底,0.85/1.5/1.03,1.5,主队,下盘,上盘,主队上盘，让球加深，上盘水位0.85，下盘水位1.03，欧赔支持上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3061699-盘口快照-不形成模拟,丹麦杯,马利恩尔斯特 vs VSK奥胡斯,国内杯赛,欧洲非五大,丹麦,杯赛,一球,0.71-0.80,诱上/阻下,反向,反向,上盘,VSK奥胡斯,0.7200,0.6621,0.5814,0.6014,4.0,0.5000,状态B-预警/降半仓,0.5000,2.3550,是,黑,-0.5000,-2.3550,1-1,Titan007完场快照:20260827_081541_titan007_odds_snapshot.csv,0.98/-1.0/0.72,-1.0,客队,下盘,上盘,客队上盘，让球基本稳定，上盘水位0.72，下盘水位0.98，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3062533-盘口快照-不形成模拟,欧冠杯,AEK雅典 vs 索非亚列夫斯基,洲际杯赛,欧洲非五大,未识别,洲际杯赛,一球,0.81-0.90,诱上/阻下,反向,反向,上盘,AEK雅典,0.8200,0.6448,0.5495,0.5695,5.0,0.4000,状态B-预警/降半仓,0.5000,2.3550,是,红,0.4100,1.9311,4-0,ledger赛果兜底,0.82/1.0/1.06,1.0,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.06，欧赔支持上盘
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068744-盘口快照-不形成模拟,欧女杯,布拉格斯巴达女足 vs 塞尔维特女足,国内杯赛,欧洲非五大,未识别,杯赛,半球,0.81-0.90,诱下/上盘降温,正向,正向,上盘,布拉格斯巴达女足,0.9000,0.5946,0.5263,0.5463,8.0,0.3750,状态B-预警/降半仓,0.5000,2.3550,是,红,0.4500,2.1195,3-2,ledger赛果兜底,0.9/0.5/0.8,0.5,主队,上盘,下盘,主队上盘，让球基本稳定，上盘水位0.90，下盘水位0.80，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068745-盘口快照-不形成模拟,欧女杯,法兰克福女足 vs 巴黎圣日耳曼女足,国内杯赛,欧洲非五大,未识别,杯赛,平手/半球,0.91-1.00,诱下/上盘降温,正向,正向,上盘,法兰克福女足,0.9300,0.6154,0.5181,0.5381,6.0,0.6667,状态B-预警/降半仓,0.5000,2.3550,是,黑半,-0.2500,-1.1775,1-1,ledger赛果兜底,0.93/0.25/0.77,0.25,主队,上盘,下盘,主队上盘，让球基本稳定，上盘水位0.93，下盘水位0.77，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068746-盘口快照-不形成模拟,欧女杯,PSV埃因霍温女足 vs 靴尔科治女足,国内杯赛,欧洲非五大,未识别,杯赛,半球,0.71-0.80,诱上/阻下,反向,反向,上盘,PSV埃因霍温女足,0.8000,0.6339,0.5556,0.5756,6.0,0.8333,状态B-预警/降半仓,0.5000,2.3550,是,黑,-0.5000,-2.3550,0-1,ledger赛果兜底,0.8/0.5/0.9,0.5,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.80，下盘水位0.90，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068748-盘口快照-不形成模拟,欧女杯,阿贾克斯女足 vs 皇家马德里女足,国内杯赛,欧洲非五大,未识别,杯赛,球半,0.91-1.00,诱下/上盘降温,正向,正向,上盘,皇家马德里女足,0.9400,0.5853,0.5155,0.5355,4.0,0.7500,状态B-预警/降半仓,0.5000,2.3550,是,红,0.4700,2.2137,0-2,ledger赛果兜底,0.76/-1.5/0.94,-1.5,客队,上盘,下盘,客队上盘，让球基本稳定，上盘水位0.94，下盘水位0.76，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068749-盘口快照-不形成模拟,欧女杯,圣珀尔滕女足 vs 尤文图斯女足,国内杯赛,欧洲非五大,未识别,杯赛,两球/两球半,0.91-1.00,诱下/上盘降温,正向,正向,上盘,尤文图斯女足,0.9600,0.6047,0.5102,0.5302,0.0,,状态B-预警/降半仓,0.5000,2.3550,是,红,0.4800,2.2608,0-3,ledger赛果兜底,0.74/-2.25/0.96,-2.25,客队,上盘,下盘,客队上盘，让球基本稳定，上盘水位0.96，下盘水位0.74，欧赔变化不大
2026-09-01,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260901_234740_detail.csv,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071630-盘口快照-不形成模拟,乌拉杯,丹奴比奥 vs 阿特纳斯,国内杯赛,拉美,乌拉圭,杯赛,半球,0.81-0.90,诱上/阻下,反向,反向,上盘,丹奴比奥,0.8100,0.6428,0.5525,0.5725,7.0,0.7143,状态A-正常态,1.0000,4.7100,是,红,0.8100,3.8151,3-2,ledger赛果兜底,0.81/0.5/0.89,0.5,主队,下盘,上盘,主队上盘，让球基本稳定，上盘水位0.81，下盘水位0.89，欧赔变化不大
