统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,玻利维亚,杯赛,半球/一球,1.01-1.10,诱下/上盘降温,1,1,0,0,0,0,1.0,0.0,1.01,1.01,1.01,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,哥伦比亚,未知分类,半球,1.01-1.10,阻下/下盘保护,1,1,0,0,0,0,1.0,0.0,1.03,1.03,1.03,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,未识别,未知分类,半球/一球,0.81-0.90,诱上/阻下,1,0,1,0,0,0,1.0,0.0,0.42,0.84,0.42,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,智利,未知分类,平手,0.71-0.80,降温保护/诱下,1,0,0,0,0,1,0.0,1.0,-1.0,0.8,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手,1.01-1.10,诱上/阻下,1,1,0,0,0,0,1.0,0.0,1.05,1.05,1.05,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,球半,1.01-1.10,阻上/诱下,1,1,0,0,0,0,1.0,0.0,1.03,1.03,1.03,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,智利,未知分类,平手/半球,0.81-0.90,诱上/阻下,1,0,0,0,0,1,0.0,1.0,-1.0,0.83,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手/半球,>1.10,诱上/阻下,1,0,1,0,0,0,1.0,0.0,0.56,1.12,0.56,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,南美系列,巴西,未知分类,半球,1.01-1.10,阻上/诱下,1,1,0,0,0,0,1.0,0.0,1.06,1.06,1.06,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,半球,1.01-1.10,诱上/阻下,1,0,0,0,0,1,0.0,1.0,-1.0,1.05,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,半球,0.91-1.00,真实示强/阻上,1,0,0,0,0,1,0.0,1.0,-1.0,0.96,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,北美系列,美国,未知分类,平手,1.01-1.10,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,1.06,1.06,1.06,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,平手/半球,0.81-0.90,阻下/下盘保护,1,0,0,0,0,1,0.0,1.0,-1.0,0.86,-1.0,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,一球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0,0.0,0.82,0.82,0.82,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球,0.91-1.00,真实示强/阻上,1,1,0,0,0,0,1.0,0.0,0.93,0.93,0.93,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球/一球,0.81-0.90,阻上/诱下,1,1,0,0,0,0,1.0,0.0,0.89,0.89,0.89,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球/一球,0.91-1.00,真实示强/阻上,1,1,0,0,0,0,1.0,0.0,0.92,0.92,0.92,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,日韩系列,日本,未知分类,半球,0.81-0.90,阻上/诱下,1,1,0,0,0,0,1.0,0.0,0.83,0.83,0.83,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
2026-09-08,D:\codex\outputs\football_odds_trader\ledger\bettable_event_detail_2026-09-08.csv,其他系列,日本,杯赛,半球,1.01-1.10,降温保护/诱下,1,1,0,0,0,0,1.0,0.0,1.01,1.01,1.01,冻结页面计划均注模拟；不同旧版本不得解释为新版通过或真实成交
