统计日期,数据源,地区,国家,赛事层级,盘口,水位分层,倾向意图,样本,红,红半,走水,黑半,黑,有效胜率,负率,均注盈亏Unit,平均水位,ROI,备注
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,东亚,日本,非顶级联赛,平手,0.81-0.90,诱上/阻下,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.8200,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,乌拉圭,杯赛,半球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.8100,0.8100,0.8100,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,乌拉圭,杯赛,半球,0.91-1.00,诱下/上盘降温,1,0,0,0,0,1,0.0000,1.0000,-1.0000,0.9200,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,乌拉圭,杯赛,半球/一球,0.91-1.00,诱下/上盘降温,1,0,1,0,0,0,1.0000,0.0000,0.4650,0.9300,0.4650,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,乌拉圭,杯赛,平手,0.71-0.80,诱上/阻下,2,1,0,0,0,1,0.5000,0.5000,-0.2800,0.7250,-0.1400,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,哥伦比亚,非顶级联赛,半球,0.81-0.90,诱上/阻下,1,0,0,0,0,1,0.0000,1.0000,-0.5000,0.8200,-1.0000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,哥伦比亚,非顶级联赛,半球/一球,0.71-0.80,诱上/阻下,1,0,1,0,0,0,1.0000,0.0000,0.2000,0.8000,0.4000,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,哥伦比亚,顶级联赛,半球/一球,0.71-0.80,诱上/阻下,1,0,1,0,0,0,1.0000,0.0000,0.3950,0.7900,0.3950,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,未识别,杯赛,半球,0.71-0.80,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.7800,0.7800,0.7800,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
2026-09-02,D:\codex\outputs\football_odds_trader\backtests\sequential_asian\sequential_asian_backtest_20260902_135106_detail.csv,拉美,未识别,杯赛,半球,0.81-0.90,诱上/阻下,1,1,0,0,0,0,1.0000,0.0000,0.8200,0.8200,0.8200,仅含严格walk-forward漏斗通过且已结算的正向/反向亚盘投注行；按地区-国家-赛事层级-盘口-水位分层-倾向意图统计红黑
