match_id,list_date,kickoff,kickoff_at,model_id,model_version,side_mapping_version,run_id,decision_at,quote_at,last_confirmed_at,quote_age_at_decision,hours_from_decision_to_kickoff,hours_from_last_refresh_to_kickoff,is_morning_baseline,is_latest_valid_prematch,parent_decision_id,monitoring_bucket,prior_snapshot_id,market,competition,analysis_status,grade,rank,reason_codes,decision_id,real_money,normalized_intent,intent_source,candidate_side,candidate_team,candidate_water,candidate_handicap,reverse_team,reverse_side,reverse_water,selected_team,selected_side,selected_handicap_signed,selected_water_hk,probabilities,ev_mean,ev_p05,ev_p10,ev_p50,ev_p90,ev_p95,p_ev_positive,diagnostic_giving,diagnostic_receiving,direction_rule_version
3017162,2026-09-21,2026-09-22T00:00:00+08:00,2026-09-22T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,15.658,15.673,False,False,bd6d922237f708e4194b,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""多布鲁察"", ""away_team"": ""索菲亚中央陆军B队"", ""competition"": ""保乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",保乙,NEUTRAL,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",ed5c4c5d8f6450b9c80c,False,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,
3017168,2026-09-21,2026-09-22T00:00:00+08:00,2026-09-22T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,15.658,15.673,False,False,d25495291c6126038eac,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""保利文斯巴达"", ""away_team"": ""卢多戈雷茨B队"", ""competition"": ""保乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",保乙,NEUTRAL,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",bf71a4ec16adca8ca3c4,False,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,
3034792,2026-09-21,2026-09-22T00:00:00+08:00,2026-09-22T00:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,15.658,15.673,False,True,4ae566584acf4ccc57ab,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""云达不莱梅女足"", ""away_team"": ""斯图加特女足"", ""competition"": ""德女联"", ""home_handicap_signed"": 0.5, ""away_handicap_signed"": -0.5, ""home_water_hk"": 0.86, ""away_water_hk"": 0.84, ""titan_home_handicap_signed"": 0.5, ""titan_away_handicap_signed"": -0.5, ""giving_team"": ""云达不莱梅女足"", ""receiving_team"": ""斯图加特女足"", ""giving_water"": 0.86, ""receiving_water"": 0.84, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",德女联,EVALUATED,N,,"[""BUCKET_0.50"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",d53ee40fc1da98e3d257,False,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,斯图加特女足,0.84,0.5,云达不莱梅女足,giving,0.86,斯图加特女足,receiving,0.5,0.84,"{""W"": 0.5028571428571429, ""HW"": 0.0, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.49714285714285716}",-0.07474285714285717,-0.18608737126979502,-0.1615934761463127,-0.07461676093232467,0.017455764689300712,0.042682902229748354,0.149,"{""team"": ""云达不莱梅女足"", ""water"": 0.86, ""EV_mean"": -0.07531428571428572, ""EV_p10"": -0.16793202254096679, ""P_EV_gt_0"": 0.1436, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""斯图加特女足"", ""water"": 0.84, ""EV_mean"": -0.07474285714285717, ""EV_p10"": -0.16132560670241514, ""P_EV_gt_0"": 0.1452, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1
3017165,2026-09-21,2026-09-22T00:30:00+08:00,2026-09-22T00:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,16.158,16.173,False,False,763f27dabc57f0fc0e07,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""FC蒙塔纳"", ""away_team"": ""赫巴"", ""competition"": ""保乙"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",保乙,NEUTRAL,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",10077e3afc055b886edf,False,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,
2919908,2026-09-21,2026-09-22T01:00:00+08:00,2026-09-22T01:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,16.658,16.673,False,False,02c70dd2054b67ea49df,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""安吉尔霍姆斯"", ""away_team"": ""艾斯基斯迈"", ""competition"": ""瑞典乙南"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",瑞典乙南,NEUTRAL,,,"[""PK_NEUTRAL_NO_GIVING_SIDE""]",38bd456d759463e2364a,False,,,,,,,,,,,,,,,,,,,,,,,,
2919912,2026-09-21,2026-09-22T01:00:00+08:00,2026-09-22T01:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,16.658,16.673,False,False,285eb4e4bf4dcf53e30e,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""佐高平斯"", ""away_team"": ""斯柯维德"", ""competition"": ""瑞典乙南"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",瑞典乙南,NEUTRAL,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",e4093b493585b7093edf,False,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,
2920149,2026-09-21,2026-09-22T01:00:00+08:00,2026-09-22T01:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,16.658,16.673,False,False,032e6de8eb9159783c35,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""FC阿尔兰达"", ""away_team"": ""哈马比TFF"", ""competition"": ""瑞典乙北"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",瑞典乙北,NEUTRAL,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",fc0dceb5a7c37a319fcd,False,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,
2920155,2026-09-21,2026-09-22T01:00:00+08:00,2026-09-22T01:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,16.658,16.673,False,False,408470c3484fd6913886,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""维萨隆德"", ""away_team"": ""阿西里斯卡"", ""competition"": ""瑞典乙北"", ""home_handicap_signed"": null, ""away_handicap_signed"": null, ""home_water_hk"": null, ""away_water_hk"": null, ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",瑞典乙北,NEUTRAL,,,"[""NEUTRAL_INTENT"", ""MARKET_MOVE_BALANCED""]",ffd663c2bf6e89cf078c,False,平衡盘/等待临场确认,,neutral,,,,,,,,,,,,,,,,,,,,,
2998120,2026-09-21,2026-09-22T01:00:00+08:00,2026-09-22T01:00:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,16.658,16.673,False,True,fc77b00bceba16cec523,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""靴尔科治"", ""away_team"": ""霍布罗"", ""competition"": ""丹麦甲"", ""home_handicap_signed"": 0.25, ""away_handicap_signed"": -0.25, ""home_water_hk"": 1.05, ""away_water_hk"": 0.83, ""titan_home_handicap_signed"": 0.25, ""titan_away_handicap_signed"": -0.25, ""giving_team"": ""靴尔科治"", ""receiving_team"": ""霍布罗"", ""giving_water"": 1.05, ""receiving_water"": 0.83, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",丹麦甲,EVALUATED,N,,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_RISE""]",6e5f711bfd8e16533141,False,阻下/下盘保护,FLAT_LINE_GIVING_WATER_RISE,receiving,霍布罗,0.83,0.25,靴尔科治,giving,1.05,霍布罗,receiving,0.25,0.83,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",-0.07057291666666671,-0.14999755015539884,-0.13389406285265681,-0.07270841707842746,-0.010767439088080255,0.007437955599864432,0.067,"{""team"": ""靴尔科治"", ""water"": 1.05, ""EV_mean"": 0.019444444444444486, ""EV_p10"": -0.05162863605648377, ""P_EV_gt_0"": 0.6256, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""霍布罗"", ""water"": 0.83, ""EV_mean"": -0.07057291666666671, ""EV_p10"": -0.13246916163151307, ""P_EV_gt_0"": 0.0666, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1
2962638,2026-09-21,2026-09-22T01:30:00+08:00,2026-09-22T01:30:00+08:00,v4-market-dirichlet-20260913,V4_DIRECTION_FIXED_R1,V4_DIRECTION_FIXED_R1,RUN_20260921_081936,2026-09-21T08:20:31.444281+08:00,2026-09-21T08:19:36+08:00,2026-09-21T08:19:36+08:00,0.015,17.158,17.173,False,True,a09ee71a900220d130da,,prior-2026-09-21-v1,"{""snapshot_id"": ""snapshot"", ""source"": ""LEGACY_RAW_FIELD_EXPORT"", ""observed_at"": ""2026-09-21T08:20:31.444281+08:00"", ""home_team"": ""阿尔多斯维"", ""away_team"": ""图库曼竞技"", ""competition"": ""阿甲"", ""home_handicap_signed"": -0.25, ""away_handicap_signed"": 0.25, ""home_water_hk"": 0.78, ""away_water_hk"": 1.11, ""titan_home_handicap_signed"": -0.25, ""titan_away_handicap_signed"": 0.25, ""giving_team"": ""图库曼竞技"", ""receiving_team"": ""阿尔多斯维"", ""giving_water"": 1.11, ""receiving_water"": 0.78, ""side_identity"": ""Titan signed AH"", ""quote_at"": ""2026-09-21T08:19:36+08:00"", ""last_confirmed_at"": ""2026-09-21T08:19:36+08:00"", ""run_id"": ""RUN_20260921_081936""}",阿甲,EVALUATED,N,,"[""BUCKET_0.25"", ""SIDE_IDENTITY_VALID"", ""FLAT_LINE_GIVING_WATER_DROP""]",783089f00d71eb8618ca,False,真实示弱/阻下,FLAT_LINE_GIVING_WATER_DROP,receiving,阿尔多斯维,0.78,0.25,图库曼竞技,giving,1.11,阿尔多斯维,receiving,0.25,0.78,"{""W"": 0.2743055555555556, ""HW"": 0.3020833333333333, ""P"": 0.0, ""HL"": 0.0, ""L"": 0.4236111111111111}",-0.09184027777777776,-0.17085446622887546,-0.15339645623271947,-0.09204850007383081,-0.03390128140603427,-0.01705224179607806,0.0218,"{""team"": ""图库曼竞技"", ""water"": 1.11, ""EV_mean"": 0.04486111111111113, ""EV_p10"": -0.026727900572800917, ""P_EV_gt_0"": 0.7856, ""status"": ""DIAGNOSTIC_ONLY""}","{""team"": ""阿尔多斯维"", ""water"": 0.78, ""EV_mean"": -0.09184027777777776, ""EV_p10"": -0.1531038712999897, ""P_EV_gt_0"": 0.0258, ""status"": ""DIAGNOSTIC_ONLY""}",V4_DIRECTION_FIXED_R1
