match_id,list_date,side,team,market_side,signed_handicap,water,W,HW,P,HL,L,EV_mean,EV_p10,P_EV_gt_0,mirror_status,real_money,diagnostic_only,status
3004994,2026-09-20,giving,阿尔卡,让球方/上盘,0.75,1.14,0.0,0.0,0.0,0.0,0.0,0.04758333333333331,-0.06480646847757843,0.7012,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3004994,2026-09-20,receiving,西德尔策,受让方/下盘,0.75,0.63,0.0,0.0,0.0,0.0,0.0,-0.15091666666666667,-0.23495088822132076,0.0114,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3012519,2026-09-20,giving,卡帕迪,让球方/上盘,1.0,0.6,0.0,0.0,0.0,0.0,0.0,-0.20789473684210524,-0.3138486884087457,0.006,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3012519,2026-09-20,receiving,维勒斯,受让方/下盘,1.0,1.28,0.0,0.0,0.0,0.0,0.0,0.18368421052631578,0.03931321379795161,0.9496,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3040129,2026-09-20,giving,奥斯泰华B队,让球方/上盘,0.25,0.89,0.0,0.0,0.0,0.0,0.0,-0.04833333333333337,-0.11023882827509848,0.1724,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3040129,2026-09-20,receiving,乌斯季,受让方/下盘,0.25,0.87,0.0,0.0,0.0,0.0,0.0,-0.05355902777777771,-0.11717481846355537,0.1334,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3041564,2026-09-20,giving,沙马基,让球方/上盘,0.25,0.72,0.0,0.0,0.0,0.0,0.0,-0.12034722222222224,-0.17428212780321317,0.0028,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3041564,2026-09-20,receiving,纳希切万,受让方/下盘,0.25,1.04,0.0,0.0,0.0,0.0,0.0,0.01874999999999999,-0.04752857203125699,0.6364,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3011403,2026-09-20,giving,MTK匈格利亚,让球方/上盘,0.25,0.94,0.0,0.0,0.0,0.0,0.0,-0.02715277777777783,-0.08905372508995235,0.2978,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3011403,2026-09-20,receiving,吉奥里,受让方/下盘,0.25,0.82,0.0,0.0,0.0,0.0,0.0,-0.07482638888888887,-0.1355279917080835,0.0604,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3003889,2026-09-20,giving,利物浦,让球方/上盘,0.25,0.9,0.0,0.0,0.0,0.0,0.0,-0.04409722222222226,-0.10684537414608919,0.1728,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3003889,2026-09-20,receiving,伯恩茅斯,受让方/下盘,0.25,0.98,0.0,0.0,0.0,0.0,0.0,-0.006770833333333337,-0.07089492092879635,0.4556,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3003894,2026-09-20,giving,利兹联,让球方/上盘,0.75,0.88,0.0,0.0,0.0,0.0,0.0,-0.06399999999999995,-0.16247697285675877,0.2016,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3003894,2026-09-20,receiving,水晶宫,受让方/下盘,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.012500000000000011,-0.09071982660610228,0.5718,W↔L;HW↔HL;P↔P,False,True,COMPUTED
3003895,2026-09-20,giving,曼彻斯特城,让球方/上盘,1.5,0.96,0.0,0.0,0.0,0.0,0.0,0.16374999999999995,-0.05270572626764741,0.8354,W↔L;HW↔HL;P↔P,False,True,COMPUTED
