match_id,selected_team,selected_handicap_signed,selected_water_hk,grade,ev_mean,ev_p10,p_ev_positive
3068931,利雅得新月,-2.75,0.93,B,0.35800000000000004,-0.06746557429277594,0.8686
3013696,皇家马德里,-2.0,0.99,B,0.244375,-0.04257551077263039,0.8626
