intent,n,share,status
阻下/下盘保护,17,0.16346153846153846,MONITOR
真实示弱/阻下,20,0.19230769230769232,MONITOR
诱上/阻下,1,0.009615384615384616,MONITOR
NEUTRAL,50,0.4807692307692308,MONITOR
MIXED,14,0.1346153846153846,MONITOR
UNKNOWN,2,0.019230769230769232,MONITOR
