date,scope,intent,share,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-17,ALL_ROSTER,阻下/下盘保护,0.07063197026022305,19,18,1,11,2,0,0,5,0.7058823529411765,4.48,0.23578947368421055,0.2488888888888889,0.8121052631578948,0,19,True
2026-09-17,ALL_ROSTER,降温保护/诱下,0.03345724907063197,9,9,0,2,2,1,1,3,0.46153846153846156,-1.4049999999999998,-0.1561111111111111,-0.1561111111111111,0.7666666666666667,9,0,True
2026-09-18,ALL_ROSTER,MISSING,0.6259842519685039,318,0,318,0,0,0,0,0,,,,,,0,0,True
2026-09-18,ALL_ROSTER,平衡盘/等待临场确认,0.05708661417322835,29,0,29,0,0,0,0,0,,,,,,0,0,True
2026-09-18,ALL_ROSTER,真实示弱/阻下,0.09645669291338582,49,47,2,13,8,3,5,18,0.4533333333333333,-3.9899999999999998,-0.08142857142857142,-0.0848936170212766,1.0061224489795917,0,49,False
2026-09-18,ALL_ROSTER,真实示强/阻上,0.005905511811023622,3,3,0,2,0,0,0,1,0.6666666666666666,0.83,0.27666666666666667,0.27666666666666667,0.8099999999999999,3,0,True
2026-09-18,ALL_ROSTER,诱上/阻下,0.007874015748031496,4,4,0,2,0,0,0,2,0.5,-0.30999999999999994,-0.07749999999999999,-0.07749999999999999,0.89,0,4,True
2026-09-18,ALL_ROSTER,阻上/诱下,0.05708661417322835,29,28,1,7,3,3,4,11,0.3953488372093023,-4.365,-0.15051724137931036,-0.15589285714285714,1.0141379310344827,29,0,True
2026-09-18,ALL_ROSTER,阻下/下盘保护,0.13582677165354332,69,68,1,25,7,0,3,33,0.4523809523809524,-10.504999999999999,-0.1522463768115942,-0.15448529411764705,0.8449275362318841,0,69,False
2026-09-18,ALL_ROSTER,降温保护/诱下,0.013779527559055118,7,7,0,3,0,1,2,1,0.6,0.54,0.07714285714285715,0.07714285714285715,0.8557142857142858,7,0,True
2026-09-13,COMPUTED_ABCN,MISSING,1.0,160,155,5,67,3,2,19,64,0.4823943661971831,-12.315000000000001,-0.07696875,-0.07945161290322582,0.9069375000000001,160,0,False
2026-09-14,COMPUTED_ABCN,真实示弱/阻下,0.20833333333333334,15,12,3,3,3,1,0,5,0.47368421052631576,-0.7449999999999997,-0.049666666666666644,-0.0620833333333333,0.9846666666666665,0,15,True
2026-09-14,COMPUTED_ABCN,真实示强/阻上,0.1111111111111111,8,8,0,6,0,0,0,2,0.75,3.15,0.39375,0.39375,0.84375,8,0,True
2026-09-14,COMPUTED_ABCN,诱上/阻下,0.05555555555555555,4,4,0,1,0,1,0,2,0.3333333333333333,-1.1400000000000001,-0.28500000000000003,-0.28500000000000003,0.86,0,4,True
2026-09-14,COMPUTED_ABCN,阻上/诱下,0.2361111111111111,17,16,1,8,1,2,0,5,0.6296296296296297,3.25,0.19117647058823528,0.203125,0.9529411764705882,17,0,True
