model,dimension,group,n,settled,effective_weight,pred_effective_mean,pred_effective_weighted,actual_effective_win_rate,gap_pred_minus_actual,Brier_like_effective_weighted,multiclass_Brier
V4_DIRECTION_FIXED_R1,overall,ALL,155,150,131.5,0.5316664282133273,0.5330184260066826,0.4600760456273764,0.07294238037930617,0.25213751647704913,0.6128892223121429
V4_DIRECTION_FIXED_R1,probability_bin,50-52%,75,71,64.0,0.5035511337401049,0.5034956239517218,0.4375,0.06599562395172176,0.2500744594707162,0.5916843065229164
V4_DIRECTION_FIXED_R1,probability_bin,52-54%,1,1,1.0,0.5333333333333333,0.5333333333333333,1.0,-0.4666666666666667,0.2177777777777778,0.7118367346938776
V4_DIRECTION_FIXED_R1,probability_bin,54-56%,27,27,21.0,0.542292231744536,0.5422691889984228,0.42857142857142855,0.11369776042699425,0.2579438605033271,0.6556618525935902
V4_DIRECTION_FIXED_R1,probability_bin,56-58%,3,3,3.0,0.5625,0.5625,0.6666666666666666,-0.10416666666666663,0.23307291666666666,0.5246913580246914
V4_DIRECTION_FIXED_R1,probability_bin,58-60%,12,12,12.0,0.59375,0.59375,0.4166666666666667,0.17708333333333331,0.2744140625,0.548828125
V4_DIRECTION_FIXED_R1,probability_bin,60%+,11,11,10.0,0.690318772136954,0.6950649350649352,0.6,0.09506493506493519,0.23966630123123628,0.6366903528879622
V4_DIRECTION_FIXED_R1,probability_bin,<50%,26,25,20.5,0.4966641461003747,0.4967837772692196,0.4634146341463415,0.03336914312287809,0.2501399341437125,0.6538194149252762
V4_DIRECTION_FIXED_R1,handicap_bucket,0.25,37,35,30.0,0.5003797838153666,0.5004089979550101,0.3333333333333333,0.16707566462167683,0.25013737814746506,0.6364204420194004
V4_DIRECTION_FIXED_R1,handicap_bucket,0.50,28,28,28.0,0.5018367346938776,0.5018367346938776,0.5,0.001836734693877573,0.2502122448979591,0.5004244897959182
V4_DIRECTION_FIXED_R1,handicap_bucket,0.75,20,18,15.0,0.5031897926634769,0.5033492822966507,0.4666666666666667,0.03668261562998398,0.2505299787092786,0.669398148148148
V4_DIRECTION_FIXED_R1,handicap_bucket,1.00,26,26,20.0,0.5423728813559323,0.5423728813559323,0.4,0.1423728813559323,0.2602700373455904,0.6632484551459619
V4_DIRECTION_FIXED_R1,handicap_bucket,1.25,15,14,10.5,0.5023547880690737,0.5028780743066458,0.5238095238095238,-0.020931449502878063,0.25029183270941513,0.6746681584702233
V4_DIRECTION_FIXED_R1,handicap_bucket,1.50,12,12,12.0,0.59375,0.59375,0.4166666666666667,0.17708333333333331,0.2744140625,0.548828125
V4_DIRECTION_FIXED_R1,handicap_bucket,1.75,1,1,1.0,0.5333333333333333,0.5333333333333333,1.0,-0.4666666666666667,0.2177777777777778,0.7118367346938776
V4_DIRECTION_FIXED_R1,handicap_bucket,2.00,6,6,5.0,0.6428571428571429,0.6428571428571429,0.6,0.04285714285714293,0.24183673469387754,0.6171875
V4_DIRECTION_FIXED_R1,handicap_bucket,2.25,3,3,3.0,0.5625,0.5625,0.6666666666666666,-0.10416666666666663,0.23307291666666666,0.5246913580246914
V4_DIRECTION_FIXED_R1,handicap_bucket,2.50,2,2,2.0,0.8181818181818182,0.8181818181818182,0.5,0.31818181818181823,0.35123966942148765,0.7024793388429752
V4_DIRECTION_FIXED_R1,handicap_bucket,2.75,2,2,2.0,0.7500000000000001,0.7500000000000001,1.0,-0.2499999999999999,0.062499999999999944,0.56
V4_DIRECTION_FIXED_R1,handicap_bucket,3.00,1,1,1.0,0.6000000000000001,0.6000000000000001,0.0,0.6000000000000001,0.3600000000000001,0.7755102040816326
V4_DIRECTION_FIXED_R1,handicap_bucket,3.25,1,1,1.0,0.5136298421807748,0.5136298421807748,1.0,-0.4863701578192252,0.23655593041709805,0.5739490660444455
V4_DIRECTION_FIXED_R1,handicap_bucket,3.75,1,1,1.0,0.5401953418482344,0.5401953418482344,1.0,-0.45980465815176563,0.21142032365806204,0.4584101862319272
V4_DIRECTION_FIXED_R1,intent,真实示弱/阻下,78,75,64.5,0.5169233594573469,0.5169082269840437,0.4108527131782946,0.10605551380574912,0.25907019861843394,0.6235878278642654
V4_DIRECTION_FIXED_R1,intent,真实示强/阻上,11,11,11.0,0.5781633627454439,0.5781633627454439,0.45454545454545453,0.12361790819998936,0.27520256489965983,0.5802667730376262
V4_DIRECTION_FIXED_R1,intent,诱上/阻下,2,2,2.0,0.5019398188723343,0.5019398188723343,0.0,0.5019398188723343,0.2519444232528848,0.5022263207829428
V4_DIRECTION_FIXED_R1,intent,阻上/诱下,46,44,38.0,0.5417060596269857,0.5444853287633972,0.5,0.04448532876339717,0.24236984053065258,0.6335746336927992
V4_DIRECTION_FIXED_R1,intent,阻下/下盘保护,16,16,14.0,0.5400083983247843,0.5396706150346204,0.5714285714285714,-0.03175795639395096,0.23759357460604727,0.5685134812636006
V4_DIRECTION_FIXED_R1,intent,降温保护/诱下,2,2,2.0,0.5709173239848087,0.5709173239848087,1.0,-0.42908267601519134,0.18928728039574186,0.40170476466049376
V4_DIRECTION_FIXED_R1,side,giving,59,57,51.0,0.5497666361711732,0.5527857672780115,0.5098039215686274,0.042981845709384126,0.24736973950691257,0.61515136693365
V4_DIRECTION_FIXED_R1,side,receiving,96,93,80.5,0.5205727523681961,0.5204950172509338,0.42857142857142855,0.09192358867950529,0.2551580956755208,0.6115027465763807
V4_DIRECTION_FIXED_R1,date,2026-09-14,19,18,15.0,0.5417394050447053,0.5378876847930073,0.6,-0.062112315206992674,0.24949258858368092,0.6096693792239108
V4_DIRECTION_FIXED_R1,date,2026-09-15,32,31,29.0,0.5340918056106354,0.5350170892228031,0.5172413793103449,0.01777570991245825,0.26572845859326855,0.5886223912281415
V4_DIRECTION_FIXED_R1,date,2026-09-16,31,29,25.0,0.5372089283139606,0.5411173213625361,0.44,0.1011173213625361,0.24784982482001156,0.6136931612168502
V4_DIRECTION_FIXED_R1,date,2026-09-17,19,19,18.5,0.5575902538545127,0.5591191122049718,0.4594594594594595,0.0996596527455123,0.2417712446211753,0.5983338845165658
V4_DIRECTION_FIXED_R1,date,2026-09-18,54,53,44.0,0.5145006645834737,0.5144653534242495,0.38636363636363635,0.12810171706061313,0.2508762646086346,0.6329546209738726
V4_GIVING_LEGACY,overall,ALL,33,30,26.5,0.5369271073032374,0.5334646001683335,0.5094339622641509,0.024030637904182583,0.24995337210209062,0.6263421697104233
V4_GIVING_LEGACY,probability_bin,50-52%,2,2,2.0,0.5054945054945055,0.5054945054945055,0.5,0.005494505494505475,0.25003018959062917,0.6315414738341047
V4_GIVING_LEGACY,probability_bin,52-54%,5,4,3.5,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.10476190476190478,0.2558730158730159,0.640408163265306
V4_GIVING_LEGACY,probability_bin,56-58%,3,3,2.0,0.5625,0.5625,0.5,0.0625,0.25390625,0.7469135802469137
V4_GIVING_LEGACY,probability_bin,58-60%,7,7,7.0,0.59375,0.59375,0.5714285714285714,0.022321428571428603,0.24539620535714285,0.4907924107142857
V4_GIVING_LEGACY,probability_bin,60%+,1,1,0.0,0.6428571428571429,,,,,1.1796875
V4_GIVING_LEGACY,probability_bin,<50%,15,13,12.0,0.49822182553212585,0.49815885223376344,0.5,-0.0018411477662365616,0.2502135407057155,0.6238134134494252
V4_GIVING_LEGACY,handicap_bucket,0.25,10,10,9.0,0.4989775051124744,0.4989775051124744,0.5555555555555556,-0.056578050443081174,0.25011465603885336,0.636916473765432
V4_GIVING_LEGACY,handicap_bucket,0.50,4,2,2.0,0.49714285714285716,0.49714285714285716,0.0,0.49714285714285716,0.24715102040816328,0.4943020408163265
V4_GIVING_LEGACY,handicap_bucket,0.75,1,1,1.0,0.49282296650717705,0.49282296650717705,1.0,-0.507177033492823,0.25722854330258005,0.7518055555555555
V4_GIVING_LEGACY,handicap_bucket,1.25,2,2,2.0,0.5054945054945055,0.5054945054945055,0.5,0.005494505494505475,0.25003018959062917,0.6315414738341047
V4_GIVING_LEGACY,handicap_bucket,1.50,7,7,7.0,0.59375,0.59375,0.5714285714285714,0.022321428571428603,0.24539620535714285,0.4907924107142857
V4_GIVING_LEGACY,handicap_bucket,1.75,5,4,3.5,0.5333333333333333,0.5333333333333333,0.42857142857142855,0.10476190476190478,0.2558730158730159,0.640408163265306
V4_GIVING_LEGACY,handicap_bucket,2.00,1,1,0.0,0.6428571428571429,,,,,1.1796875
