date,EV_gt,P_EV_ge,diagnostic_only,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,0.05,0,True,8,8,0,5,0,0,1,2,0.6666666666666666,2.04,0.255,0.255,0.9199999999999999,8,0,True
2026-09-13,0.05,0.6,True,8,8,0,5,0,0,1,2,0.6666666666666666,2.04,0.255,0.255,0.9199999999999999,8,0,True
2026-09-13,0.05,0.7,True,4,4,0,1,0,0,1,2,0.2857142857142857,-1.53,-0.3825,-0.3825,0.9475,4,0,True
2026-09-13,0.05,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-13,0.05,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0,0,True,18,17,1,8,2,2,0,5,0.6428571428571429,3.845,0.2136111111111111,0.2261764705882353,0.9833333333333335,10,8,True
2026-09-14,0,0.6,True,10,9,1,4,0,2,0,3,0.5714285714285714,0.7700000000000001,0.07700000000000001,0.08555555555555557,0.99,5,5,True
2026-09-14,0,0.7,True,7,6,1,3,0,2,0,1,0.75,1.6800000000000002,0.24000000000000002,0.28,0.9585714285714285,4,3,True
2026-09-14,0,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.01,0,True,11,10,1,4,0,2,0,4,0.5,-0.22999999999999987,-0.020909090909090898,-0.022999999999999986,0.9927272727272729,5,6,True
2026-09-14,0.01,0.6,True,10,9,1,4,0,2,0,3,0.5714285714285714,0.7700000000000001,0.07700000000000001,0.08555555555555557,0.99,5,5,True
2026-09-14,0.01,0.7,True,7,6,1,3,0,2,0,1,0.75,1.6800000000000002,0.24000000000000002,0.28,0.9585714285714285,4,3,True
2026-09-14,0.01,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.01,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.02,0,True,10,9,1,4,0,2,0,3,0.5714285714285714,0.7700000000000001,0.07700000000000001,0.08555555555555557,0.99,5,5,True
2026-09-14,0.02,0.6,True,10,9,1,4,0,2,0,3,0.5714285714285714,0.7700000000000001,0.07700000000000001,0.08555555555555557,0.99,5,5,True
2026-09-14,0.02,0.7,True,7,6,1,3,0,2,0,1,0.75,1.6800000000000002,0.24000000000000002,0.28,0.9585714285714285,4,3,True
2026-09-14,0.02,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.02,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.03,0,True,10,9,1,4,0,2,0,3,0.5714285714285714,0.7700000000000001,0.07700000000000001,0.08555555555555557,0.99,5,5,True
2026-09-14,0.03,0.6,True,10,9,1,4,0,2,0,3,0.5714285714285714,0.7700000000000001,0.07700000000000001,0.08555555555555557,0.99,5,5,True
2026-09-14,0.03,0.7,True,7,6,1,3,0,2,0,1,0.75,1.6800000000000002,0.24000000000000002,0.28,0.9585714285714285,4,3,True
2026-09-14,0.03,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.03,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.05,0,True,6,6,0,3,0,2,0,1,0.75,1.6800000000000002,0.28,0.28,0.9383333333333334,4,2,True
2026-09-14,0.05,0.6,True,6,6,0,3,0,2,0,1,0.75,1.6800000000000002,0.28,0.28,0.9383333333333334,4,2,True
2026-09-14,0.05,0.7,True,6,6,0,3,0,2,0,1,0.75,1.6800000000000002,0.28,0.28,0.9383333333333334,4,2,True
2026-09-14,0.05,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-14,0.05,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0,0,True,28,27,1,14,0,1,1,11,0.5490196078431373,2.3600000000000003,0.0842857142857143,0.08740740740740742,0.9874999999999999,9,19,True
2026-09-15,0,0.6,True,12,12,0,8,0,1,0,3,0.7272727272727273,5.04,0.42,0.42,0.9766666666666667,5,7,True
2026-09-15,0,0.7,True,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.905,2,0,True
2026-09-15,0,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.01,0,True,23,22,1,13,0,1,0,8,0.6190476190476191,4.86,0.21130434782608698,0.22090909090909092,0.9856521739130437,7,16,True
2026-09-15,0.01,0.6,True,12,12,0,8,0,1,0,3,0.7272727272727273,5.04,0.42,0.42,0.9766666666666667,5,7,True
2026-09-15,0.01,0.7,True,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.905,2,0,True
2026-09-15,0.01,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.01,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.02,0,True,15,15,0,10,0,1,0,4,0.7142857142857143,5.9,0.39333333333333337,0.39333333333333337,0.9766666666666665,5,10,True
2026-09-15,0.02,0.6,True,11,11,0,7,0,1,0,3,0.7,3.99,0.36272727272727273,0.36272727272727273,0.97,4,7,True
2026-09-15,0.02,0.7,True,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.905,2,0,True
2026-09-15,0.02,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.02,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.03,0,True,8,8,0,5,0,0,0,3,0.625,1.7600000000000002,0.22000000000000003,0.22000000000000003,0.94125,5,3,True
2026-09-15,0.03,0.6,True,7,7,0,4,0,0,0,3,0.5714285714285714,0.9000000000000001,0.1285714285714286,0.1285714285714286,0.9528571428571428,4,3,True
2026-09-15,0.03,0.7,True,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.905,2,0,True
2026-09-15,0.03,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.03,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.05,0,True,4,4,0,2,0,0,0,2,0.5,-0.21999999999999997,-0.05499999999999999,-0.05499999999999999,0.8975000000000001,4,0,True
2026-09-15,0.05,0.6,True,4,4,0,2,0,0,0,2,0.5,-0.21999999999999997,-0.05499999999999999,-0.05499999999999999,0.8975000000000001,4,0,True
2026-09-15,0.05,0.7,True,2,2,0,0,0,0,0,2,0.0,-2.0,-1.0,-1.0,0.905,2,0,True
2026-09-15,0.05,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-15,0.05,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0,0,True,29,27,2,8,2,1,4,12,0.391304347826087,-5.095,-0.17568965517241378,-0.1887037037037037,0.9875862068965517,14,15,True
2026-09-16,0,0.6,True,15,14,1,4,1,1,2,6,0.391304347826087,-2.53,-0.16866666666666666,-0.1807142857142857,0.9846666666666668,9,6,True
2026-09-16,0,0.7,True,6,6,0,2,1,0,0,3,0.45454545454545453,-0.64,-0.10666666666666667,-0.10666666666666667,0.9683333333333334,4,2,True
2026-09-16,0,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.01,0,True,20,19,1,6,1,1,4,7,0.41935483870967744,-2.48,-0.124,-0.13052631578947368,0.9860000000000001,11,9,True
2026-09-16,0.01,0.6,True,15,14,1,4,1,1,2,6,0.391304347826087,-2.53,-0.16866666666666666,-0.1807142857142857,0.9846666666666668,9,6,True
2026-09-16,0.01,0.7,True,6,6,0,2,1,0,0,3,0.45454545454545453,-0.64,-0.10666666666666667,-0.10666666666666667,0.9683333333333334,4,2,True
2026-09-16,0.01,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.01,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.02,0,True,13,13,0,4,1,1,2,5,0.42857142857142855,-1.5499999999999998,-0.11923076923076922,-0.11923076923076922,0.9753846153846154,9,4,True
2026-09-16,0.02,0.6,True,12,12,0,3,1,1,2,5,0.3684210526315789,-2.58,-0.215,-0.215,0.9708333333333333,8,4,True
2026-09-16,0.02,0.7,True,6,6,0,2,1,0,0,3,0.45454545454545453,-0.64,-0.10666666666666667,-0.10666666666666667,0.9683333333333334,4,2,True
2026-09-16,0.02,0.85,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.02,0.95,True,0,0,0,0,0,0,0,0,,,,,,0,0,True
2026-09-16,0.03,0,True,10,10,0,2,0,1,2,5,0.25,-4.1,-0.41,-0.41,0.96,8,2,True
2026-09-16,0.03,0.6,True,10,10,0,2,0,1,2,5,0.25,-4.1,-0.41,-0.41,0.96,8,2,True
2026-09-16,0.03,0.7,True,4,4,0,1,0,0,0,3,0.25,-2.16,-0.54,-0.54,0.94,4,0,True
