date,total,computed,A,B,C,N,A_share_computed,B_share_computed,C_share_computed,N_share_computed,ABC,C_share_ABC
2026-09-13,192,160,0,3,30,127,0.0,0.01875,0.1875,0.79375,33,0.9090909090909091
2026-09-14,208,72,0,1,18,53,0.0,0.013888888888888888,0.25,0.7361111111111112,19,0.9473684210526315
2026-09-15,327,116,1,3,28,84,0.008620689655172414,0.02586206896551724,0.2413793103448276,0.7241379310344828,32,0.875
2026-09-16,510,161,1,1,29,130,0.006211180124223602,0.006211180124223602,0.18012422360248448,0.8074534161490683,31,0.9354838709677419
2026-09-17,269,83,0,2,17,64,0.0,0.024096385542168676,0.20481927710843373,0.7710843373493976,19,0.8947368421052632
2026-09-18,508,161,1,4,49,107,0.006211180124223602,0.024844720496894408,0.30434782608695654,0.6645962732919255,54,0.9074074074074074
