date,model,side,bucket,n,unique_probability_vectors,W_mean,HW_mean,P_mean,HL_mean,L_mean,W_variance,HW_variance,P_variance,HL_variance,L_variance,max_variance,ev_mean,ev_variance,P_EV_positive_mean,P_EV_positive_variance
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,0.50,7,1,0.5028571428571428,0.0,0.0,0.0,0.4971428571428572,1.232595164407831e-32,0.0,0.0,0.0,3.0814879110195774e-33,1.232595164407831e-32,-0.042416326530612225,0.0049912515118700545,0.34868571428571427,0.05705408979591836
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,0.75,3,1,0.44166666666666665,0.0,0.0,0.25833333333333336,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.01694444444444444,0.002566246913580247,0.41806666666666664,0.05116246222222223
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,1.00,5,1,0.42105263157894735,0.0,0.2236842105263158,0.0,0.35526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.022842105263157896,0.003243612188365652,0.56712,0.0407811296
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,1.25,4,1,0.2830188679245283,0.2830188679245283,0.0,0.0,0.4339622641509434,0.0,0.0,0.0,0.0,0.0,0.0,-0.04127358490566041,0.0009056270024919903,0.36845,0.0102908675
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,1.50,2,1,0.40625,0.0,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,-0.24437499999999998,0.0005941406250000004,0.0752,0.0008065599999999999
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,1.75,1,1,0.4,0.0,0.0,0.2857142857142857,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,-0.1131428571428571,0.0,0.2054,0.0
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,2.25,2,1,0.2777777777777778,0.2222222222222222,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.20833333333333334,0.00037808641975308697,0.1345,0.0009424900000000004
2026-09-15,V4_DIRECTION_FIXED_R1,giving,0.25,10,1,0.42361111111111105,0.0,0.0,0.30208333333333337,0.2743055555555555,3.0814879110195774e-33,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,3.0814879110195774e-33,-0.013173611111111145,0.0012024701485339499,0.3998399999999999,0.0521231664
2026-09-15,V4_DIRECTION_FIXED_R1,giving,0.50,6,1,0.49714285714285716,0.0,0.0,0.0,0.5028571428571428,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.232595164407831e-32,-0.08691428571428572,0.0008952359183673469,0.1287,0.009477916666666667
2026-09-15,V4_DIRECTION_FIXED_R1,giving,0.75,4,1,0.3,0.25833333333333336,0.0,0.0,0.44166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,-0.06399999999999997,0.0007827821180555551,0.21450000000000002,0.011059310000000001
2026-09-15,V4_DIRECTION_FIXED_R1,giving,1.00,9,1,0.35526315789473684,0.0,0.2236842105263158,0.0,0.42105263157894735,3.0814879110195774e-33,0.0,0.0,0.0,0.0,3.0814879110195774e-33,-0.08473684210526317,0.0005048476454293627,0.19804444444444444,0.0044606380246913595
2026-09-15,V4_DIRECTION_FIXED_R1,giving,1.25,4,1,0.4339622641509434,0.0,0.0,0.2830188679245283,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,-0.013349056603773536,0.000530836151655394,0.457,0.0059184599999999995
2026-09-15,V4_DIRECTION_FIXED_R1,giving,1.50,3,1,0.59375,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.14791666666666667,0.0040972873263888845,0.7933333333333333,0.009738035555555559
2026-09-15,V4_DIRECTION_FIXED_R1,giving,1.75,2,1,0.3142857142857143,0.2857142857142857,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.025142857142857078,0.000752326530612244,0.5738,0.005299839999999997
2026-09-15,V4_DIRECTION_FIXED_R1,giving,2.00,1,1,0.5625,0.0,0.125,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.16562499999999997,0.0,0.791,0.0
2026-09-15,V4_DIRECTION_FIXED_R1,giving,2.25,1,1,0.5,0.0,0.0,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0411111111111111,0.0,0.5884,0.0
2026-09-15,V4_DIRECTION_FIXED_R1,giving,2.50,1,1,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,-0.6636363636363637,0.0,0.0046,0.0
2026-09-15,V4_DIRECTION_FIXED_R1,giving,3.25,1,1,0.45260347129506007,0.0,0.0,0.13885180240320427,0.40854472630173566,0.0,0.0,0.0,0.0,0.0,0.0,-0.03441922563417893,0.0,0.1548,0.0
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,0.25,15,1,0.27430555555555547,0.3020833333333333,0.0,0.0,0.42361111111111094,1.232595164407831e-32,0.0,0.0,0.0,2.7733391199176196e-32,2.7733391199176196e-32,-0.06376736111111109,0.001586791288901749,0.15394666666666665,0.025358535822222226
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,0.50,28,1,0.502857142857143,0.0,0.0,0.0,0.49714285714285705,4.930380657631324e-32,0.0,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,-0.041338775510204054,0.0033418214410662235,0.33173571428571424,0.05569550301020409
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,0.75,10,1,0.4416666666666666,0.0,0.0,0.25833333333333336,0.29999999999999993,1.232595164407831e-32,0.0,0.0,0.0,3.0814879110195774e-33,1.232595164407831e-32,-0.04138333333333332,0.0020903641666666683,0.31504000000000004,0.0391624784
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,1.00,5,1,0.42105263157894735,0.0,0.2236842105263158,0.0,0.35526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.041368421052631554,0.0026479335180055364,0.6420399999999999,0.023610150400000002
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,1.25,4,1,0.2830188679245283,0.2830188679245283,0.0,0.0,0.4339622641509434,0.0,0.0,0.0,0.0,0.0,0.0,-0.04551886792452832,0.00288809407262371,0.36305,0.0262010675
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,1.50,6,1,0.40625,0.0,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,-0.2152604166666667,0.0015041476779513896,0.1095,0.0026855433333333335
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,1.75,2,1,0.4,0.0,0.0,0.2857142857142857,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,-0.0751428571428571,0.0003239999999999996,0.2993,0.00221841
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,2.00,2,1,0.3125,0.0,0.125,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,-0.2625,0.00390625,0.1226,0.0050979599999999995
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,2.25,1,1,0.2777777777777778,0.2222222222222222,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.18888888888888888,0.0,0.1628,0.0
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,2.50,1,1,0.8181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.6118181818181818,0.0,0.9882,0.0
2026-09-16,V4_DIRECTION_FIXED_R1,giving,0.25,11,1,0.42361111111111105,0.0,0.0,0.30208333333333337,0.2743055555555555,3.0814879110195774e-33,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,3.0814879110195774e-33,-0.02946338383838385,0.0017467102368380774,0.3252727272727273,0.06085686743801653
2026-09-16,V4_DIRECTION_FIXED_R1,giving,0.50,11,1,0.49714285714285716,0.0,0.0,0.0,0.5028571428571428,1.232595164407831e-32,0.0,0.0,0.0,1.232595164407831e-32,1.232595164407831e-32,-0.07531428571428572,0.0023861307606679043,0.18952727272727274,0.01712476561983471
2026-09-16,V4_DIRECTION_FIXED_R1,giving,0.75,14,1,0.29999999999999993,0.25833333333333336,0.0,0.0,0.44166666666666654,3.0814879110195774e-33,0.0,0.0,0.0,2.7733391199176196e-32,2.7733391199176196e-32,-0.06982440476190475,0.0027038403220663266,0.22797142857142857,0.034664044897959184
2026-09-16,V4_DIRECTION_FIXED_R1,giving,1.00,8,1,0.35526315789473684,0.0,0.2236842105263158,0.0,0.42105263157894735,3.0814879110195774e-33,0.0,7.703719777548943e-34,0.0,0.0,3.0814879110195774e-33,-0.1292927631578947,0.0010426287114785322,0.0925,0.00411358
2026-09-16,V4_DIRECTION_FIXED_R1,giving,1.25,13,1,0.43396226415094336,0.0,0.0,0.28301886792452835,0.28301886792452835,3.0814879110195774e-33,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,3.0814879110195774e-33,-0.023613933236574715,0.0020557321036988045,0.4192461538461539,0.022366831715976327
2026-09-16,V4_DIRECTION_FIXED_R1,giving,1.50,5,1,0.59375,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.10318750000000002,0.007423062500000003,0.71076,0.0271245344
2026-09-16,V4_DIRECTION_FIXED_R1,giving,1.75,2,1,0.3142857142857143,0.2857142857142857,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.006857142857142895,2.0897959183673362e-05,0.4908,0.00026895999999999995
2026-09-16,V4_DIRECTION_FIXED_R1,giving,2.00,1,1,0.5625,0.0,0.125,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999998,0.0,0.787,0.0
2026-09-16,V4_DIRECTION_FIXED_R1,giving,2.25,1,1,0.5,0.0,0.0,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.061111111111111116,0.0,0.6276,0.0
2026-09-16,V4_DIRECTION_FIXED_R1,giving,2.50,1,1,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,-0.6781818181818182,0.0,0.0022,0.0
2026-09-16,V4_DIRECTION_FIXED_R1,giving,3.25,3,1,0.45260347129506,0.0,0.0,0.13885180240320427,0.40854472630173566,3.0814879110195774e-33,0.0,0.0,0.0,0.0,3.0814879110195774e-33,-0.07967957276368494,0.002144095643323275,0.08386666666666666,0.012089848888888888
