date,model,side,n,settled,pending,W,HW,P,HL,L,effective_win_rate,pnl,ROI_frozen,ROI_settled,mean_water,giving,receiving,small_sample
2026-09-13,V4_GIVING_LEGACY,giving,33,30,3,13,1,1,4,11,0.5094339622641509,0.29500000000000015,0.008939393939393943,0.009833333333333338,0.9927272727272727,33,0,False
2026-09-14,V4_DIRECTION_FIXED_R1,giving,10,10,0,7,0,1,0,2,0.7777777777777778,4.79,0.479,0.479,0.9350000000000002,10,0,True
2026-09-14,V4_DIRECTION_FIXED_R1,receiving,9,8,1,1,2,1,0,4,0.3333333333333333,-1.9449999999999998,-0.2161111111111111,-0.24312499999999998,1.0544444444444445,0,9,True
2026-09-15,V4_DIRECTION_FIXED_R1,giving,11,11,0,5,0,0,2,4,0.5,-0.2599999999999999,-0.023636363636363626,-0.023636363636363626,0.9727272727272727,11,0,True
2026-09-15,V4_DIRECTION_FIXED_R1,receiving,21,20,1,10,0,1,0,9,0.5263157894736842,1.1700000000000004,0.05571428571428573,0.05850000000000002,1.012857142857143,0,21,True
2026-09-16,V4_DIRECTION_FIXED_R1,giving,15,14,1,4,1,0,3,6,0.375,-3.005,-0.20033333333333334,-0.21464285714285714,0.9873333333333335,15,0,True
2026-09-16,V4_DIRECTION_FIXED_R1,receiving,16,15,1,6,1,1,1,6,0.5,-0.2699999999999999,-0.016874999999999994,-0.017999999999999995,0.978125,0,16,True
2026-09-17,V4_DIRECTION_FIXED_R1,giving,7,7,0,4,0,0,0,3,0.5714285714285714,0.9,0.1285714285714286,0.1285714285714286,0.947142857142857,7,0,True
2026-09-17,V4_DIRECTION_FIXED_R1,receiving,12,12,0,4,1,0,0,7,0.391304347826087,-2.28,-0.18999999999999997,-0.18999999999999997,1.0375000000000003,0,12,True
2026-09-18,V4_DIRECTION_FIXED_R1,giving,16,15,1,5,1,0,3,6,0.4230769230769231,-1.7399999999999998,-0.10874999999999999,-0.11599999999999998,1.0506250000000001,16,0,True
2026-09-18,V4_DIRECTION_FIXED_R1,receiving,38,38,0,9,5,3,3,18,0.3709677419354839,-7.965,-0.20960526315789474,-0.20960526315789474,1.0347368421052632,0,38,False
