match_id,match,list_date,decision_at,rule_version,action,selected_team,selected_side,direction,line,water,probability,threshold,risk,reason,top5_status,frozen,source_card,competition,kickoff,home_team,away_team
3012513,顿涅茨克矿工 vs 查诺莫斯,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,两球/两球半,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,乌克超,2026-9-14 23:00 北京时间（东8区）,顿涅茨克矿工,查诺莫斯
3021980,卡马斯 vs 切里宾斯克,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,切里宾斯克（反向=下盘）,lower,反向,半球,0.88,0.514,0.5519148936170213,状态A-正常态,综合胜率51.4%低于水位阈值55.2%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,俄甲,2026-9-14 23:00 北京时间（东8区）,卡马斯,切里宾斯克
3021983,科斯特罗马斯巴达 vs 下卡姆斯克石油,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,半球/一球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,俄甲,2026-9-14 23:00 北京时间（东8区）,科斯特罗马斯巴达,下卡姆斯克石油
3022064,辛历克 vs 乌拉尔,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,可投,辛历克（反向=下盘）,lower,反向,平手/半球,0.98,0.555,0.5250505050505051,状态A-正常态,通过：综合胜率55.5% >= 阈值52.5%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,俄甲,2026-9-14 23:30 北京时间（东8区）,辛历克,乌拉尔
3071901,纳弗特 vs 卡帕拉,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,伊拉联,2026-9-14 23:45 北京时间（东8区）,纳弗特,卡帕拉
3071898,阿尔乔兰SC vs 纽罗兹SC,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,伊拉联,2026-9-14 23:45 北京时间（东8区）,阿尔乔兰SC,纽罗兹SC
3068927,艾沙姆(中) vs 吉达联合,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,半球/一球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 00:00 北京时间（东8区）,艾沙姆(中),吉达联合
3068926,迪拜青年国民 vs 大不里士拖拉机,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,半球/一球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 00:00 北京时间（东8区）,迪拜青年国民,大不里士拖拉机
2997522,HNK哥里卡 vs 瓦拉日丁,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,可投,瓦拉日丁（反向=上盘）,upper,反向,平手/半球,0.82,0.5760000000000001,0.5694505494505495,状态A-正常态,通过：综合胜率57.6% >= 阈值56.9%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,克亚甲,2026-9-15 00:00 北京时间（东8区）,HNK哥里卡,瓦拉日丁
3090793,英格尼奥斯俱乐部 vs 海萨卡国民队,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,玻利地杯,2026-9-15 00:00 北京时间（东8区）,英格尼奥斯俱乐部,海萨卡国民队
3021987,韦莱斯 vs 索契,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,可投,韦莱斯（反向=下盘）,lower,反向,平手/半球,1.02,0.555,0.5150495049504951,状态A-正常态,通过：综合胜率55.5% >= 阈值51.5%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,俄甲,2026-9-15 00:30 北京时间（东8区）,韦莱斯,索契
2993786,科莫 vs 帕尔马,2026-09-14,2026-09-14T22:16:27,V3_LEGACY_PAGE_PARITY,可投,科莫（反向=上盘）,upper,反向,球半/两球,0.84,0.584,0.5634782608695653,状态A-正常态,通过：综合胜率58.4% >= 阈值56.3%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,意甲,2026-9-15 00:30 北京时间（东8区）,科莫,帕尔马
