match_id,match,list_date,decision_at,rule_version,action,selected_team,selected_side,direction,line,water,probability,threshold,risk,reason,top5_status,frozen,source_card,competition,kickoff,home_team,away_team
3049665,乌兹别克斯坦U23(中) vs 菲律宾U23,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,两球/两球半,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚运男足,2026-9-15 14:30 北京时间（东8区）,乌兹别克斯坦U23(中),菲律宾U23
3084562,南墨尔本 vs 昆士兰狮队,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,一球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,澳足总,2026-9-15 17:30 北京时间（东8区）,南墨尔本,昆士兰狮队
3068857,大田市民 vs 京都不死鸟,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 18:00 北京时间（东8区）,大田市民,京都不死鸟
3068860,大阪钢巴 vs 河内公安,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,一球/球半,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 18:00 北京时间（东8区）,大阪钢巴,河内公安
3068859,拉查布里府 vs 上海海港,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 18:00 北京时间（东8区）,拉查布里府,上海海港
3068858,鹿岛鹿角 vs 纽卡斯尔喷气机,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,球半/两球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 18:00 北京时间（东8区）,鹿岛鹿角,纽卡斯尔喷气机
3049666,越南U23(中) vs 科威特U23,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,lower,正向,半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚运男足,2026-9-15 18:00 北京时间（东8区）,越南U23(中),科威特U23
3049667,卡塔尔U23(中) vs 韩国U23,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,lower,正向,球半/两球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚运男足,2026-9-15 18:30 北京时间（东8区）,卡塔尔U23(中),韩国U23
3068862,北京国安 vs 浦项制铁,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,lower,正向,半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 20:15 北京时间（东8区）,北京国安,浦项制铁
3068861,柔佛 vs 武里南联,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,半球/一球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-15 20:15 北京时间（东8区）,柔佛,武里南联
3069004,阿卡达格 vs 慕哈瑞克,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,平手/半球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠联2,2026-9-15 21:45 北京时间（东8区）,阿卡达格,慕哈瑞克
3069005,高尔高赫(中) vs 阿布扎比半岛,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,半球/一球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠联2,2026-9-15 21:45 北京时间（东8区）,高尔高赫(中),阿布扎比半岛
3084305,阿柚卡雷沙士邦 vs 乌尔古普,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,土杯,2026-9-15 22:00 北京时间（东8区）,阿柚卡雷沙士邦,乌尔古普
3075232,特里内茨 vs 博雷斯拉夫,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,捷克杯,2026-9-15 22:30 北京时间（东8区）,特里内茨,博雷斯拉夫
3088127,兰达斯女足 vs 域堡女足,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,丹女杯,2026-9-15 23:00 北京时间（东8区）,兰达斯女足,域堡女足
3075235,维拉斯姆 vs 利贝雷茨,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,,正向,,0,0,0,,亚盘盘口/两边水位缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,捷克杯,2026-9-15 23:00 北京时间（东8区）,维拉斯姆,利贝雷茨
3017157,格纳火车头 vs 内塞伯尔,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,内塞伯尔（反向=下盘）,lower,反向,半球,0.84,0.551,0.5634782608695653,状态A-正常态,综合胜率55.1%低于水位阈值56.3%,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,保乙,2026-9-15 23:30 北京时间（东8区）,格纳火车头,内塞伯尔
3068930,艾因 vs 利雅得胜利,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,不投,无，不投,upper,正向,一球,0,0,0,,标签历史或微观组合样本缺失,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,亚冠精英,2026-9-16 00:00 北京时间（东8区）,艾因,利雅得胜利
3017158,卢多戈雷茨B队 vs 弗拉特里亚,2026-09-15,2026-09-15T07:24:23,V3_LEGACY_PAGE_PARITY,可投,弗拉特里亚（反向=上盘）,upper,反向,平手/半球,0.76,0.5920000000000001,0.5881818181818183,状态A-正常态,通过：综合胜率59.2% >= 阈值58.8%；风控状态A-正常态,STANDARD,True,D:\codex\v3_legacy\outputs\football_odds_trader\dashboard\index.html,保乙,2026-9-16 00:00 北京时间（东8区）,卢多戈雷茨B队,弗拉特里亚
