version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V3,2908789,NEW,"action,team,side,line,water",,不投,,哥伦布机员（下盘）,,lower,,平手,,1.06,,,,,action;team;side;line;water
V3,2908790,NEW,"action,team,side,line,water",,可投,,夏洛特FC（上盘）,,upper,,平手/半球,,1.02,,,,,action;team;side;line;water
V3,2908791,NEW,"action,team,line,water",,不投,,无，不投,,,,半球,,0,,,,,action;team;line;water
V3,2908792,NEW,"action,team,line,water",,不投,,无，不投,,,,平手/半球,,0,,,,,action;team;line;water
V3,2908793,NEW,"action,team,line,water",,不投,,无，不投,,,,半球/一球,,0,,,,,action;team;line;water
V3,2908794,NEW,"action,team,line,water",,不投,,无，不投,,,,半球,,0,,,,,action;team;line;water
V3,2908795,NEW,"action,team,side,line,water",,可投,,洛杉矶银河（下盘）,,lower,,半球/一球,,1.04,,,,,action;team;side;line;water
V3,2908796,NEW,"action,team,side,line,water",,不投,,无，不投,,upper,,一球,,0.97,,,,,action;team;side;line;water
V3,2908797,NEW,"action,team,side,line,water",,可投,,圣路易斯城（上盘）,,upper,,一球,,1.04,,,,,action;team;side;line;water
V3,2908798,NEW,"action,team,line,water",,不投,,无，不投,,,,半球,,0,,,,,action;team;line;water
V3,2908799,NEW,"action,team,side,line,water",,不投,,纳什威尔SC（上盘）,,upper,,半球/一球,,1.01,,,,,action;team;side;line;water
V3,2908800,NEW,"action,team,line,water",,不投,,无，不投,,,,半球,,0,,,,,action;team;line;water
V3,2910898,NEW,"action,team,line,water",,不投,,无，不投,,,,一球/球半,,0,,,,,action;team;line;water
V3,2910902,NEW,"action,team,side,line,water",,不投,,博塔弗戈（下盘）,,lower,,平手/半球,,1.03,,,,,action;team;side;line;water
V3,2910903,NEW,"action,team,side,line,water",,不投,,无，不投,,lower,,平手,,1.08,,,,,action;team;side;line;water
V3,2910904,NEW,"action,team,line,water",,不投,,无，不投,,,,半球,,0,,,,,action;team;line;water
V3,2910905,NEW,"action,team,line,water",,不投,,无，不投,,,,一球,,0,,,,,action;team;line;water
V3,2912275,NEW,"action,team,side,line,water",,不投,,无，不投,,upper,,平手/半球,,0,,,,,action;team;side;line;water
V3,2912281,NEW,"action,team,line,water",,不投,,无，不投,,,,一球,,0,,,,,action;team;line;water
V3,2912282,NEW,"action,team,line,water",,不投,,无，不投,,,,平手/半球,,0,,,,,action;team;line;water
V3,2912899,NEW,"action,team,side,line,water",,不投,,克里斯蒂安松（反向=下盘）,,lower,,一球/球半,,0.85,,,,,action;team;side;line;water
V3,2912900,NEW,"action,team,side,line,water",,不投,,奥勒松（反向=下盘）,,lower,,球半/两球,,0.86,,,,,action;team;side;line;water
V3,2913146,NEW,"action,team,line,water",,不投,,无，不投,,,,半球,,0,,,,,action;team;line;water
V3,2913344,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,2913345,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,2913346,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,2913349,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,2913525,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,2913527,NEW,"action,team,water",,不投,,无，不投,,,,,,0,,,,,action;team;water
V3,2914705,NEW,"action,team,side,line,water",,不投,,无，不投,,upper,,平手/半球,,0,,,,,action;team;side;line;water
V3,2914706,NEW,"action,team,line,water",,不投,,无，不投,,,,平手/半球,,0,,,,,action;team;line;water
V3,2914707,NEW,"action,team,side,line,water",,不投,,无，不投,,upper,,半球/一球,,0,,,,,action;team;side;line;water
V3,2914708,NEW,"action,team,side,line,water",,可投,,桑德维根斯（反向=上盘）,,upper,,平手/半球,,0.82,,,,,action;team;side;line;water
V3,2914710,NEW,"action,team,side,line,water",,不投,,瓦尔贝里（反向=上盘）,,upper,,半球/一球,,0.78,,,,,action;team;side;line;water
V3,2916681,NEW,"action,team,side,line,water",,不投,,阿卡苏索（反向=上盘）,,upper,,平手,,0.68,,,,,action;team;side;line;water
V3,2916683,NEW,"action,team,side,line,water",,不投,,拉费尔拿（反向=上盘）,,upper,,平手,,0.72,,,,,action;team;side;line;water
V3,2916692,NEW,"action,team,line,water",,不投,,无，不投,,,,半球/一球,,0,,,,,action;team;line;water
V3,2916695,NEW,"action,team,side,line,water",,不投,,圣米格尔（反向=上盘）,,upper,,平手/半球,,0.74,,,,,action;team;side;line;water
