date,match_id,league,region,kickoff,frozen_at,handicap,intent,time_bucket,score,result_available_at,source,v4_side,v4_grade,v4_ev,v4_probability,v4_result,v4_pnl,v4_hypothetical_unit_pnl,v41_side,v41_grade,v41_probability,v41_ev,v41_ev_p10,v41_result,v41_pnl,v41_hypothetical_unit_pnl,same_side,different_side,comparison_group,decision_id,settlement_status
2026-09-19,2998485,保甲,其他系列,2026-09-20T00:00:00+08:00,2026-09-19T23:21:02.470161+08:00,0.5,阻下/下盘保护,T-30,1-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.04457142857142854,"[0.5028571428571429,0.0,0.0,0.0,0.49714285714285716]",W,0.0,0.9,giving,N,"[0.5103295119845898,0.0,0.0,0.0,0.48967048801541013]",0.0002458434897960049,-0.06326860300567153,L,0.0,-1.0,False,False,NEITHER,3c13bbcef02f6cd59066b425b24dfe32122eed2edb6b1ad241c1d9de1bde2277,SETTLED
2026-09-19,2998964,塞尔超,其他系列,2026-09-19T23:00:00+08:00,2026-09-19T22:23:54.490778+08:00,1.25,阻下/下盘保护,T-30,2-2,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.0051886792452830455,"[0.2830188679245283,0.2830188679245283,0.0,0.0,0.4339622641509434]",W,0.0,1.01,receiving,N,"[0.3173243600734406,0.3232258310215853,0.0,0.0,0.35944980890497397]",0.12427683943510165,0.10271467518567529,W,0.0,1.01,False,False,NEITHER,9df07afde9d80786e438fdb90ae4bfbb4a7977ddaa802ae87516cb660ce26fd1,SETTLED
2026-09-19,2998967,塞尔超,其他系列,2026-09-19T23:00:00+08:00,2026-09-19T22:23:54.509306+08:00,0.5,诱上/阻下,T-30,1-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.0244571428571429,"[0.5028571428571429,0.0,0.0,0.0,0.49714285714285716]",W,0.0,0.94,giving,N,"[0.5518340494377068,0.0,0.0,0.0,0.44816595056229325]",0.03744801294288869,-0.060972746955064314,L,0.0,-1.0,False,False,NEITHER,f825adb23c53e453f7e8f547076a0f7a7a203aae06844d1d2905f21de84f6897,SETTLED
2026-09-19,3000821,瑞士超,其他系列,2026-09-20T00:00:00+08:00,2026-09-19T23:21:02.121239+08:00,0.75,真实示弱/阻下,T-30,5-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,C,0.025749999999999995,"[0.44166666666666665,0.0,0.0,0.25833333333333336,0.3]",L,-1.0,-1.0,giving,N,"[0.3220257503999154,0.26072104464654294,0.0,0.0,0.4172532049535417]",-0.028201010411600946,-0.08234727750570778,W,0.0,0.86,False,False,A_V4_ONLY,d0afe622afb9a6dc6ec355f794275557e94898940fa6e9b1c35928a0ae4c0d78,SETTLED
2026-09-19,3000822,瑞士超,其他系列,2026-09-20T00:00:00+08:00,2026-09-19T23:21:02.142835+08:00,1.0,阻上/诱下,T-30,3-2,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,giving,N,-0.07289473684210523,"[0.35526315789473684,0.0,0.2236842105263158,0.0,0.42105263157894735]",P,0.0,0.0,receiving,N,"[0.4532358265618506,0.0,0.20171915002032678,0.0,0.3450450234178226]",0.06739957875346142,0.002935665886739559,P,0.0,0.0,False,False,NEITHER,2ae17427fa502bbc4e90e3d203407930691900f23f5cc8bc0987bdf80f5b0b2d,SETTLED
2026-09-19,3000823,瑞士超,其他系列,2026-09-20T00:00:00+08:00,2026-09-19T23:21:02.162920+08:00,1.25,真实示弱/阻下,T-30,1-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.009433962264150941,"[0.2830188679245283,0.2830188679245283,0.0,0.0,0.4339622641509434]",W,0.0,1.0,receiving,N,"[0.357447814106314,0.27869538707611646,0.0,0.0,0.3638567988175696]",0.1329387088268026,0.1246252258126164,W,0.0,1.0,False,False,NEITHER,fe321432c350394c4e2dc62daa1dc6e7627567e59e667781c78f3275880a92bf,SETTLED
2026-09-19,3001614,以超,其他系列,2026-09-20T00:30:00+08:00,2026-09-20T00:04:21.391662+08:00,0.25,真实示弱/阻下,T-30,2-4,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.04930555555555555,"[0.2743055555555556,0.3020833333333333,0.0,0.0,0.4236111111111111]",W,0.0,0.88,receiving,N,"[0.3691318124657263,0.2628653978223275,0.0,0.0,0.3680027897119461]",0.0724939802997171,0.06563073774708808,W,0.0,0.88,False,False,NEITHER,18c3ef64b9a5bb55ceb8ad137bf84ca68160773ff8a46c52f8f732a99b1ecc78,SETTLED
2026-09-19,3002072,苏超,其他系列,2026-09-20T00:45:00+08:00,2026-09-20T00:17:05.040688+08:00,0.75,阻下/下盘保护,T-30,1-1,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.04491666666666666,"[0.44166666666666665,0.0,0.0,0.25833333333333336,0.3]",W,0.0,0.87,giving,N,"[0.32222175006721193,0.2609012195699752,0.0,0.0,0.4168770303628129]",0.040322053087908705,-0.01775526755045759,L,0.0,-1.0,False,False,NEITHER,738d310502cbf35ceed6f9813e375cd112e5d6d7d432940590d897e0f43766a3,SETTLED
2026-09-19,3003152,波兰超,其他系列,2026-09-19T23:30:00+08:00,2026-09-19T22:55:26.867655+08:00,0.25,真实示弱/阻下,T-30,3-2,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,receiving,N,-0.03654513888888883,"[0.2743055555555556,0.3020833333333333,0.0,0.0,0.4236111111111111]",L,0.0,-1.0,receiving,N,"[0.3284734721942276,0.3285361340479017,0.0,0.0,0.34299039375787055]",0.10540440693067188,0.09564072764879253,L,0.0,-1.0,False,False,NEITHER,90dadc897ab16fdd43fcd8885423eb26630708f81b666baac03c4804d2b230e0,SETTLED
2026-09-19,3003439,斯伐超,其他系列,2026-09-20T00:00:00+08:00,2026-09-19T23:21:02.367653+08:00,1.0,降温保护/诱下,T-30,2-0,2026-09-20T08:43:49.923193+08:00,D:\codex\v41\data\raw\20260920_084349\20260920_084349_bfdata_ut.js,giving,N,-0.1261842105263158,"[0.35526315789473684,0.0,0.2236842105263158,0.0,0.42105263157894735]",W,0.0,0.83,receiving,N,"[0.3868064854291031,0.0,0.2327345135368565,0.0,0.38045900103404046]",0.010215549249353695,-0.03174477187297701,L,0.0,-1.0,False,False,NEITHER,869832cb37644aac5703cb978898384b735d6bcad33005ae42273ef17e873d2f,SETTLED
